,housing_cat,other_parties_cat,credit_history_cat,num_dependents_num,job_cat,other_payment_plans_cat,existing_credits_num,purpose_cat,duration_num,savings_status_cat
0,own,none,critical/other existing credit,1.0,skilled,none,2.0,radio/tv,6.0,no known savings
1,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,48.0,<100
2,own,none,critical/other existing credit,2.0,unskilled resident,none,1.0,education,12.0,<100
3,for free,guarantor,existing paid,2.0,skilled,none,1.0,furniture/equipment,42.0,<100
4,for free,none,delayed previously,2.0,skilled,none,2.0,new car,24.0,<100
5,for free,none,existing paid,2.0,unskilled resident,none,1.0,education,36.0,no known savings
6,own,none,existing paid,1.0,skilled,none,1.0,furniture/equipment,24.0,500<=X<1000
7,rent,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,used car,36.0,<100
8,own,none,existing paid,1.0,unskilled resident,none,1.0,radio/tv,12.0,>=1000
9,own,none,critical/other existing credit,1.0,high qualif/self emp/mgmt,none,2.0,new car,30.0,<100
10,rent,none,existing paid,1.0,skilled,none,1.0,new car,12.0,<100
11,rent,none,existing paid,1.0,skilled,none,1.0,business,48.0,<100
12,own,none,existing paid,1.0,skilled,none,1.0,radio/tv,12.0,<100
13,own,none,critical/other existing credit,1.0,unskilled resident,none,2.0,new car,24.0,<100
14,rent,none,existing paid,1.0,skilled,none,1.0,new car,15.0,<100
15,own,none,existing paid,1.0,unskilled resident,none,1.0,radio/tv,24.0,100<=X<500
16,own,none,critical/other existing credit,1.0,skilled,none,2.0,radio/tv,24.0,no known savings
17,own,none,no credits/all paid,1.0,skilled,bank,3.0,business,30.0,no known savings
18,for free,none,existing paid,1.0,high qualif/self emp/mgmt,none,1.0,used car,24.0,<100
19,own,none,existing paid,2.0,skilled,none,1.0,radio/tv,24.0,500<=X<1000
20,own,none,critical/other existing credit,1.0,skilled,none,3.0,new car,9.0,<100
21,rent,none,existing paid,2.0,skilled,none,1.0,radio/tv,6.0,500<=X<1000
22,rent,none,critical/other existing credit,2.0,unskilled resident,none,2.0,new car,10.0,<100
23,own,none,critical/other existing credit,1.0,skilled,none,1.0,used car,12.0,100<=X<500
24,own,none,critical/other existing credit,1.0,skilled,none,2.0,furniture/equipment,10.0,no known savings
25,own,none,existing paid,1.0,unskilled resident,bank,1.0,furniture/equipment,6.0,<100
26,own,none,no credits/all paid,1.0,unskilled resident,none,1.0,radio/tv,6.0,<100
27,rent,none,all paid,1.0,skilled,none,2.0,radio/tv,12.0,>=1000
28,own,guarantor,existing paid,1.0,skilled,none,1.0,radio/tv,7.0,<100
29,own,none,delayed previously,1.0,skilled,none,2.0,business,60.0,<100
30,own,none,existing paid,1.0,skilled,bank,1.0,business,18.0,>=1000
31,own,none,existing paid,1.0,skilled,stores,1.0,furniture/equipment,24.0,<100
32,own,none,existing paid,1.0,skilled,none,2.0,new car,18.0,100<=X<500
33,rent,none,critical/other existing credit,1.0,unskilled resident,none,1.0,business,12.0,no known savings
34,own,none,existing paid,1.0,high qualif/self emp/mgmt,bank,1.0,furniture/equipment,12.0,<100
35,own,none,critical/other existing credit,1.0,unskilled resident,none,2.0,radio/tv,45.0,<100
36,for free,none,critical/other existing credit,1.0,skilled,bank,1.0,education,48.0,<100
37,own,co applicant,existing paid,1.0,skilled,stores,1.0,radio/tv,18.0,<100
