,Income_num,Age_num,Civil_num,Can/US_num
0,45550.41,23.349661,29.86088,4.1971595
1,79129.5,62.428811,22.772825,5.6913315
2,70202.66,48.272638,8.063227,9.5125003
3,111268.15,39.918946,14.799746,8.4269562
4,50650.93,33.232595,17.817427,14.2487283
5,101357.09,27.101284,13.404751,18.0681868
6,77355.78,52.491328,9.746183,5.0805321
7,53120.18,43.865826,18.706031,12.3001933
8,61235.46,31.795246,11.660241,15.4983787
9,85269.93,79.052775,12.263069,6.0833574
10,96319.65,54.194508,22.608776,6.4868753
11,89467.07,35.066522,2.53859,7.0844791
12,99432.59,40.434952,13.616403,9.3195608
13,104059.66,9.460303,21.010407,10.2039043
14,31309.63,49.159898,28.952001,7.8969531
15,115830.32,46.914543,17.258022,6.5432417
16,78901.06,45.767922,30.390819,4.2731403
17,33746.63,54.349277,25.815851,3.0876669
18,64081.86,64.314428,12.39822,12.2397256
19,83153.02,49.188499,11.024706,6.8382705
20,114089.37,76.652939,26.103957,6.3529689
21,85453.86,51.866679,19.819029,12.8005848
22,80417.82,29.262586,26.090016,15.3866239
23,38196.45,53.679798,20.002226,8.8483248
24,84082.95,68.879577,21.299838,10.5719498
25,157090.68,26.989108,14.012562,9.4672132
26,85682.49,72.079947,19.194236,4.1630267
27,81734.15,45.380312,17.806181,12.3846882
28,76973.9,53.83031,19.772365,8.5551434
29,74955.01,44.908491,16.486319,7.9117686
30,41032.92,56.521128,21.262055,17.7020264
31,88925.88,41.17038,28.26387,11.4195588
32,120821.0,37.96538,27.829664,0.2642362
33,93493.13,43.498354,15.322091,13.6181998
34,64423.69,43.343977,24.298524,8.2539983
35,44572.59,63.631147,18.167378,10.3458765
36,85603.37,52.564104,24.339034,7.2150167
37,79858.9,57.175338,20.863261,5.046247
38,74747.45,29.521415,16.856372,6.4313062
39,77954.17,52.4953,17.325386,10.8684591
40,50289.39,31.857979,14.762502,8.897336
41,55953.65,33.03287,28.333817,9.7110179
42,23420.63,38.245012,15.61043,14.2864509
43,82646.87,43.813534,16.47202,4.3630302
44,105219.72,43.142773,19.226898,8.876772
45,132151.03,43.226535,19.188189,4.231545
46,94841.22,38.858023,26.459855,10.1641902
47,86812.65,20.45723,30.6343502,7.669443
48,64687.83,42.15814,23.932471,12.115344
49,45386.86,64.95006,14.8925666,5.134576
50,35222.07,46.87503,22.6937877,6.884193
51,72928.16,64.11579,15.9844112,15.23861
52,93531.42,63.62045,8.954399,12.416755
53,173112.51,58.25248,10.963543,9.450022
54,59694.91,29.61109,19.0540757,5.318568
55,141287.81,35.65635,8.5759812,1.937343
56,71226.89,34.02292,-0.8397195,6.249028
57,34933.64,28.17437,16.308784,11.336806
58,77326.67,35.53192,20.2410721,8.909814
59,106936.23,38.53041,17.7094513,9.430934
60,93502.58,20.41723,26.3221018,9.049957
61,59934.34,33.77809,4.7829577,7.864196
62,151730.44,63.10095,29.157338,5.163299
63,67568.12,32.61149,19.6943795,10.572607
64,54583.35,33.25269,21.3523438,11.14138
65,64793.85,59.17378,18.7342535,10.947889
66,74938.06,33.15636,11.3868124,12.830182
67,58297.51,22.99372,18.2840037,5.020718
68,71132.77,69.44475,23.565799,8.248992
69,76384.77,34.46941,19.99901,7.756533
70,107622.16,28.04734,9.6446531,10.683043
71,66817.28,60.69,16.3703712,12.236151
72,68300.47,53.38916,15.1096212,2.107196
73,97012.21,49.90884,23.8617924,8.751306
74,57585.3,37.82528,21.495394,5.591292
75,45925.15,45.75806,6.5957861,15.804572
76,110033.02,49.30591,13.8023817,16.353585
77,95961.38,41.20675,15.3191228,5.270854
78,94710.88,22.85622,30.9767884,7.054899
79,66960.43,39.87962,22.8755486,19.430787
80,143150.41,53.3706,12.3857098,11.611559
