,exper_num,bsal_num,sal77_num,fsex_cat,senior_num,age_num,educ_cat
0,14.0,5040,12420.0,0,96,329,15
1,72.0,6300,12060.0,0,82,357,15
2,35.5,6000,15120.0,0,67,315,15
3,24.0,6000,16320.001,0,97,354,12
4,56.0,6000,12300.0,0,66,351,12
5,41.5,6840,10380.0,0,92,374,15
6,54.5,8100,13979.999,0,66,369,16
7,32.0,6000,10140.0,0,82,363,12
8,252.0,6000,12360.0,0,88,555,12
9,132.0,6900,10920.0,0,75,416,15
10,175.0,6900,10920.0,0,89,481,12
11,17.5,5400,12660.001,0,91,331,15
12,64.0,6000,12960.0,0,66,355,15
13,25.0,6000,12360.0,0,86,348,15
14,165.0,5100,8940.0,1,95,640,15
15,381.0,4800,8580.0,1,98,774,12
16,190.0,5280,8760.0,1,98,557,8
17,90.0,5280,8040.0,1,88,745,8
18,63.0,4800,9000.0,1,77,505,12
19,6.0,4800,8820.0,1,76,482,12
20,24.0,5400,13320.0,1,86,329,15
21,97.0,5520,9600.0,1,82,558,12
22,26.0,5400,8940.0,1,88,338,12
23,90.0,5700,9000.0,1,76,667,12
24,0.0,3900,8760.0,1,98,327,12
25,144.0,4800,9780.0,1,75,619,12
26,208.5,6120,9360.0,1,78,624,12
27,102.0,5220,7860.0,1,70,671,8
28,96.0,5100,9660.0,1,66,554,8
29,6.25,4380,9600.0,1,92,305,8
30,5.0,4290,9180.001,1,69,280,12
31,122.0,5400,9540.0,1,66,534,15
32,0.0,4380,10380.0,1,92,305,12
33,173.0,5400,8640.0,1,65,603,8
34,26.0,5400,11880.0,1,66,302,12
35,52.0,4500,12540.001,1,96,366,8
36,82.0,5400,8400.0,1,70,628,12
37,196.0,5520,8880.0,1,67,694,12
38,55.0,5640,10080.0,1,90,368,12
39,228.0,4800,9240.0,1,73,590,12
40,228.0,5400,8640.0,1,66,771,8
41,8.0,4500,7980.0,1,80,298,12
42,38.0,5400,11940.0,1,77,325,12
43,49.0,5400,9420.0,1,72,589,15
44,86.5,6300,9780.0,1,66,394,12
45,18.0,5160,10680.001,1,87,320,12
46,115.0,5100,11160.0,1,98,571,15
47,70.0,4800,8340.0,1,79,602,8
48,244.0,5400,9600.0,1,98,568,12
49,44.0,4020,9840.0,1,92,528,10
50,318.0,4980,8700.0,1,74,718,8
51,107.0,5280,9780.0,1,88,653,12
52,241.0,5700,8280.0,1,65,714,15
53,163.0,4800,8340.0,1,87,647,12
54,11.0,4800,13560.0,1,82,338,12
55,51.0,5700,10260.0,1,82,362,15
56,4.5,4380,9720.0,1,93,303,12
57,0.0,4380,10500.001,1,89,310,12
58,38.0,5400,10680.001,0,88,359,12
59,113.0,5400,11640.0,0,96,474,12
60,180.0,5100,7860.0,0,84,535,12
61,84.0,6600,11220.0,0,66,369,15
62,315.0,5100,8700.0,0,97,637,12
63,215.5,6600,12240.001,0,83,536,15
64,36.0,5700,11220.0,0,94,392,15
65,49.0,6000,12180.0,0,91,364,12
66,108.0,6000,11580.0,0,83,521,15
67,272.0,6000,8940.0,0,80,686,12
68,56.0,6000,10680.001,0,87,364,15
69,11.5,4620,11100.0,0,77,293,12
70,29.0,5220,10080.0,0,85,344,12
71,64.0,6600,15360.001,0,83,340,15
72,7.0,5400,12600.0,0,78,305,12
73,320.0,6000,8940.0,0,78,659,8
74,359.0,5400,9480.0,0,88,690,15
75,45.5,6000,14400.0,0,96,402,16
76,61.0,5700,10620.0,1,88,410,15
77,51.0,5400,10320.0,1,78,584,15
78,75.0,4440,9600.0,1,97,341,15
79,231.0,6300,10860.001,1,84,662,15
80,121.0,6000,9720.0,1,69,488,12
81,59.0,5100,9600.0,1,85,406,12
82,11.0,4800,11100.0,1,87,349,12
83,123.0,5100,10020.001,1,87,508,16
84,116.5,5700,9780.0,1,74,542,12
85,169.0,5400,10440.0,1,72,604,12
86,36.0,5100,10560.0,1,84,458,12
87,214.0,4800,9240.0,1,84,571,16
88,78.5,6000,11940.0,1,86,486,15
89,7.5,4380,10020.001,1,93,313,8
90,132.5,5580,7860.0,1,69,600,12
91,52.0,4620,9420.0,1,96,385,12
92,127.0,5220,8340.0,1,70,468,12
