,binaryClass_cat,oz1_num,oz2_num,oz3_num,oz4_num,oz5_num
0,N,1.746573,1.390508,0.386719,-0.196357,-0.651835
1,N,1.520829,1.273823,2.34173,1.775085,1.358907
2,N,-0.572734,-0.694503,-1.678982,-1.342375,-0.717254
3,N,-0.022983,-0.913952,0.241116,0.587395,-0.91197
4,P,0.556653,0.084041,0.275845,-0.194159,-0.425406
5,N,-0.457367,-1.063931,-1.370144,-1.683441,-1.162227
6,N,0.144393,-0.22869,0.287634,0.861459,1.201937
7,N,-0.249965,0.021767,0.023215,0.436348,-1.092029
8,N,-1.177088,-1.344168,-0.348625,1.066981,0.559754
9,N,-1.268911,-0.664962,-0.925184,-0.785248,1.244838
10,N,-0.749461,-0.586951,-0.945503,-1.29761,-1.553417
11,P,-1.160567,-1.459492,-1.13038,-0.341131,-1.296269
12,P,0.656584,0.154806,-0.078343,0.017446,0.114946
13,N,-0.56426,-1.250954,-0.874869,0.397432,0.671453
14,N,-0.199163,-0.185958,0.712274,0.519417,1.671553
15,N,0.082809,-0.713051,0.370832,-0.211136,1.373994
16,N,-0.61774,-0.133788,-0.161969,-0.120305,1.390534
17,N,-0.866948,-1.151652,-1.547539,-1.548815,1.197529
18,N,1.691008,1.544712,-0.252259,-0.754059,-0.185008
19,N,0.353887,-0.029781,0.072607,0.063018,-0.593591
20,N,-1.573973,-1.187488,-0.304121,0.935825,-0.010784
21,N,-0.570719,-0.012741,0.141304,0.276267,0.45595
22,N,-1.146548,-1.494193,-0.405247,0.426637,0.873431
23,P,-1.393233,-1.243441,-1.354803,-1.697093,-1.125964
24,P,0.490617,0.475489,-0.233119,-0.638068,-1.370404
25,P,0.967455,1.501195,0.011217,-0.703488,1.620257
26,N,-1.424368,-0.997342,-0.673669,0.153689,-0.414948
27,P,0.57168,0.846593,-1.401098,-0.955472,-1.026585
28,N,-0.034573,-0.139031,-0.110693,0.371503,1.39191
29,P,0.659339,0.796667,1.383622,0.608313,-0.39124
30,N,1.797527,1.229582,0.811217,0.192385,-0.398329
31,P,0.150648,0.34268,-0.374395,-0.518282,1.628195
32,P,0.535663,1.174069,1.099049,0.631701,-1.351615
33,N,-0.905871,-1.461137,-1.070979,1.457125,0.607769
34,N,-0.906337,-0.50422,-0.361049,-1.214684,0.105834
35,P,-1.632511,-1.470841,-0.62528,-0.135505,-1.05616
36,N,-0.050538,-0.62164,1.294432,1.325204,-0.942763
37,N,-0.324385,-0.321937,-0.595701,-0.75734,1.184377
38,P,-0.529376,-1.584968,-1.43986,-0.827369,-0.476834
39,P,1.045389,0.479892,0.325519,0.634634,-0.726593
40,N,-1.155203,-1.183345,-0.032414,1.169702,-1.106546
41,N,-1.05858,-0.556583,-1.433825,-0.926193,1.500932
42,P,-1.000705,-1.368913,-0.442858,-0.880642,1.129056
43,N,-1.020732,-0.877354,-0.979109,-1.302097,-0.585829
44,N,1.43343,1.708521,2.221538,1.097061,-0.114641
45,N,-0.916878,-0.270563,0.904543,1.068511,-1.019769
46,P,-1.589824,-1.385097,-0.850788,-0.615853,-1.190645
47,N,1.711277,1.219181,1.48513,0.557052,0.472953
48,N,-1.132257,-1.715491,-1.05983,-0.936846,1.515704
49,N,-0.014619,-0.055468,-0.065176,0.92223,-1.25549
50,P,0.753345,1.170776,0.984127,-0.282482,-0.869277
51,P,1.066205,1.655006,-0.667619,-0.449408,-0.648603
52,N,-0.551986,-0.374637,0.367571,0.86264,-1.15657
