,attribute_40_num,attribute_42_num,attribute_2_num,attribute_49_num,attribute_51_num,attribute_26_num,attribute_34_num,attribute_36_num,attribute_41_num,attribute_39_num,attribute_24_num,attribute_54_num,attribute_46_num,attribute_3_num,attribute_27_num,attribute_59_num,attribute_21_num,attribute_10_num,attribute_53_num,attribute_19_num,attribute_33_num,attribute_57_num,attribute_17_num,attribute_52_num,attribute_50_num,attribute_47_num,attribute_31_num,attribute_48_num,attribute_38_num,attribute_56_num
0,0.2744,0.2834,0.0371,0.0383,0.0232,0.6415,0.7547,0.8507,0.051,0.4943,0.555,0.0159,0.1386,0.0428,0.7104,0.009,0.5783,0.2111,0.0065,0.5078,0.5121,0.018,0.31,0.0027,0.0324,0.1051,0.1307,0.1343,0.6097,0.0167
1,0.197,0.0583,0.0523,0.0409,0.0125,0.32,0.2341,0.4182,0.1674,0.184,0.3914,0.0048,0.0203,0.0843,0.3271,0.0052,0.5212,0.2872,0.0089,0.8024,0.1984,0.014,1.0,0.0084,0.0061,0.053,0.3788,0.0742,0.1057,0.0191
2,0.4719,0.2587,0.0582,0.013,0.0033,0.2413,0.2709,0.3043,0.4647,0.5375,0.3648,0.0095,0.0176,0.1099,0.507,0.0095,0.7974,0.6194,0.0166,0.8929,0.1862,0.0316,0.6759,0.0232,0.0106,0.1348,0.8512,0.0744,0.6756,0.0244
3,0.9167,0.5006,0.0171,0.0681,0.0241,0.5334,0.3497,0.3012,0.6121,0.9857,0.4846,0.015,0.3654,0.0623,0.5256,0.004,0.2741,0.1264,0.0036,0.406,0.612,0.005,0.0693,0.0121,0.0294,0.2655,0.626,0.1576,0.8814,0.0073
4,0.243,0.2444,0.0666,0.023,0.0156,0.2285,0.0981,0.4181,0.1979,0.2828,0.5399,0.0105,0.0528,0.0481,0.6995,0.0107,0.4148,0.4459,0.0054,0.2032,0.2881,0.0072,0.7306,0.0031,0.0046,0.0357,0.5103,0.0085,0.3217,0.0015
5,0.3296,0.265,0.0453,0.0264,0.0104,0.5782,0.2198,0.2856,0.2707,0.4054,0.2872,0.0038,0.1089,0.0277,0.5389,0.0051,0.2074,0.3039,0.0014,0.7234,0.3299,0.0057,0.9508,0.0045,0.0081,0.0623,0.558,0.0494,0.4158,0.0089
6,0.6133,0.2377,0.0956,0.0507,0.0195,0.6826,0.1873,0.5163,0.5017,0.5479,0.5559,0.0131,0.0597,0.1321,0.5713,0.0036,0.7723,0.3513,0.0248,0.2024,0.2965,0.0092,0.515,0.0201,0.0159,0.1124,0.5811,0.1047,0.4283,0.0138
7,0.2546,0.2196,0.0548,0.0285,0.0052,0.822,0.4006,0.105,0.1151,0.4288,0.9174,0.0045,0.236,0.0842,0.8872,0.0048,0.7832,0.2838,0.012,0.6676,0.099,0.0085,0.2617,0.0081,0.0178,0.1125,0.1318,0.0254,0.393,0.0097
8,0.2792,0.174,0.0375,0.0777,0.0061,0.7366,0.3305,0.2186,0.2558,0.168,0.4286,0.0145,0.1271,0.0484,0.9611,0.0059,0.9802,0.1487,0.0128,0.7401,0.317,0.0065,0.0349,0.0145,0.0439,0.1459,0.3007,0.1164,0.2726,0.0049
9,0.0452,0.1421,0.0173,0.0092,0.0118,0.7545,0.0306,0.1108,0.062,0.0696,0.9719,0.0179,0.0688,0.0347,0.8289,0.0056,0.6068,0.0251,0.0223,0.3238,0.3101,0.0032,0.2826,0.009,0.0198,0.0867,0.5829,0.0513,0.1371,0.0068
