,Na_num,Fe_num,K_num,Al_num,Type_cat
0,12.79,0.0,0.64,1.12,build wind float
1,12.16,0.0,0.57,1.35,vehic wind float
2,13.21,0.0,0.59,1.41,build wind float
3,14.4,0.0,0.0,1.54,tableware
4,12.3,0.24,0.12,1.0,build wind non-float
5,12.75,0.22,0.57,1.44,build wind non-float
6,13.64,0.0,0.06,0.65,vehic wind float
7,13.14,0.0,0.55,1.28,build wind float
8,14.14,0.05,0.08,2.68,headlamps
9,13.19,0.28,0.55,1.3,build wind non-float
10,13.36,0.0,0.45,1.49,build wind non-float
11,12.2,0.24,0.62,1.16,build wind non-float
12,13.21,0.0,0.13,0.79,build wind float
13,14.03,0.0,0.11,0.58,vehic wind float
14,13.14,0.17,0.6,1.76,vehic wind float
15,13.48,0.0,0.62,1.71,build wind non-float
16,14.75,0.08,0.0,2.0,headlamps
17,12.71,0.0,0.67,1.49,build wind non-float
18,13.27,0.0,0.47,1.76,containers
19,12.96,0.0,0.6,1.43,build wind non-float
20,13.05,0.17,0.19,0.87,build wind float
21,11.45,0.34,0.81,1.88,build wind non-float
22,12.93,0.22,0.64,1.11,build wind non-float
23,13.39,0.11,0.57,1.19,build wind float
24,12.85,0.51,0.76,2.17,containers
25,13.24,0.0,0.38,1.47,build wind non-float
26,12.82,0.0,0.69,1.9,build wind non-float
27,14.56,0.07,0.0,1.98,headlamps
28,13.23,0.0,0.56,1.48,build wind non-float
29,13.33,0.0,0.56,1.34,vehic wind float
30,12.87,0.0,0.65,1.64,build wind non-float
31,13.33,0.0,0.56,1.54,vehic wind float
32,17.38,0.0,0.0,0.34,tableware
33,13.44,0.0,0.66,1.54,build wind non-float
34,13.0,0.11,0.57,1.36,build wind float
35,12.72,0.24,0.67,1.56,build wind float
36,12.79,0.26,0.64,1.62,build wind float
37,12.35,0.0,0.7,1.63,build wind non-float
38,12.85,0.25,0.68,1.44,build wind non-float
39,14.25,0.0,1.1,2.08,build wind non-float
40,12.74,0.0,0.64,1.35,build wind float
41,13.0,0.12,0.56,1.08,build wind non-float
42,13.0,0.0,0.61,1.54,build wind non-float
43,13.24,0.0,0.39,1.47,build wind non-float
44,13.64,0.24,0.16,0.75,vehic wind float
45,12.71,0.0,0.59,1.2,build wind float
46,14.01,0.0,1.68,3.5,containers
47,13.21,0.0,0.57,1.29,build wind float
48,13.08,0.0,0.6,1.28,build wind float
