,A3_num,A13_cat,A7_cat,A2_num,A6_cat,A10_cat,A4_cat,A1_cat
0,0.0,g,v,30.83,w,t,u,b
1,4.46,g,h,58.67,q,t,u,a
2,0.5,g,h,24.5,q,f,u,a
3,1.54,g,v,27.83,w,t,u,b
4,5.625,s,v,20.17,w,f,u,b
5,4.0,g,v,32.08,m,f,u,b
6,1.04,g,h,33.17,r,f,u,b
7,11.585,g,v,22.92,cc,f,u,a
8,0.5,g,h,54.42,k,f,y,b
9,4.915,g,v,42.5,w,f,y,b
10,0.83,g,h,22.08,c,f,u,b
11,1.835,g,h,29.92,c,f,u,b
12,6.0,g,v,38.25,k,f,u,a
13,6.04,g,v,48.08,k,f,u,b
14,10.5,g,v,45.83,q,t,u,a
15,4.415,g,v,36.67,k,t,y,b
16,0.875,g,v,28.25,m,t,u,b
17,5.875,g,v,23.25,q,t,u,a
18,0.25,g,h,21.83,d,f,u,b
19,8.585,g,h,19.17,cc,t,u,a
20,11.25,g,v,25.0,c,t,u,b
21,1.0,s,v,23.25,c,f,u,b
22,8.0,g,v,47.75,c,t,u,a
23,14.5,g,h,27.42,x,t,u,a
24,6.5,g,v,41.17,q,t,u,a
25,0.585,g,h,15.83,c,t,u,a
26,13.0,g,bb,47.0,i,t,u,a
27,18.5,g,bb,56.58,d,t,u,b
28,8.5,g,h,57.42,e,t,u,b
29,1.04,g,v,42.08,w,t,u,b
30,14.79,g,v,29.25,aa,t,u,b
31,9.79,g,h,42.0,x,t,u,b
32,7.585,g,bb,49.5,i,t,u,b
33,5.125,g,v,36.75,e,f,u,a
34,10.75,g,v,22.58,q,t,u,a
35,1.5,g,v,27.83,w,t,u,b
36,1.585,g,h,27.25,cc,t,u,b
37,11.75,g,h,23.0,x,t,u,a
38,0.585,g,v,27.75,cc,t,y,b
39,9.415,g,ff,54.58,ff,t,u,b
40,9.17,g,v,34.17,c,t,u,b
41,15.0,g,h,28.92,c,t,u,b
42,1.415,g,h,29.67,w,t,u,b
43,13.915,g,v,39.58,w,t,u,b
44,28.0,g,v,56.42,c,t,y,b
45,6.75,g,h,54.33,c,t,u,b
46,2.04,g,h,41.0,q,t,y,a
47,4.46,g,h,31.92,cc,t,u,b
48,1.54,g,bb,41.5,i,f,u,b
49,0.665,g,v,23.92,c,f,u,b
50,0.5,g,h,25.75,c,f,u,a
51,1.0,g,v,26.0,q,f,u,b
52,2.04,g,v,37.42,w,f,u,b
53,2.5,g,v,34.92,w,f,u,b
54,3.0,g,h,34.25,cc,f,u,b
55,11.625,g,v,23.33,w,f,y,b
56,0.0,g,v,23.17,cc,f,u,b
57,0.5,g,h,44.33,i,f,u,b
58,4.5,s,h,35.17,x,f,u,b
59,3.0,g,h,43.25,q,t,u,b
60,12.25,g,v,56.75,m,t,u,b
61,16.165,g,v,31.67,d,t,u,b
62,0.79,g,v,23.42,q,t,y,a
63,0.835,g,v,20.42,q,t,u,a
64,4.25,g,v,26.67,cc,t,u,b
65,1.54,g,v,34.17,cc,t,u,b
66,1.0,g,v,36.0,c,t,u,a
67,0.375,g,v,25.5,m,t,u,b
68,6.5,g,h,19.42,w,t,u,b
69,25.125,g,h,35.17,x,t,u,b
70,7.5,s,bb,32.33,e,f,u,b
71,4.0,g,bb,34.83,d,f,u,b
72,5.0,g,v,38.58,cc,f,u,a
73,0.5,s,v,44.25,m,f,u,b
74,7.0,g,v,44.83,c,f,y,b
75,5.29,g,v,20.67,q,t,u,b
76,6.5,g,v,34.08,aa,f,u,b
77,0.585,g,v,19.17,aa,f,y,a
78,1.165,g,v,21.67,k,t,y,b
79,9.75,g,v,21.5,c,f,u,b
80,19.0,g,ff,49.58,ff,t,u,b
81,1.5,s,v,27.67,m,f,u,a
82,0.5,s,v,39.83,m,f,u,b
83,3.5,g,v,,d,f,u,a
84,0.625,g,v,27.25,aa,f,u,b
85,4.0,s,bb,37.17,c,f,u,b
86,0.375,s,v,,d,f,u,b
87,2.21,g,v,25.67,aa,f,y,b
88,4.5,g,v,34.0,aa,f,u,b
89,1.5,g,j,49.0,j,f,u,a
90,12.75,g,h,62.5,c,f,y,b
91,15.5,g,v,31.42,c,f,u,b
92,5.0,g,v,,aa,f,y,b
93,1.375,g,h,52.33,c,f,y,b
94,1.5,g,v,28.75,c,f,y,b
95,3.54,g,bb,28.58,i,f,u,a
96,0.625,g,v,23.0,aa,f,y,b
97,0.5,s,bb,,c,f,u,b
98,11.0,g,v,22.5,q,f,y,a
99,1.0,g,v,28.5,q,t,u,a
100,1.75,g,bb,37.5,c,f,y,b
101,16.5,g,v,35.25,c,f,y,b
102,5.0,g,v,18.67,q,t,u,b
103,12.0,g,v,25.0,k,t,u,b
104,4.0,g,h,27.83,i,t,y,b
105,15.5,g,z,54.83,e,t,u,b
106,1.165,s,v,28.75,k,f,u,b
107,11.0,g,v,25.0,aa,f,y,a
108,2.25,g,h,40.92,x,f,y,b
109,0.75,g,v,19.75,c,t,u,a
110,3.5,g,v,29.17,w,t,u,b
111,1.04,g,ff,24.5,ff,t,y,a
112,12.5,g,v,24.58,w,f,u,b
113,0.75,g,bb,33.75,k,t,u,a
114,1.25,g,h,20.67,c,t,y,b
115,1.125,g,v,25.42,q,t,u,a
116,7.0,g,h,37.75,q,t,u,b
117,6.5,g,v,52.5,k,t,u,b
118,7.04,g,v,57.83,m,t,u,b
119,10.335,g,h,20.75,cc,t,u,a
120,6.21,g,v,39.92,q,t,u,b
121,12.5,g,v,25.67,cc,t,u,b
122,12.5,g,v,24.75,aa,t,u,a
123,6.665,g,v,44.17,q,t,u,a
