,binaryClass_cat,motor_cat,screw_cat,pgain_cat,vgain_cat
0,P,E,E,5,4
1,P,B,D,6,5
2,P,D,D,4,3
3,N,B,A,3,2
4,P,D,B,6,5
5,P,E,C,4,3
6,N,C,A,3,2
7,N,A,A,3,2
8,P,C,A,6,5
9,P,D,A,4,1
10,P,B,E,6,5
11,P,E,C,5,4
12,P,B,C,4,1
13,P,E,C,3,1
14,P,C,C,5,4
15,N,E,B,3,2
16,P,D,C,3,1
17,P,B,C,5,4
18,P,B,B,5,4
19,P,C,E,4,2
20,P,E,D,4,3
21,P,A,D,4,3
22,P,B,C,6,5
23,P,A,C,4,2
24,P,A,B,6,5
25,P,E,C,6,5
26,N,A,A,3,1
27,P,A,E,4,2
28,N,C,D,3,2
29,N,B,B,3,2
30,P,B,E,4,2
31,N,B,C,3,1
32,P,C,E,4,1
33,P,C,A,6,2
34,P,C,C,6,5
35,P,E,E,3,2
36,P,D,E,3,1
37,P,E,C,4,2
38,P,C,B,6,5
39,P,C,D,4,1
40,P,D,B,4,1
41,P,C,B,4,3
42,P,C,C,4,3
43,P,B,D,4,1
44,P,B,A,5,3
45,P,A,B,4,3
46,P,B,A,4,1
47,P,E,D,4,2
48,N,C,E,3,2
49,P,D,D,3,1
50,P,D,A,6,5
51,N,C,B,3,2
52,N,B,E,3,2
53,P,C,D,5,4
54,P,B,B,4,2
55,P,A,E,4,3
56,P,A,A,4,2
57,P,B,D,4,3
58,N,E,A,3,2
59,P,B,C,4,3
60,P,E,B,4,2
61,P,E,A,5,4
62,P,E,B,5,4
63,P,C,A,6,1
64,P,D,A,4,3
65,P,C,B,4,2
66,N,D,B,3,2
67,P,D,C,3,2
68,P,C,A,5,2
69,P,B,D,4,2
70,P,B,A,6,5
71,P,D,A,4,2
72,P,C,B,5,4
73,P,A,E,6,5
74,P,A,C,4,1
75,P,A,E,5,4
76,P,E,C,4,1
77,N,B,B,3,1
78,N,A,D,3,2
79,P,E,D,3,2
80,N,E,A,3,1
81,P,A,C,6,5
82,P,C,E,5,4
83,P,C,A,5,4
84,P,E,A,6,5
85,P,B,E,5,4
86,P,E,E,4,3
87,P,B,A,4,2
88,P,B,D,5,4
89,P,C,C,4,2
90,P,A,A,5,3
91,P,C,E,4,3
92,P,A,A,4,3
93,P,C,A,6,3
94,P,A,E,4,1
95,P,A,D,6,5
96,P,E,D,3,1
97,P,C,B,4,1
98,N,B,D,3,2
99,P,B,B,4,3
100,P,B,C,4,2
101,N,A,E,3,2
102,N,B,D,3,1
103,P,D,B,5,4
104,P,C,C,4,1
105,P,C,D,4,2
106,P,E,B,4,1
107,P,D,B,3,1
108,P,E,B,6,5
109,N,D,A,3,1
110,P,A,D,5,4
111,P,C,A,4,1
112,P,C,D,6,5
113,P,B,A,4,3
114,P,E,A,4,3
115,P,A,A,4,1
116,P,A,C,4,3
117,P,E,D,6,5
118,P,E,A,4,2
119,N,C,D,3,1
120,P,B,B,4,1
121,P,C,A,4,2
122,P,C,A,5,1
123,P,C,E,3,1
124,N,C,A,3,1
125,P,C,A,4,3
126,N,C,C,3,1
127,P,D,A,5,4
128,P,A,B,5,4
129,N,C,C,3,2
130,P,E,D,5,4
131,P,D,C,4,3
132,P,E,E,6,5
133,P,D,B,4,2
134,P,A,D,4,2
135,P,B,B,6,5
136,P,A,B,4,1
137,P,A,C,5,4
138,P,B,E,4,1
139,N,C,B,3,1
140,P,E,E,4,2
141,P,B,E,4,3
142,N,A,E,3,1
143,P,A,B,4,2
144,N,A,C,3,1
145,N,E,C,3,2
146,N,B,A,3,1
147,N,D,D,3,2
148,N,A,C,3,2
149,P,E,A,4,1
150,P,B,A,5,4
151,P,E,E,3,1
152,P,D,E,3,2
153,N,E,B,3,1
154,P,A,D,4,1
155,N,A,D,3,1
156,P,E,B,4,3
157,N,A,B,3,1
158,P,D,B,4,3
159,P,A,A,5,4
160,N,D,A,3,2
161,P,C,E,6,5
162,N,B,C,3,2
163,N,B,E,3,1
164,P,C,D,4,3
165,N,A,B,3,2
166,P,A,A,6,5
