,Income_num,Age_num,Civil_num,Can/US_num
0,85439.68,31.18637,22.83411,7.394009
1,64749.58,55.55914,18.82398,4.649171
2,86764.61,46.84475,14.74777,7.412544
3,76695.79,38.65486,16.11274,9.091577
4,79753.87,31.14866,14.08295,11.007282
5,82055.94,21.2955,14.26631,14.826195
6,72670.52,54.14984,15.5977,5.549157
7,67538.19,41.13384,21.82097,5.629469
8,41833.81,32.61265,20.9435,15.480536
9,113446.74,84.19693,18.86272,7.066119
10,86627.63,53.40041,23.1884,10.86045
11,86383.14,36.32352,14.18041,7.793161
12,97907.94,38.24642,17.52741,9.228531
13,91563.92,16.90371,19.21725,12.119771
14,63918.72,49.64308,21.88894,9.367929
15,76114.98,38.69632,17.99165,9.757161
16,68640.05,51.78011,23.46203,7.163988
17,43238.28,48.66861,20.55046,3.349288
18,50678.31,68.20977,20.71243,8.180897
19,80727.17,40.88956,16.8964,7.623984
20,88243.67,70.19353,22.46233,4.892901
21,88434.44,49.78243,24.57066,9.785597
22,75341.91,29.22088,21.2202,9.920431
23,62832.23,61.9452,22.34577,8.0944
24,81047.27,69.92424,24.33128,8.921105
25,157125.33,22.41093,23.81666,7.92407
26,92475.08,73.14208,25.81556,5.392962
27,47878.7,50.25041,18.48134,9.246144
28,73935.63,59.90858,25.38729,8.250439
29,113116.29,47.40993,15.54821,8.253026
30,54774.91,59.22101,21.84382,17.137112
31,101004.21,38.11056,23.03169,9.639585
32,122615.03,38.82649,24.6327,5.30688
33,70442.01,40.49625,18.48409,10.502372
34,77553.6,46.27111,23.04858,7.546625
35,67376.67,60.69474,15.60124,12.359905
36,69511.02,56.9887,21.24923,9.328762
37,106184.31,50.3076,24.42922,6.436592
38,61184.51,31.10928,19.38341,8.685407
39,93064.84,58.87905,20.6005,10.305835
40,57926.15,32.85657,17.12442,7.96686
41,73977.66,29.6662,21.65633,12.43705
42,68507.9,36.12341,21.3262,11.214588
43,69322.61,44.93738,24.62855,4.594869
44,72800.74,44.89563,23.35907,9.4516
45,131035.91,42.55286,19.47317,5.157527
46,77684.08,39.00749,18.88768,10.276209
47,81604.77,28.48044,19.01452,11.769225
48,54097.41,48.10498,19.59423,9.962055
49,65040.06,70.48336,22.7967,6.384136
50,54196.3,41.8252,18.17218,11.039347
51,88772.39,64.93879,22.27267,11.77969
52,60596.4,67.78167,17.01638,11.967506
53,140568.47,63.71057,16.96794,12.084795
54,62667.31,26.6358,18.66263,8.182603
55,107318.15,32.17431,12.31332,4.042098
56,80237.65,29.95373,11.29584,5.509431
57,65125.3,28.72693,10.82765,8.841081
58,90523.53,37.19417,19.13134,4.167812
59,64640.98,33.77907,23.11272,11.328474
60,86419.13,17.25073,20.25152,9.062926
61,64301.24,34.1775,17.75105,11.36868
62,127981.71,60.84548,19.47414,6.690848
63,38300.78,30.85411,17.00643,7.508841
64,53262.9,35.95761,20.01411,6.456081
65,75993.83,55.38179,21.8412,9.043536
66,69372.65,38.01466,13.82133,11.917102
67,61087.11,31.09277,20.50169,8.384408
68,78428.35,66.16185,20.98436,7.962789
69,120415.4,36.88611,26.62899,9.925015
70,81330.7,26.24839,16.37618,9.206887
71,70437.0,52.60568,26.44081,12.057291
72,66272.01,45.49325,15.32068,4.805596
73,73236.86,54.82461,20.53692,8.685458
74,82253.09,34.48473,21.45076,4.187657
75,60875.11,44.16966,11.97941,11.715031
76,79216.25,53.20888,19.28388,11.385194
77,85644.84,29.77773,21.62575,7.723369
78,119725.93,31.48746,18.88074,8.664322
79,76628.54,53.39722,27.6194,17.945732
80,148151.09,48.65152,13.79837,11.043041
81,66689.53,34.55501,20.04578,9.647154
82,74635.54,29.16693,13.75281,9.239416
83,76799.09,30.30996,16.85495,12.189791
84,65594.55,44.45727,21.99979,13.024019
85,90990.27,19.66987,15.12152,10.161239
