,oz10_num,oz1_num,oz2_num,oz3_num,oz4_num,oz5_num,oz6_num,oz7_num,oz8_num,oz9_num
0,0.209516,0.367424,0.350397,0.230765,0.579297,0.616564,0.0,0.0,0.896104,0.443356
1,0.180945,0.638527,0.5,0.023878,0.758607,0.313116,0.140194,0.604286,0.896104,0.515607
2,0.209516,0.347212,0.507874,0.175062,0.786194,0.224841,0.140194,0.647065,0.87013,0.453211
3,0.447609,0.892978,0.5,0.40318,0.462055,0.731047,0.140194,0.010685,0.844155,0.552826
4,0.0,0.41142,0.322838,0.0,0.968962,0.445531,0.140194,0.770061,0.805194,0.604824
5,0.238087,0.222362,0.511811,0.177713,0.758607,0.531047,0.140194,0.644394,0.831168,0.556659
6,0.076169,0.420933,0.472441,0.026513,0.858607,0.455185,0.0,0.106939,0.935065,0.0
7,0.361896,0.507733,0.358271,0.230765,0.399986,0.34484,0.140194,0.505353,0.818181,0.563226
8,1.0,0.073721,0.271657,0.835556,0.0,0.070354,0.308419,0.574873,0.727272,0.985228
9,0.828566,0.127245,0.464567,0.575595,0.203426,0.771048,0.308419,0.23797,0.688311,0.985228
10,0.152373,0.0,1.0,0.43501,0.944826,0.688288,0.32711,0.882376,1.0,0.673791
11,0.666667,0.532702,0.003933,0.442967,0.131017,0.511737,0.308419,0.270058,0.701298,0.703347
12,0.466656,0.529135,0.437008,0.761288,0.024137,0.023461,0.682251,0.71926,0.415581,0.897657
13,0.180945,0.398342,0.507874,0.734743,0.968962,0.936559,0.271036,0.449202,0.805194,0.767936
14,0.104754,1.0,0.472441,0.018575,1.0,0.867613,0.0,0.286101,0.987013,0.332241
15,0.238087,0.854932,0.515748,0.018575,0.834467,1.0,0.140194,0.406423,0.935065,0.677075
16,0.342848,0.500599,0.0,1.0,0.282744,0.137954,1.0,1.0,0.0,1.0
17,0.238087,0.702737,0.133862,0.70823,0.568952,0.0,0.682251,1.0,0.376614,0.800775
18,0.542847,0.189069,0.433071,0.496018,0.203426,0.408289,0.233653,0.401075,0.844155,0.994539
