,Class_cat,top-left-square_cat,top-middle-square_cat,top-right-square_cat,middle-left-square_cat,middle-middle-square_cat,middle-right-square_cat,bottom-left-square_cat,bottom-middle-square_cat,bottom-right-square_cat
0,positive,x,x,x,x,o,o,x,o,o
1,positive,x,x,x,x,o,o,o,x,o
2,positive,x,x,x,x,o,o,o,o,x
3,positive,x,x,x,x,o,o,o,b,b
4,positive,x,x,x,x,o,o,b,o,b
5,positive,x,x,x,x,o,o,b,b,o
6,positive,x,x,x,x,o,b,o,o,b
7,positive,x,x,x,x,o,b,o,b,o
8,positive,x,x,x,x,o,b,b,o,o
9,positive,x,x,x,x,b,o,o,o,b
10,positive,x,x,x,x,b,o,o,b,o
11,positive,x,x,x,x,b,o,b,o,o
12,positive,x,x,x,o,x,o,x,o,o
13,positive,x,x,x,o,x,o,o,x,o
14,positive,x,x,x,o,x,o,o,o,x
15,positive,x,x,x,o,x,o,o,b,b
16,positive,x,x,x,o,x,o,b,o,b
17,positive,x,x,x,o,x,o,b,b,o
18,positive,x,x,x,o,x,b,o,o,b
19,positive,x,x,x,o,x,b,o,b,o
20,positive,x,x,x,o,x,b,b,o,o
21,positive,x,x,x,o,o,x,x,o,o
22,positive,x,x,x,o,o,x,o,x,o
23,positive,x,x,x,o,o,x,o,o,x
24,positive,x,x,x,o,o,x,o,b,b
25,positive,x,x,x,o,o,x,b,o,b
26,positive,x,x,x,o,o,x,b,b,o
27,positive,x,x,x,o,o,b,x,o,b
28,positive,x,x,x,o,o,b,x,b,o
29,positive,x,x,x,o,o,b,o,x,b
30,positive,x,x,x,o,o,b,o,b,x
31,positive,x,x,x,o,o,b,b,x,o
32,positive,x,x,x,o,o,b,b,o,x
33,positive,x,x,x,o,o,b,b,b,b
34,positive,x,x,x,o,b,x,o,o,b
35,positive,x,x,x,o,b,x,o,b,o
36,positive,x,x,x,o,b,x,b,o,o
37,positive,x,x,x,o,b,o,x,o,b
38,positive,x,x,x,o,b,o,x,b,o
39,positive,x,x,x,o,b,o,o,x,b
40,positive,x,x,x,o,b,o,o,b,x
41,positive,x,x,x,o,b,o,b,x,o
42,positive,x,x,x,o,b,o,b,o,x
43,positive,x,x,x,o,b,o,b,b,b
44,positive,x,x,x,o,b,b,x,o,o
45,positive,x,x,x,o,b,b,o,x,o
46,positive,x,x,x,o,b,b,o,o,x
47,positive,x,x,x,o,b,b,o,b,b
48,positive,x,x,x,o,b,b,b,o,b
49,positive,x,x,x,o,b,b,b,b,o
50,positive,x,x,x,b,x,o,o,o,b
51,positive,x,x,x,b,x,o,o,b,o
52,positive,x,x,x,b,x,o,b,o,o
53,positive,x,x,x,b,o,x,o,o,b
54,positive,x,x,x,b,o,x,o,b,o
55,positive,x,x,x,b,o,x,b,o,o
56,positive,x,x,x,b,o,o,x,o,b
57,positive,x,x,x,b,o,o,x,b,o
58,positive,x,x,x,b,o,o,o,x,b
59,positive,x,x,x,b,o,o,o,b,x
60,positive,x,x,x,b,o,o,b,x,o
61,positive,x,x,x,b,o,o,b,o,x
62,positive,x,x,x,b,o,o,b,b,b
63,positive,x,x,x,b,o,b,x,o,o
64,positive,x,x,x,b,o,b,o,x,o
65,positive,x,x,x,b,o,b,o,o,x
66,positive,x,x,x,b,o,b,o,b,b
67,positive,x,x,x,b,o,b,b,o,b
68,positive,x,x,x,b,o,b,b,b,o
69,positive,x,x,x,b,b,o,x,o,o
70,positive,x,x,x,b,b,o,o,x,o
71,positive,x,x,x,b,b,o,o,o,x
72,positive,x,x,x,b,b,o,o,b,b
73,positive,x,x,x,b,b,o,b,o,b
74,positive,x,x,x,b,b,o,b,b,o
75,positive,x,x,x,b,b,b,o,o,b
76,positive,x,x,x,b,b,b,o,b,o
77,positive,x,x,x,b,b,b,b,o,o
78,positive,x,x,o,x,x,o,o,o,x
79,positive,x,x,o,x,o,x,x,o,o
80,positive,x,x,o,x,o,o,x,o,x
81,positive,x,x,o,x,o,o,x,b,b
82,positive,x,x,o,x,o,b,x,o,b
83,positive,x,x,o,x,o,b,x,b,o
84,positive,x,x,o,x,b,o,x,o,b
85,positive,x,x,o,x,b,b,x,o,o
86,positive,x,x,o,o,x,x,o,x,o
87,positive,x,x,o,o,x,x,o,o,x
88,positive,x,x,o,o,x,o,x,o,x
89,positive,x,x,o,o,x,o,o,x,x
90,positive,x,x,o,o,x,o,b,x,b
91,positive,x,x,o,o,x,o,b,b,x
92,positive,x,x,o,o,x,b,o,x,b
93,positive,x,x,o,o,x,b,o,b,x
94,positive,x,x,o,o,x,b,b,x,o
95,positive,x,x,o,o,x,b,b,o,x
96,positive,x,x,o,b,x,o,o,x,b
97,positive,x,x,o,b,x,o,o,b,x
98,positive,x,x,o,b,x,o,b,o,x
99,positive,x,x,o,b,x,b,o,x,o
100,positive,x,x,o,b,x,b,o,o,x
101,positive,x,x,b,x,o,o,x,o,b
102,positive,x,x,b,x,o,o,x,b,o
103,positive,x,x,b,x,o,b,x,o,o
104,positive,x,x,b,x,b,o,x,o,o
105,positive,x,x,b,o,x,o,o,x,b
106,positive,x,x,b,o,x,o,o,b,x
107,positive,x,x,b,o,x,o,b,x,o
108,positive,x,x,b,o,x,o,b,o,x
109,positive,x,x,b,o,x,b,o,x,o
110,positive,x,x,b,o,x,b,o,o,x
111,positive,x,x,b,b,x,o,o,x,o
112,positive,x,x,b,b,x,o,o,o,x
113,positive,x,o,x,x,x,o,x,o,o
114,positive,x,o,x,x,x,o,o,o,x
115,positive,x,o,x,x,o,o,x,x,o
116,positive,x,o,x,x,o,o,x,b,b
117,positive,x,o,x,x,o,b,x,b,o
118,positive,x,o,x,x,b,o,x,o,b
119,positive,x,o,x,x,b,o,x,b,o
120,positive,x,o,x,x,b,b,x,o,o
121,positive,x,o,x,o,x,x,x,o,o
122,positive,x,o,x,o,x,x,o,o,x
123,positive,x,o,x,o,x,o,x,x,o
124,positive,x,o,x,o,x,o,x,o,x
125,positive,x,o,x,o,x,o,x,b,b
126,positive,x,o,x,o,x,o,o,x,x
127,positive,x,o,x,o,x,o,b,b,x
128,positive,x,o,x,o,x,b,x,o,b
129,positive,x,o,x,o,x,b,x,b,o
130,positive,x,o,x,o,x,b,o,b,x
131,positive,x,o,x,o,x,b,b,o,x
132,positive,x,o,x,o,o,x,o,x,x
133,positive,x,o,x,o,o,x,b,b,x
134,positive,x,o,x,o,b,x,o,b,x
135,positive,x,o,x,o,b,x,b,o,x
136,positive,x,o,x,b,x,o,x,o,b
137,positive,x,o,x,b,x,o,x,b,o
138,positive,x,o,x,b,x,o,o,b,x
139,positive,x,o,x,b,x,o,b,o,x
140,positive,x,o,x,b,x,b,x,o,o
141,positive,x,o,x,b,x,b,o,o,x
142,positive,x,o,x,b,o,x,o,b,x
143,positive,x,o,x,b,b,x,o,o,x
144,positive,x,o,o,x,x,x,x,o,o
145,positive,x,o,o,x,x,x,o,x,o
146,positive,x,o,o,x,x,x,o,o,x
147,positive,x,o,o,x,x,x,o,b,b
148,positive,x,o,o,x,x,x,b,o,b
149,positive,x,o,o,x,x,x,b,b,o
150,positive,x,o,o,x,x,o,x,o,x
151,positive,x,o,o,x,x,o,x,b,b
152,positive,x,o,o,x,x,o,o,x,x
153,positive,x,o,o,x,x,o,b,b,x
154,positive,x,o,o,x,x,b,x,o,b
155,positive,x,o,o,x,x,b,x,b,o
156,positive,x,o,o,x,x,b,o,b,x
157,positive,x,o,o,x,x,b,b,o,x
158,positive,x,o,o,x,o,x,x,x,o
159,positive,x,o,o,x,o,x,x,b,b
160,positive,x,o,o,x,o,o,x,x,x
161,positive,x,o,o,x,o,b,x,x,b
162,positive,x,o,o,x,o,b,x,b,x
163,positive,x,o,o,x,b,x,x,o,b
164,positive,x,o,o,x,b,x,x,b,o
165,positive,x,o,o,x,b,o,x,x,b
166,positive,x,o,o,x,b,o,x,b,x
167,positive,x,o,o,x,b,b,x,x,o
168,positive,x,o,o,x,b,b,x,o,x
169,positive,x,o,o,x,b,b,x,b,b
170,positive,x,o,o,o,x,x,x,o,x
171,positive,x,o,o,o,x,x,o,x,x
172,positive,x,o,o,o,x,x,b,b,x
173,positive,x,o,o,o,x,o,x,x,x
174,positive,x,o,o,o,x,b,x,b,x
175,positive,x,o,o,o,x,b,b,x,x
176,positive,x,o,o,o,o,x,x,x,x
