,class_cat,duration_num,wage-increase-first-year_num,wage-increase-second-year_num,wage-increase-third-year_num,cost-of-living-adjustment_cat,working-hours_num,pension_cat,standby-pay_num,shift-differential_num,education-allowance_cat,statutory-holidays_num,vacation_cat,longterm-disability-assistance_cat,contribution-to-dental-plan_cat,bereavement-assistance_cat,contribution-to-health-plan_cat
0,good,1.0,5.0,,,,40.0,,,2.0,,11.0,average,,,yes,
1,good,2.0,4.5,5.8,,,35.0,ret_allw,,,yes,11.0,below_average,,full,,full
2,good,,,,,,38.0,empl_contr,,5.0,,11.0,generous,yes,half,yes,half
3,good,3.0,3.7,4.0,5.0,tc,,,,,yes,,,,,yes,
4,good,3.0,4.5,4.5,5.0,,40.0,,,,,12.0,average,,half,yes,half
5,good,2.0,2.0,2.5,,,35.0,,,6.0,yes,12.0,average,,,,
6,good,3.0,4.0,5.0,5.0,tc,,empl_contr,,,,12.0,generous,yes,none,yes,half
7,good,3.0,6.9,4.8,2.3,,40.0,,,3.0,,12.0,below_average,,,,
8,good,2.0,3.0,7.0,,,38.0,,12.0,25.0,yes,11.0,below_average,yes,half,yes,
9,good,1.0,5.7,,,none,40.0,empl_contr,,4.0,,11.0,generous,yes,full,,
10,good,3.0,3.5,4.0,4.6,none,36.0,,,3.0,,13.0,generous,,,yes,full
11,good,2.0,6.4,6.4,,,38.0,,,4.0,,15.0,,,full,,
12,bad,2.0,3.5,4.0,,none,40.0,,,2.0,no,10.0,below_average,no,half,,half
13,good,3.0,3.5,4.0,5.1,tcf,37.0,,,4.0,,13.0,generous,,full,yes,full
14,good,1.0,3.0,,,none,36.0,,,10.0,no,11.0,generous,,,,
15,good,2.0,4.5,4.0,,none,37.0,empl_contr,,,,11.0,average,,full,yes,
16,good,1.0,2.8,,,,35.0,,,2.0,,12.0,below_average,,,,
17,bad,1.0,2.1,,,tc,40.0,ret_allw,2.0,3.0,no,9.0,below_average,yes,half,,none
18,bad,1.0,2.0,,,none,38.0,none,,,yes,11.0,average,no,none,no,none
19,good,2.0,4.0,5.0,,tcf,35.0,,13.0,5.0,,15.0,generous,,,,
20,good,2.0,4.3,4.4,,,38.0,,,4.0,,12.0,generous,,full,,full
21,bad,2.0,2.5,3.0,,,40.0,none,,,,11.0,below_average,,,,
22,good,3.0,3.5,4.0,4.6,tcf,27.0,,,,,,,,,,
23,good,2.0,4.5,4.0,,,40.0,,,4.0,,10.0,generous,,half,,full
24,good,1.0,6.0,,,,38.0,,8.0,3.0,,9.0,generous,,,,
25,bad,3.0,2.0,2.0,2.0,none,40.0,none,,,,10.0,below_average,,half,yes,full
26,good,2.0,4.5,4.5,,tcf,,,,,yes,10.0,below_average,yes,none,,half
27,good,2.0,3.0,3.0,,none,33.0,,,,yes,12.0,generous,,,yes,full
28,good,2.0,5.0,4.0,,none,37.0,,,5.0,no,11.0,below_average,yes,full,yes,full
29,bad,3.0,2.0,2.5,,,35.0,none,,,,10.0,average,,,yes,full
30,good,3.0,4.5,4.5,5.0,none,40.0,,,,no,11.0,average,,half,,
31,bad,3.0,3.0,2.0,2.5,tc,40.0,none,,5.0,no,10.0,below_average,yes,half,yes,full
32,bad,2.0,2.5,2.5,,,38.0,empl_contr,,,,10.0,average,,,,
33,bad,2.0,4.0,5.0,,none,40.0,none,,3.0,no,10.0,below_average,no,none,,none
34,bad,3.0,2.0,2.5,2.1,tc,40.0,none,2.0,1.0,no,10.0,below_average,no,half,yes,full
35,bad,2.0,2.0,2.0,,none,40.0,none,,,no,11.0,average,yes,none,yes,full
36,bad,1.0,2.0,,,tc,40.0,ret_allw,4.0,0.0,no,11.0,generous,no,none,no,none
37,bad,1.0,2.8,,,none,38.0,empl_contr,2.0,3.0,no,9.0,below_average,yes,half,,none
38,bad,3.0,2.0,2.5,2.0,,37.0,empl_contr,,,,10.0,average,,,yes,none
39,good,2.0,4.5,4.0,,none,40.0,,,4.0,,12.0,average,yes,full,yes,half
40,bad,1.0,4.0,,,none,,none,,,yes,11.0,average,no,none,no,none
41,bad,2.0,2.0,3.0,,none,38.0,empl_contr,,,yes,12.0,generous,yes,none,yes,full
42,bad,2.0,2.5,2.5,,tc,39.0,empl_contr,,,,12.0,average,,,yes,
43,bad,2.0,2.5,3.0,,tcf,40.0,none,,,,11.0,below_average,,,yes,
44,bad,2.0,4.0,4.0,,none,40.0,none,,3.0,,10.0,below_average,no,none,,none
45,bad,2.0,4.5,4.0,,,40.0,,,2.0,no,10.0,below_average,no,half,,half
46,good,2.0,4.5,4.0,,none,40.0,,,5.0,,11.0,average,,full,yes,full
47,good,2.0,4.6,4.6,,tcf,38.0,,,,,,,yes,half,,half
48,good,2.0,5.0,4.5,,none,38.0,,14.0,5.0,,11.0,below_average,yes,,,full
49,good,2.0,5.7,4.5,,none,40.0,ret_allw,,,,11.0,average,yes,full,yes,full
50,good,2.0,7.0,5.3,,,,,,,,11.0,,yes,full,,
51,good,3.0,2.0,3.0,,tcf,,empl_contr,,,yes,,,yes,half,yes,
52,good,3.0,3.5,4.0,4.5,tcf,35.0,,,,,13.0,generous,,,yes,full
53,good,3.0,4.0,3.5,,none,40.0,empl_contr,,6.0,,11.0,average,yes,full,,full
54,good,3.0,5.0,4.4,,none,38.0,empl_contr,10.0,6.0,,11.0,generous,yes,,,full
55,good,3.0,5.0,5.0,5.0,,40.0,,,,,12.0,average,,half,yes,half
56,good,3.0,6.0,6.0,4.0,,35.0,,,14.0,,9.0,generous,yes,full,yes,full
