,dwipd_cat,hdchk_cat,stlmt_cat,wkcti_cat,mulch_cat,blxwp_cat,wknck_cat,class_cat,wkovl_cat,skach_cat,dsopp_cat,bkblk_cat,spcop_cat,reskd_cat,skewr_cat,rxmsq_cat,skrxp_cat,bxqsq_cat
0,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
1,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
2,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
3,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
4,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
5,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
6,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
7,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
8,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
9,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
10,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
11,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
12,l,f,f,t,f,t,f,won,t,f,f,f,f,f,t,f,f,f
13,l,f,f,t,f,t,f,won,t,f,f,f,f,f,t,f,f,f
14,l,f,f,t,f,t,f,won,t,f,f,f,f,f,t,f,f,f
15,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
16,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
17,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
18,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
19,l,f,f,t,f,t,f,won,t,f,f,f,f,f,t,f,f,f
20,l,f,f,t,f,t,f,won,t,f,f,f,f,f,t,f,f,f
21,l,f,f,t,f,t,f,won,t,f,f,f,f,f,t,f,f,f
22,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
23,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
24,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
25,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
26,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
27,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
28,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
29,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
30,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
31,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
32,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
33,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
34,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
35,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
36,l,f,f,f,f,f,f,won,t,f,f,f,f,f,t,f,f,f
37,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
38,l,f,f,t,f,f,f,won,t,f,f,f,f,f,t,f,f,f
39,l,f,f,f,f,t,f,won,t,f,f,f,f,f,t,f,f,f
