,att31_num,att43_num,att26_num,att74_num,att58_num,att59_num,att61_num,att51_num,att36_num,att57_num,att10_num,att53_num,att34_num,att2_num,att71_num,att27_num,att46_num,att15_num,att45_num,att19_num,att76_num,att70_num,att63_num,att75_num,att62_num,att35_num,att38_num,att55_num,att33_num,att67_num,att40_num,att21_num,att68_num,att3_num,att44_num,att56_num,att39_num,att47_num
0,0.10258255,0.08128562,0.07601515,0.39436572,0.01642286,0.09935212,0.08637167,0.08351457,0.08377258,0.10948465,0.03706516,0.08296503,0.03521252,0.19731169,0.0677952,0.03251728,0.06358191,0.21948485,0.09049952,0.11405136,0.34487096,0.2816663,0.10628061,0.04997072,0.16765423,0.07900934,0.12162476,0.11673209,0.06572986,0.12344814,0.03377662,0.10262683,0.11337439,0.10382563,0.05234493,0.03476068,0.06751158,0.08110426
1,0.01678971,0.09084388,0.07386554,0.44527711,0.08124583,0.05488358,0.06922771,0.08827668,0.09720924,0.0157208,0.05966093,0.08293348,0.0548958,0.17597068,0.04544675,0.05119187,0.07263301,0.20936369,0.09217746,0.2348765,0.35409193,0.25426447,0.01996358,0.08397801,0.14588863,0.08867811,0.02690619,0.03004015,0.07688914,0.04530983,0.02042287,0.01963094,0.06933745,0.10551464,0.01198566,0.12295817,0.11328339,0.00689356
2,0.01611436,0.09450837,0.07671452,0.44502912,0.04095022,0.03373182,0.051349,0.05455551,0.09145005,0.02946103,0.04456917,0.07364814,0.09026291,0.22764888,0.04715371,0.05856481,0.07133398,0.21801227,0.0861379,0.10311241,0.2614646,0.36046421,0.04510594,0.07123367,0.19085374,0.07213971,0.0205283,0.03252854,0.07797869,0.01985846,0.02222222,0.01667626,0.21884189,0.10876636,0.03947392,0.05799682,0.06314673,0.01431514
3,0.01806257,0.08720992,0.08758971,0.40829055,0.10568698,0.08194066,0.0890212,0.06721232,0.08856824,0.0208773,0.11905231,0.08515453,0.15600512,0.21797938,0.07595038,0.11305006,0.01926819,0.15209755,0.07671094,0.05667001,0.40137574,0.15187976,0.06934071,0.06301013,0.06211609,0.01852276,0.03621999,0.07365318,0.08982039,0.08399517,0.06655702,0.01770276,0.08547904,0.08024345,0.08777712,0.08327879,0.04510843,0.07973616
4,0.07890939,0.06349254,0.05814712,0.43470075,0.07120772,0.05261301,0.0262826,0.04953541,0.05843574,0.07284424,0.04914196,0.04812463,0.08017575,0.1983584,0.0156737,0.06762978,0.07273317,0.21683456,0.04783511,0.20655371,0.40540344,0.24856505,0.06354557,0.06921835,0.16288408,0.07686287,0.08232977,0.05739412,0.08222084,0.02100367,0.04348229,0.10294857,0.1069604,0.11123936,0.07077744,0.10858039,0.0459874,0.07632727
5,0.09238363,0.06934867,0.06642747,0.45664441,0.12604533,0.07647531,0.06799833,0.10628682,0.09031893,0.09832089,0.17747613,0.09306785,0.06620246,0.35129261,0.02805878,0.0914768,0.0554343,0.16982734,0.12102819,0.05545361,0.35354483,0.18289342,0.07394119,0.05972553,0.12285731,0.07062131,0.08059791,0.06385186,0.0688443,0.0664184,0.08020984,0.10116423,0.04272158,0.12899341,0.02253228,0.09064673,0.06331217,0.07273945
6,0.09677651,0.03713339,0.05747365,0.37815674,0.09932677,0.11177698,0.08641717,0.07582418,0.04984378,0.08116518,0.08366929,0.06682776,0.07927985,0.10309353,0.05332711,0.09713349,0.07024119,0.21158101,0.04909994,0.04915376,0.40443893,0.24257356,0.06235026,0.07351001,0.16368028,0.08283934,0.10471323,0.07182039,0.03758998,0.1185696,0.12790351,0.10761262,0.07661738,0.11079142,0.08955788,0.06265518,0.01192258,0.05792817
7,0.0816067,0.05829074,0.07430088,0.41610144,0.03817155,0.13056528,0.0982099,0.05774189,0.05504403,0.10734236,0.0282975,0.06443459,0.03223813,0.15033489,0.02683332,0.02019712,0.04990956,0.19877768,0.04090698,0.16180615,0.30157086,0.3477453,0.09561303,0.1276809,0.14467383,0.04870989,0.09326884,0.13325404,0.09102479,0.11639298,0.02709693,0.0829926,0.24576891,0.1079316,0.06777001,0.06885241,0.06529216,0.09473052
8,0.1470745,0.0570213,0.02436269,0.38430392,0.06724877,0.02259305,0.00807522,0.00646388,0.05265772,0.10919856,0.09641373,0.01529354,0.02321073,0.1008919,0.01299651,0.04581986,0.01321067,0.21662642,0.03832658,0.07395176,0.44568487,0.19791854,0.0551028,0.08106681,0.11692584,0.06162552,0.16416007,0.08997811,0.00962257,0.01917688,0.02346176,0.13034598,0.07171269,0.07458095,0.0253571,0.08596331,0.05269876,0.09887346
9,0.00282674,0.01829286,0.01866496,0.42168991,0.11807802,0.03457897,0.02505161,0.02345304,0.00739835,0.0131093,0.18230127,0.01796906,0.06374154,0.09051552,0.05120327,0.10800742,0.09053223,0.08263562,0.01643127,0.07835999,0.37009931,0.12322217,0.03822664,0.01706748,0.01217861,0.07622194,0.01820838,0.02116023,0.01785237,0.05110793,0.04074509,0.00243648,0.10371516,0.08421299,0.0259911,0.0773058,0.11091156,0.0419013
10,0.02314788,0.03818043,0.04366384,0.43275658,0.10077246,0.03988859,0.02789176,0.02286396,0.02719031,0.01486833,0.05446406,0.03617511,0.04922222,0.19568918,0.02572261,0.02760486,0.09816226,0.22234199,0.03730349,0.22296224,0.43010445,0.17987122,0.02078921,0.00790854,0.1318243,0.11745448,0.0628285,0.0361106,0.05895292,0.02407283,0.01039863,0.02471345,0.03934906,0.05037062,0.0147495,0.14117476,0.13638425,0.0463797
11,0.01208984,0.01325472,0.00695648,0.44888233,0.12880457,0.03919068,0.03257464,0.02698809,0.01259255,0.02375324,0.13308798,0.02275007,0.13063822,0.18284028,0.078153,0.12643627,0.00856257,0.15491515,0.02237432,0.0649132,0.3529797,0.20911773,0.03827575,0.09589836,0.07976054,0.01829817,0.01786556,0.05592925,0.03512029,0.05342303,0.10484822,0.00517189,0.0475108,0.07194474,0.09763638,0.11392117,0.01356115,0.05233546
12,0.09023073,0.02858229,0.10165485,0.40315134,0.1107078,0.10522299,0.10465202,0.07636048,0.08273134,0.10006772,0.18652886,0.10841337,0.06084008,0.15019587,0.06215544,0.10851194,0.0627695,0.12463542,0.07500129,0.100624,0.38128321,0.12943896,0.09113857,0.07415113,0.04330123,0.04880769,0.05780587,0.08712429,0.07316504,0.07472203,0.04390675,0.07473948,0.09264943,0.11284983,0.03040257,0.08840969,0.06690372,0.08612732
13,0.03684005,0.05384658,0.031752,0.42823368,0.12388798,0.05514936,0.02478241,0.06252824,0.04676205,0.05049203,0.14541699,0.03825019,0.12384591,0.14493251,0.05101484,0.12215274,0.04984652,0.12550784,0.05636907,0.02999629,0.4144852,0.14598696,0.03791851,0.02583587,0.03996603,0.02338891,0.02236391,0.03154209,0.03321973,0.02640682,0.06592091,0.04073709,0.05177994,0.01754393,0.07843578,0.0944536,0.04746798,0.01122688
14,0.0378913,0.07250311,0.07649071,0.4124645,0.11160834,0.09219914,0.08169369,0.09023772,0.07138585,0.0332522,0.12315355,0.07988628,0.10791531,0.16409182,0.06248089,0.11404745,0.00890354,0.14182358,0.0662566,0.02257129,0.39411308,0.1814327,0.06283194,0.05776378,0.06949082,0.00620318,0.05160402,0.062114,0.0803984,0.08937636,0.05020014,0.02184828,0.02629802,0.05152557,0.05376328,0.09909362,0.02029751,0.06053566
