,class_cat,left-weight_num,left-distance_num,right-weight_num,right-distance_num
0,B,1.0,1.0,1.0,1.0
1,R,1.0,1.0,1.0,2.0
2,R,1.0,1.0,1.0,3.0
3,R,1.0,1.0,1.0,4.0
4,R,1.0,1.0,1.0,5.0
5,R,1.0,1.0,2.0,1.0
6,R,1.0,1.0,2.0,2.0
7,R,1.0,1.0,2.0,3.0
8,R,1.0,1.0,2.0,4.0
9,R,1.0,1.0,2.0,5.0
10,R,1.0,1.0,3.0,1.0
11,R,1.0,1.0,3.0,2.0
12,R,1.0,1.0,3.0,3.0
13,R,1.0,1.0,3.0,4.0
14,R,1.0,1.0,3.0,5.0
15,R,1.0,1.0,4.0,1.0
16,R,1.0,1.0,4.0,2.0
17,R,1.0,1.0,4.0,3.0
18,R,1.0,1.0,4.0,4.0
19,R,1.0,1.0,4.0,5.0
20,R,1.0,1.0,5.0,1.0
21,R,1.0,1.0,5.0,2.0
22,R,1.0,1.0,5.0,3.0
23,R,1.0,1.0,5.0,4.0
24,R,1.0,1.0,5.0,5.0
25,L,1.0,2.0,1.0,1.0
26,B,1.0,2.0,1.0,2.0
27,R,1.0,2.0,1.0,3.0
28,R,1.0,2.0,1.0,4.0
29,R,1.0,2.0,1.0,5.0
30,B,1.0,2.0,2.0,1.0
31,R,1.0,2.0,2.0,2.0
32,R,1.0,2.0,2.0,3.0
33,R,1.0,2.0,2.0,4.0
34,R,1.0,2.0,2.0,5.0
35,R,1.0,2.0,3.0,1.0
36,R,1.0,2.0,3.0,2.0
37,R,1.0,2.0,3.0,3.0
38,R,1.0,2.0,3.0,4.0
39,R,1.0,2.0,3.0,5.0
40,R,1.0,2.0,4.0,1.0
41,R,1.0,2.0,4.0,2.0
42,R,1.0,2.0,4.0,3.0
43,R,1.0,2.0,4.0,4.0
44,R,1.0,2.0,4.0,5.0
45,R,1.0,2.0,5.0,1.0
46,R,1.0,2.0,5.0,2.0
47,R,1.0,2.0,5.0,3.0
48,R,1.0,2.0,5.0,4.0
49,R,1.0,2.0,5.0,5.0
50,L,1.0,3.0,1.0,1.0
51,L,1.0,3.0,1.0,2.0
52,B,1.0,3.0,1.0,3.0
53,R,1.0,3.0,1.0,4.0
54,R,1.0,3.0,1.0,5.0
55,L,1.0,3.0,2.0,1.0
56,R,1.0,3.0,2.0,2.0
57,R,1.0,3.0,2.0,3.0
58,R,1.0,3.0,2.0,4.0
59,R,1.0,3.0,2.0,5.0
60,B,1.0,3.0,3.0,1.0
61,R,1.0,3.0,3.0,2.0
62,R,1.0,3.0,3.0,3.0
63,R,1.0,3.0,3.0,4.0
