,binaryClass_cat,year_num,month_cat
0,P,1979.0,January
1,P,1979.0,February
2,P,1979.0,March
3,P,1979.0,April
4,P,1979.0,May
5,P,1979.0,June
6,P,1979.0,July
7,P,1979.0,August
8,P,1979.0,September
9,P,1979.0,October
10,P,1979.0,November
11,P,1979.0,December
12,P,1980.0,January
13,P,1980.0,February
14,P,1980.0,March
15,P,1980.0,April
16,P,1980.0,May
17,P,1980.0,June
18,P,1980.0,July
19,P,1980.0,August
20,P,1980.0,September
21,P,1980.0,October
22,P,1980.0,November
23,P,1980.0,December
24,P,1981.0,January
25,P,1981.0,February
26,P,1981.0,March
27,P,1981.0,April
28,P,1981.0,May
29,P,1981.0,June
30,P,1981.0,July
31,P,1981.0,August
32,P,1981.0,September
33,P,1981.0,October
34,P,1981.0,November
35,P,1981.0,December
36,P,1982.0,January
37,P,1982.0,February
38,P,1982.0,March
39,P,1982.0,April
40,P,1982.0,May
41,P,1982.0,June
42,P,1982.0,July
43,P,1982.0,August
44,P,1982.0,September
45,P,1982.0,October
46,P,1982.0,November
47,P,1982.0,December
48,P,1983.0,January
49,P,1983.0,February
50,P,1983.0,March
51,P,1983.0,April
52,P,1983.0,May
53,P,1983.0,June
54,P,1983.0,July
55,P,1983.0,August
56,P,1983.0,September
57,P,1983.0,October
58,P,1983.0,November
59,P,1983.0,December
60,P,1984.0,January
61,P,1984.0,February
62,P,1984.0,March
63,P,1984.0,April
64,P,1984.0,May
65,P,1984.0,June
66,P,1984.0,July
67,P,1984.0,August
68,P,1984.0,September
69,P,1984.0,October
70,P,1984.0,November
71,P,1984.0,December
72,P,1985.0,January
73,P,1985.0,February
74,P,1985.0,March
75,P,1985.0,April
76,P,1985.0,May
77,P,1985.0,June
78,N,1985.0,July
79,N,1985.0,August
80,P,1985.0,September
81,P,1985.0,October
82,P,1985.0,November
83,P,1985.0,December
84,P,1986.0,January
85,P,1986.0,February
86,P,1986.0,March
87,P,1986.0,April
88,P,1986.0,May
89,P,1986.0,June
90,P,1986.0,July
91,P,1986.0,August
92,P,1986.0,September
93,P,1986.0,October
94,P,1986.0,November
95,P,1986.0,December
96,P,1987.0,January
97,P,1987.0,February
98,P,1987.0,March
99,P,1987.0,April
100,P,1987.0,May
101,P,1987.0,June
102,N,1987.0,July
103,N,1987.0,August
104,P,1987.0,September
105,P,1987.0,October
106,P,1987.0,November
107,P,1987.0,December
108,P,1988.0,January
109,P,1988.0,February
110,P,1988.0,March
111,P,1988.0,April
112,N,1988.0,May
113,N,1988.0,June
114,N,1988.0,July
115,N,1988.0,August
116,N,1988.0,September
117,N,1988.0,October
118,P,1988.0,November
119,P,1988.0,December
120,P,1989.0,January
121,P,1989.0,February
122,P,1989.0,March
123,N,1989.0,April
124,N,1989.0,May
125,N,1989.0,June
126,N,1989.0,July
127,N,1989.0,August
128,N,1989.0,September
129,N,1989.0,October
130,P,1989.0,November
131,P,1989.0,December
132,P,1990.0,January
133,P,1990.0,February
134,P,1990.0,March
135,N,1990.0,April
136,N,1990.0,May
137,N,1990.0,June
138,N,1990.0,July
139,N,1990.0,August
140,N,1990.0,September
141,N,1990.0,October
142,P,1990.0,November
143,P,1990.0,December
144,P,1991.0,January
145,P,1991.0,February
146,P,1991.0,March
147,P,1991.0,April
148,N,1991.0,May
149,N,1991.0,June
150,N,1991.0,July
151,N,1991.0,August
152,N,1991.0,September
153,N,1991.0,October
154,P,1991.0,November
155,P,1991.0,December
156,P,1992.0,January
157,P,1992.0,February
158,P,1992.0,March
159,N,1992.0,April
160,N,1992.0,May
161,N,1992.0,June
162,N,1992.0,July
163,N,1992.0,August
164,N,1992.0,September
165,N,1992.0,October
166,P,1992.0,November
167,P,1992.0,December
168,P,1993.0,January
169,P,1993.0,February
170,N,1993.0,March
171,N,1993.0,April
172,N,1993.0,May
173,N,1993.0,June
174,N,1993.0,July
175,N,1993.0,August
176,N,1993.0,September
177,N,1993.0,October
178,P,1993.0,November
179,P,1993.0,December
180,P,1994.0,January
181,P,1994.0,February
182,N,1994.0,March
183,N,1994.0,April
184,N,1994.0,May
185,N,1994.0,June
186,N,1994.0,July
187,N,1994.0,August
188,N,1994.0,September
189,N,1994.0,October
190,P,1994.0,November
191,P,1994.0,December
192,P,1995.0,January
193,P,1995.0,February
194,P,1995.0,March
195,N,1995.0,April
196,N,1995.0,May
197,N,1995.0,June
198,N,1995.0,July
199,N,1995.0,August
200,N,1995.0,September
201,N,1995.0,October
202,P,1995.0,November
203,P,1995.0,December
204,P,1996.0,January
205,P,1996.0,February
206,N,1996.0,March
207,N,1996.0,April
208,N,1996.0,May
209,N,1996.0,June
210,N,1996.0,July
211,N,1996.0,August
212,N,1996.0,September
213,N,1996.0,October
214,P,1996.0,November
215,P,1996.0,December
216,P,1997.0,January
217,P,1997.0,February
218,N,1997.0,March
219,N,1997.0,April
220,N,1997.0,May
221,N,1997.0,June
222,N,1997.0,July
223,N,1997.0,August
224,N,1997.0,September
225,N,1997.0,October
226,P,1997.0,November
227,P,1997.0,December
228,P,1998.0,January
229,P,1998.0,February
230,P,1998.0,March
231,N,1998.0,April
232,N,1998.0,May
233,N,1998.0,June
234,N,1998.0,July
235,N,1998.0,August
236,N,1998.0,September
237,N,1998.0,October
238,P,1998.0,November
239,P,1998.0,December
240,P,1999.0,January
241,P,1999.0,February
242,N,1999.0,March
243,N,1999.0,April
244,N,1999.0,May
245,N,1999.0,June
246,N,1999.0,July
247,N,1999.0,August
248,N,1999.0,September
249,N,1999.0,October
250,N,1999.0,November
251,P,1999.0,December
252,P,2000.0,January
253,P,2000.0,February
254,N,2000.0,March
255,N,2000.0,April
256,N,2000.0,May
257,N,2000.0,June
258,N,2000.0,July
259,N,2000.0,August
260,N,2000.0,September
261,N,2000.0,October
262,N,2000.0,November
263,P,2000.0,December
