,acc_num,Q1_num,Q2_num,Q3_num,Q4_num,Q5_num,Q6_num,Q7_num,Q8_num,Q9_num,Q10_num,Q11_num,Q12_num,Q13_num,Q14_num,comp_num
0,66.6,2.5,1.9,1.8,3.6,1.7,3.0,2.4,2.5,2.4,2.3,1.8,1.4,2.3,2.2,22.0
1,97.5,3.5,3.5,3.8,3.5,3.7,4.0,3.9,4.0,2.4,3.1,3.5,3.6,3.2,3.2,63.4
2,78.4,4.0,3.9,3.5,3.0,3.0,3.1,3.2,3.4,3.2,2.6,3.3,3.3,2.9,2.7,48.2
3,61.2,3.8,3.4,2.9,3.2,3.2,3.2,3.4,3.3,2.2,2.5,3.2,2.1,2.5,2.7,41.2
4,83.2,3.6,3.6,3.0,4.1,3.1,3.4,4.0,3.6,3.0,3.9,3.5,1.9,2.4,2.1,29.1
5,74.2,2.5,2.6,2.6,3.7,2.9,3.6,2.4,1.8,2.6,3.7,2.6,2.2,2.2,2.1,31.3
6,58.1,4.9,4.9,4.5,2.6,4.7,4.4,3.6,3.5,1.6,1.3,4.4,1.4,1.1,0.9,26.2
7,78.9,3.3,3.2,3.5,2.8,3.3,3.7,2.9,2.6,3.0,2.3,3.2,2.8,2.5,2.7,52.8
8,58.2,2.6,2.8,2.8,2.9,2.9,3.8,1.8,1.6,2.1,2.4,2.7,2.5,1.0,2.2,43.9
9,65.3,2.3,2.5,1.8,4.5,2.1,2.1,3.7,3.6,3.2,4.0,2.0,2.4,1.3,2.3,15.2
10,52.9,4.4,4.2,3.6,3.0,3.4,3.7,2.4,2.6,2.2,2.4,3.0,1.5,1.5,1.4,42.5
11,61.1,4.2,3.8,3.1,4.5,2.9,2.0,3.9,1.7,2.6,4.3,3.6,1.6,0.8,0.6,32.1
12,66.3,3.8,3.9,4.1,3.1,3.5,3.7,3.2,2.7,2.3,1.8,3.4,1.8,1.3,1.6,60.9
13,64.5,2.5,2.0,1.6,4.9,2.0,3.3,2.9,3.6,3.6,4.8,1.7,1.8,1.5,1.6,19.4
14,67.2,4.3,4.1,4.3,1.7,4.3,4.9,2.1,1.6,1.1,1.7,3.9,2.2,2.0,2.7,80.4
15,65.3,2.6,2.0,1.8,3.6,1.8,2.9,2.4,2.6,2.4,2.3,1.9,1.9,2.0,1.8,20.8
16,68.9,3.5,3.4,3.8,3.5,3.8,3.8,3.9,4.0,2.4,2.9,3.5,3.6,2.7,3.2,62.9
