,capital_run_length_average_num,word_freq_lab_num,word_freq_85_num,word_freq_project_num,word_freq_000_num,word_freq_table_num,word_freq_650_num,class_cat,word_freq_labs_num,word_freq_make_num,char_freq_%24_num,word_freq_meeting_num,word_freq_order_num,word_freq_mail_num,word_freq_people_num,word_freq_george_num,char_freq_%23_num,word_freq_technology_num,word_freq_conference_num,word_freq_business_num,capital_run_length_longest_num,word_freq_857_num,char_freq_%5B_num,word_freq_will_num,char_freq_%21_num,word_freq_cs_num,word_freq_free_num,word_freq_address_num,word_freq_hp_num
0,3.756,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0.0,0.0,0.64,0.778,0.0,0.32,0.64,0.0
1,5.114,0.0,0.0,0.0,0.43,0.0,0.0,1,0.0,0.21,0.18,0.0,0.0,0.94,0.65,0.0,0.048,0.0,0.0,0.07,101,0.0,0.0,0.79,0.372,0.0,0.14,0.28,0.0
2,9.821,0.0,0.0,0.0,1.16,0.0,0.0,1,0.0,0.06,0.184,0.0,0.64,0.25,0.12,0.0,0.01,0.0,0.0,0.06,485,0.0,0.0,0.45,0.276,0.0,0.06,0.0,0.0
3,3.537,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.31,0.63,0.31,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.31,0.137,0.0,0.31,0.0,0.0
4,3.537,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.31,0.63,0.31,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.31,0.135,0.0,0.31,0.0,0.0
5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.671,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.054,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1.28,0.164,0.0,0.96,0.0,0.0
7,2.45,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.744,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.15,0.203,0.0,0.92,0.76,0.0,0.0,0.022,0.0,0.0,0.0,445,0.0,0.0,0.92,0.181,0.0,0.0,0.0,0.0
9,1.729,0.0,0.0,0.06,0.19,0.0,0.0,1,0.0,0.06,0.081,0.0,0.06,0.0,0.25,0.0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.64,0.244,0.0,0.0,0.12,0.0
10,1.312,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.462,0.0,0.0,0.0,0.0
11,1.243,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.12,0.663,0.0,0.0,0.0,0.0
12,3.728,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,0.0,0.0,0.69,0.786,0.0,0.34,0.69,0.0
13,2.083,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.971,0.0,0.0,0.0,0.35,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.35,0.357,0.0,5.35,0.0,0.0
15,5.659,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.063,0.0,0.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.572,0.0,1.27,0.42,0.0
16,4.652,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.428,0.0,0.0,0.0,0.0
17,35.461,0.0,0.0,0.0,0.7,0.0,0.0,1,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,0.0,0.0,0.0,1.975,0.0,0.0,0.0,0.0
18,1.32,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.37,4,0.0,0.0,0.0,0.455,0.0,0.0,0.0,0.0
19,3.509,0.0,0.0,0.0,0.31,0.0,0.31,1,0.0,0.0,0.496,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.31,91,0.0,0.0,0.63,0.055,0.0,0.63,0.63,0.0
20,3.833,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.729,0.0,0.0,0.0,0.0
21,2.569,0.0,0.0,0.0,0.05,0.0,0.0,1,0.0,0.05,0.046,0.0,0.55,0.0,0.02,0.0,0.059,0.02,0.0,0.02,66,0.0,0.016,0.47,0.25,0.0,0.0,0.07,0.0
22,4.857,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.809,0.0,2.94,0.0,0.0
23,1.131,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.58,0.667,0.0,1.16,0.0,0.0
24,5.466,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.392,0.0,0.0,0.0,0.0
25,2.565,0.0,0.0,0.0,0.05,0.0,0.0,1,0.0,0.05,0.046,0.0,0.55,0.0,0.02,0.0,0.059,0.02,0.0,0.02,66,0.0,0.016,0.47,0.25,0.0,0.0,0.07,0.0
26,5.466,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.392,0.0,0.0,0.0,0.0
