,col_6_num,col_1_num,col_2_num,col_3_num,col_4_num,col_5_num
0,1,1,508,235,3944,325
1,1,2,564,231,4578,323
2,1,3,322,270,4011,328
3,1,4,846,261,5233,305
4,1,5,871,300,4780,303
5,1,6,774,317,5889,307
6,1,7,856,387,5663,301
7,1,8,889,285,5759,310
8,1,9,715,300,4894,300
9,2,10,753,221,5012,324
10,2,11,649,264,4908,329
11,2,12,830,308,5753,320
12,2,13,738,379,5439,337
13,2,14,659,342,4634,328
14,2,15,664,378,4921,330
15,2,16,572,232,4869,318
16,2,17,701,231,4672,309
17,2,18,443,246,4782,333
18,2,19,446,230,4296,330
19,2,20,615,268,4827,318
20,2,21,661,337,5057,304
21,3,22,772,344,5540,328
22,3,23,766,330,5331,323
23,3,24,631,261,4715,317
24,3,25,390,214,3828,310
25,3,26,450,245,4120,321
26,3,27,476,233,3817,342
27,3,28,603,250,4243,339
28,3,29,805,243,4647,287
29,3,30,523,216,3967,325
30,3,31,588,212,3946,315
31,3,32,584,208,3724,332
32,3,33,445,215,3448,358
33,3,34,500,221,3680,320
34,3,35,661,244,3825,355
35,3,36,680,234,4189,306
36,3,37,797,269,4336,335
37,4,38,534,302,4418,335
38,4,39,541,268,4323,344
39,4,40,605,323,4813,331
40,4,41,785,304,5046,324
41,4,42,698,317,3764,366
42,4,43,796,332,4504,340
43,4,44,804,315,4005,378
44,4,45,809,291,5560,330
45,4,46,726,312,4989,313
46,4,47,671,316,4697,305
47,4,48,909,332,5438,307
48,4,49,484,546,5613,386
49,4,50,831,311,5309,333
