,top-middle-square_cat,bottom-right-square_cat,middle-right-square_cat,middle-left-square_cat,Class_cat
0,x,o,o,x,positive
1,x,o,o,x,positive
2,x,x,o,x,positive
3,x,b,o,x,positive
4,x,b,o,x,positive
5,x,o,o,x,positive
6,x,b,b,x,positive
7,x,o,b,x,positive
8,x,o,b,x,positive
9,x,b,o,x,positive
10,x,o,o,x,positive
11,x,o,o,x,positive
12,x,o,o,o,positive
13,x,o,o,o,positive
14,x,x,o,o,positive
15,x,b,o,o,positive
16,x,b,o,o,positive
17,x,o,o,o,positive
18,x,b,b,o,positive
19,x,o,b,o,positive
20,x,o,b,o,positive
21,x,o,x,o,positive
22,x,o,x,o,positive
23,x,x,x,o,positive
24,x,b,x,o,positive
25,x,b,x,o,positive
26,x,o,x,o,positive
27,x,b,b,o,positive
28,x,o,b,o,positive
29,x,b,b,o,positive
30,x,x,b,o,positive
31,x,o,b,o,positive
32,x,x,b,o,positive
33,x,b,b,o,positive
34,x,b,x,o,positive
35,x,o,x,o,positive
36,x,o,x,o,positive
37,x,b,o,o,positive
38,x,o,o,o,positive
39,x,b,o,o,positive
40,x,x,o,o,positive
41,x,o,o,o,positive
42,x,x,o,o,positive
43,x,b,o,o,positive
44,x,o,b,o,positive
45,x,o,b,o,positive
46,x,x,b,o,positive
47,x,b,b,o,positive
48,x,b,b,o,positive
49,x,o,b,o,positive
50,x,b,o,b,positive
51,x,o,o,b,positive
52,x,o,o,b,positive
53,x,b,x,b,positive
54,x,o,x,b,positive
55,x,o,x,b,positive
56,x,b,o,b,positive
57,x,o,o,b,positive
58,x,b,o,b,positive
59,x,x,o,b,positive
60,x,o,o,b,positive
61,x,x,o,b,positive
62,x,b,o,b,positive
63,x,o,b,b,positive
64,x,o,b,b,positive
65,x,x,b,b,positive
66,x,b,b,b,positive
67,x,b,b,b,positive
68,x,o,b,b,positive
69,x,o,o,b,positive
70,x,o,o,b,positive
71,x,x,o,b,positive
72,x,b,o,b,positive
73,x,b,o,b,positive
74,x,o,o,b,positive
75,x,b,b,b,positive
76,x,o,b,b,positive
77,x,o,b,b,positive
78,x,x,o,x,positive
79,x,o,x,x,positive
80,x,x,o,x,positive
81,x,b,o,x,positive
82,x,b,b,x,positive
83,x,o,b,x,positive
84,x,b,o,x,positive
85,x,o,b,x,positive
86,x,o,x,o,positive
87,x,x,x,o,positive
88,x,x,o,o,positive
89,x,x,o,o,positive
90,x,b,o,o,positive
91,x,x,o,o,positive
92,x,b,b,o,positive
93,x,x,b,o,positive
94,x,o,b,o,positive
95,x,x,b,o,positive
96,x,b,o,b,positive
97,x,x,o,b,positive
98,x,x,o,b,positive
99,x,o,b,b,positive
100,x,x,b,b,positive
101,x,b,o,x,positive
102,x,o,o,x,positive
103,x,o,b,x,positive
104,x,o,o,x,positive
105,x,b,o,o,positive
106,x,x,o,o,positive
107,x,o,o,o,positive
108,x,x,o,o,positive
109,x,o,b,o,positive
110,x,x,b,o,positive
111,x,o,o,b,positive
112,x,x,o,b,positive
113,o,o,o,x,positive
114,o,x,o,x,positive
115,o,o,o,x,positive
116,o,b,o,x,positive
117,o,o,b,x,positive
118,o,b,o,x,positive
119,o,o,o,x,positive
120,o,o,b,x,positive
121,o,o,x,o,positive
122,o,x,x,o,positive
123,o,o,o,o,positive
124,o,x,o,o,positive
125,o,b,o,o,positive
126,o,x,o,o,positive
127,o,x,o,o,positive
128,o,b,b,o,positive
129,o,o,b,o,positive
130,o,x,b,o,positive
131,o,x,b,o,positive
132,o,x,x,o,positive
133,o,x,x,o,positive
134,o,x,x,o,positive
135,o,x,x,o,positive
136,o,b,o,b,positive
137,o,o,o,b,positive
138,o,x,o,b,positive
139,o,x,o,b,positive
140,o,o,b,b,positive
141,o,x,b,b,positive
142,o,x,x,b,positive
143,o,x,x,b,positive
144,o,o,x,x,positive
145,o,o,x,x,positive
146,o,x,x,x,positive
147,o,b,x,x,positive
148,o,b,x,x,positive
149,o,o,x,x,positive
150,o,x,o,x,positive
151,o,b,o,x,positive
152,o,x,o,x,positive
153,o,x,o,x,positive
154,o,b,b,x,positive
155,o,o,b,x,positive
156,o,x,b,x,positive
157,o,x,b,x,positive
158,o,o,x,x,positive
159,o,b,x,x,positive
160,o,x,o,x,positive
161,o,b,b,x,positive
162,o,x,b,x,positive
163,o,b,x,x,positive
164,o,o,x,x,positive
165,o,b,o,x,positive
166,o,x,o,x,positive
167,o,o,b,x,positive
168,o,x,b,x,positive
169,o,b,b,x,positive
170,o,x,x,o,positive
171,o,x,x,o,positive
172,o,x,x,o,positive
173,o,x,o,o,positive
174,o,x,b,o,positive
175,o,x,b,o,positive
176,o,x,x,o,positive
177,o,x,b,o,positive
178,o,x,x,b,positive
179,o,x,x,b,positive
180,o,x,o,b,positive
181,o,x,o,b,positive
182,o,x,b,b,positive
183,o,x,b,b,positive
184,o,x,b,b,positive
185,o,x,b,b,positive
186,o,x,o,b,positive
187,o,b,x,x,positive
188,o,o,x,x,positive
189,o,o,x,x,positive
190,o,b,o,x,positive
191,o,o,o,x,positive
192,o,x,o,x,positive
193,o,x,o,x,positive
194,o,o,b,x,positive
195,o,x,b,x,positive
196,o,o,x,x,positive
197,o,b,o,x,positive
198,o,x,o,x,positive
199,o,o,b,x,positive
200,o,b,b,x,positive
201,o,o,x,x,positive
202,o,o,o,x,positive
203,o,x,o,x,positive
204,o,b,o,x,positive
205,o,b,b,x,positive
206,o,o,b,x,positive
207,o,x,x,o,positive
208,o,x,x,o,positive
209,o,x,o,o,positive
210,o,x,o,o,positive
211,o,x,b,o,positive
212,o,x,b,o,positive
213,o,x,b,o,positive
214,o,x,b,o,positive
215,o,x,o,o,positive
216,o,x,x,b,positive
217,o,x,o,b,positive
218,o,x,o,b,positive
219,o,x,o,b,positive
220,o,x,b,b,positive
221,o,x,b,b,positive
222,o,x,o,b,positive
223,b,b,o,x,positive
224,b,o,o,x,positive
225,b,o,b,x,positive
226,b,o,o,x,positive
227,b,b,o,o,positive
