,wind_num,ozone_num,radiation_num,temperature_num
0,7.4,40.99999999999998,190,67
1,8.0,36.000000000000014,118,72
2,12.6,12.000000000000007,149,74
3,11.5,17.999999999999986,313,62
4,8.6,22.99999999999999,299,65
5,13.8,19.0,99,59
6,20.1,8.0,19,61
7,9.7,15.999999999999991,256,69
8,9.2,10.99999999999999,290,66
9,10.9,14.000000000000004,274,68
10,13.2,17.999999999999986,65,58
11,11.5,14.000000000000004,334,64
12,12.0,33.999999999999986,307,66
13,18.4,6.000000000000003,78,57
14,11.5,30.000000000000004,322,68
15,9.7,10.99999999999999,44,62
16,9.7,1.0,8,59
17,16.6,10.99999999999999,320,73
18,9.7,3.999999999999996,25,61
19,12.0,32.00000000000001,92,61
20,12.0,22.99999999999999,13,67
21,14.9,45.00000000000001,252,81
22,5.7,114.99999999999996,223,79
23,7.4,36.99999999999999,279,76
24,9.7,28.999999999999993,127,82
25,13.8,70.99999999999999,291,90
26,11.5,38.99999999999997,323,87
27,8.0,22.99999999999999,148,82
28,14.9,21.00000000000001,191,77
29,20.7,36.99999999999999,284,72
30,9.2,19.999999999999982,37,65
31,11.5,12.000000000000007,120,73
32,10.3,12.999999999999988,137,76
33,4.0,134.99999999999994,269,84
34,9.2,48.99999999999997,248,85
35,9.2,32.00000000000001,236,81
36,4.6,64.0,175,83
37,10.9,40.00000000000001,314,83
38,5.1,76.99999999999997,276,88
39,6.3,96.99999999999997,267,92
40,5.7,96.99999999999997,272,92
41,7.4,85.0,175,89
42,14.3,10.000000000000002,264,73
43,14.9,27.0,175,81
44,14.3,6.999999999999998,48,80
45,6.9,47.999999999999986,260,81
46,10.3,35.000000000000014,274,82
47,6.3,61.0,285,84
48,5.1,78.99999999999997,187,87
49,11.5,63.000000000000014,220,85
50,6.9,15.999999999999991,7,74
51,8.6,79.99999999999996,294,86
52,8.0,107.99999999999997,223,85
53,8.6,19.999999999999982,81,82
54,12.0,51.99999999999999,82,86
55,7.4,81.99999999999996,213,88
56,7.4,49.99999999999997,275,86
57,7.4,64.0,253,83
58,9.2,58.99999999999997,254,81
59,6.9,38.99999999999997,83,81
60,13.8,9.0,24,81
61,7.4,15.999999999999991,77,82
62,4.0,121.99999999999994,255,89
63,10.3,88.99999999999999,229,90
64,8.0,109.99999999999997,207,90
65,11.5,44.0,192,86
66,11.5,27.99999999999998,273,82
67,9.7,65.0,157,80
68,10.3,21.999999999999993,71,77
69,6.3,58.99999999999997,51,79
70,7.4,22.99999999999999,115,76
71,10.9,31.000000000000007,244,78
72,10.3,44.0,190,78
73,15.5,21.00000000000001,259,77
74,14.3,9.0,36,72
75,9.7,45.00000000000001,212,79
76,3.4,167.99999999999994,238,81
77,8.0,73.0,215,86
78,9.7,76.0,203,97
79,2.3,117.99999999999996,225,94
80,6.3,83.99999999999999,237,96
81,6.3,85.0,188,94
82,6.9,95.99999999999994,167,91
83,5.1,77.99999999999999,197,92
84,2.8,73.0,183,93
85,4.6,90.99999999999999,189,93
86,7.4,46.99999999999998,95,87
87,15.5,32.00000000000001,92,84
88,10.9,19.999999999999982,252,80
89,10.3,22.99999999999999,220,78
90,10.9,21.00000000000001,230,75
91,9.7,24.000000000000007,259,73
92,14.9,44.0,236,81
93,15.5,21.00000000000001,259,76
94,6.3,27.99999999999998,238,77
95,10.9,9.0,24,71
96,11.5,12.999999999999988,112,71
97,6.9,45.999999999999986,237,78
98,13.8,17.999999999999986,224,67
99,10.3,12.999999999999988,27,76
100,10.3,24.000000000000007,238,68
101,8.0,15.999999999999991,201,82
102,12.6,12.999999999999988,238,64
103,9.2,22.99999999999999,14,71
104,10.3,36.000000000000014,139,81
105,10.3,6.999999999999998,49,69
106,16.6,14.000000000000004,20,63
107,6.9,30.000000000000004,193,70
108,14.3,14.000000000000004,191,75
109,8.0,17.999999999999986,131,76
110,11.5,19.999999999999982,223,68
