,Count_num,Age_cat,Gender_cat,Race_cat
0,89,10-14,Male,White
1,4158,15-19,Male,White
2,6175,20-24,Male,White
3,3131,25-29,Male,White
4,1585,30-34,Male,White
5,864,35-39,Male,White
6,406,40-44,Male,White
7,358,45-54,Male,White
8,358,55-64,Male,White
9,62,65+,Male,White
10,2584,10-14,Female,White
11,48462,15-19,Female,White
12,35289,20-24,Female,White
13,11789,25-29,Female,White
14,4419,30-34,Female,White
15,2228,35-39,Female,White
16,957,40-44,Female,White
17,624,45-54,Female,White
18,624,55-64,Female,White
19,143,65+,Female,White
20,251,10-14,Male,Black
21,9123,15-19,Male,Black
22,10081,20-24,Male,Black
23,4749,25-29,Male,Black
24,2340,30-34,Male,Black
25,1190,35-39,Male,Black
26,571,40-44,Male,Black
27,422,45-54,Male,Black
28,422,55-64,Male,Black
29,29,65+,Male,Black
30,4602,10-14,Female,Black
31,59440,15-19,Female,Black
32,39185,20-24,Female,Black
33,13843,25-29,Female,Black
34,5282,30-34,Female,Black
35,2430,35-39,Female,Black
36,1018,40-44,Female,Black
37,537,45-54,Female,Black
38,537,55-64,Female,Black
39,114,65+,Female,Black
40,86,10-14,Male,Hispanic
41,2959,15-19,Male,Hispanic
42,3935,20-24,Male,Hispanic
43,2103,25-29,Male,Hispanic
44,985,30-34,Male,Hispanic
45,453,35-39,Male,Hispanic
46,221,40-44,Male,Hispanic
47,121,45-54,Male,Hispanic
48,121,55-64,Male,Hispanic
49,15,65+,Male,Hispanic
50,1397,10-14,Female,Hispanic
51,21813,15-19,Female,Hispanic
52,19745,20-24,Female,Hispanic
53,9048,25-29,Female,Hispanic
54,3878,30-34,Female,Hispanic
55,1547,35-39,Female,Hispanic
56,613,40-44,Female,Hispanic
57,349,45-54,Female,Hispanic
58,349,55-64,Female,Hispanic
59,91,65+,Female,Hispanic
60,15,10-14,Male,Asian/Pacific_Island
61,213,15-19,Male,Asian/Pacific_Island
62,340,20-24,Male,Asian/Pacific_Island
63,195,25-29,Male,Asian/Pacific_Island
64,122,30-34,Male,Asian/Pacific_Island
65,62,35-39,Male,Asian/Pacific_Island
66,44,40-44,Male,Asian/Pacific_Island
67,24,45-54,Male,Asian/Pacific_Island
68,24,55-64,Male,Asian/Pacific_Island
69,5,65+,Male,Asian/Pacific_Island
70,108,10-14,Female,Asian/Pacific_Island
71,1723,15-19,Female,Asian/Pacific_Island
72,1915,20-24,Female,Asian/Pacific_Island
73,921,25-29,Female,Asian/Pacific_Island
74,438,30-34,Female,Asian/Pacific_Island
75,231,35-39,Female,Asian/Pacific_Island
76,92,40-44,Female,Asian/Pacific_Island
77,69,45-54,Female,Asian/Pacific_Island
78,69,55-64,Female,Asian/Pacific_Island
79,5,65+,Female,Asian/Pacific_Island
80,16,10-14,Male,American_Indian
81,421,15-19,Male,American_Indian
82,452,20-24,Male,American_Indian
83,247,25-29,Male,American_Indian
84,144,30-34,Male,American_Indian
85,52,35-39,Male,American_Indian
86,29,40-44,Male,American_Indian
87,12,45-54,Male,American_Indian
88,12,55-64,Male,American_Indian
89,3,65+,Male,American_Indian
90,198,10-14,Female,American_Indian
91,2921,15-19,Female,American_Indian
92,2409,20-24,Female,American_Indian
93,1009,25-29,Female,American_Indian
94,496,30-34,Female,American_Indian
95,280,35-39,Female,American_Indian
96,125,40-44,Female,American_Indian
97,77,45-54,Female,American_Indian
98,77,55-64,Female,American_Indian
99,8,65+,Female,American_Indian
