,x3_num,x2_num,x23_num,x38_num,x17_num,x28_num,x19_num,x34_num,x30_num,x22_num,x21_num,x32_num,x27_num,x33_num,x29_num,x31_num,x40_num,x4_num,x14_num,x10_num
0,1.2,-1.21,1.22,0.56,2.25,-1.32,0.82,0.51,-0.47,0.09,1.01,-0.86,0.02,-0.7,-0.11,-0.63,0.29,1.23,5.82,0.58
1,-0.31,0.38,-0.4,0.91,2.23,0.11,2.15,0.0,2.36,-1.78,-0.37,1.28,0.13,1.4,-0.78,0.31,0.22,-0.09,5.01,1.34
2,1.08,1.0,0.57,-0.09,-0.8,0.64,0.35,0.6,-0.12,2.14,-1.42,0.29,0.07,1.12,0.41,0.93,1.0,1.48,-1.04,3.61
3,0.27,0.68,1.12,1.35,2.72,0.2,1.94,-0.07,-0.34,1.21,-0.47,0.43,0.1,-0.3,3.1,1.18,0.1,1.39,4.88,0.87
4,-0.69,1.59,0.75,-0.58,2.09,-0.55,-2.47,1.33,-0.29,-0.66,-0.25,0.62,1.19,0.14,-1.43,-0.07,0.4,1.16,2.4,4.66
5,-0.61,0.77,-1.22,-1.82,-0.07,-0.58,-1.09,-1.62,-0.65,-0.5,-0.19,1.23,0.34,-0.29,2.23,-0.15,-0.23,1.0,2.47,3.63
6,2.27,0.13,-0.61,-0.45,-1.0,1.53,0.37,-0.12,0.84,0.28,-0.18,0.25,0.14,-0.78,-1.17,0.4,0.27,2.39,0.7,3.89
7,0.25,-0.42,0.56,-0.72,1.79,-0.74,1.19,0.61,0.68,0.04,1.4,-0.0,-0.19,0.28,0.15,-0.6,0.95,-0.61,2.72,5.81
8,3.04,2.71,0.63,1.14,0.01,-0.68,-0.0,1.91,0.06,0.13,0.7,-1.18,0.54,0.07,1.07,-0.4,0.04,3.21,-1.19,4.84
9,-1.01,0.97,0.19,-0.37,4.91,0.17,2.18,-1.52,0.78,0.36,-0.1,-0.12,0.29,1.52,-0.86,0.91,1.3,-2.34,3.7,3.66
10,1.15,-0.44,1.37,0.44,-0.55,0.08,0.96,0.95,1.58,-0.87,0.94,-0.24,0.13,0.77,1.26,1.33,1.08,0.17,1.26,3.66
11,-0.09,-1.23,0.67,-0.25,3.24,-0.32,3.17,-1.41,0.05,-1.26,2.36,-1.18,1.29,-0.52,-0.4,1.01,0.2,0.31,3.19,2.27
12,1.04,-0.44,0.35,-0.43,-0.71,-0.74,0.67,0.09,-0.35,0.28,0.86,-0.97,-0.72,0.78,-0.67,2.22,-1.04,0.38,4.65,4.88
13,-0.06,-1.04,-0.5,1.49,-0.05,-1.81,-1.89,0.29,0.67,-2.38,0.31,0.35,1.02,0.25,-0.5,-0.44,-2.16,1.24,3.47,3.25
14,0.1,0.8,0.48,0.53,4.51,-0.6,2.32,-1.23,-0.3,-0.63,-0.11,-1.43,0.54,0.59,-0.75,-0.35,-0.55,0.25,4.04,2.79
15,-0.46,-0.27,-0.75,-0.2,2.18,0.32,-0.1,0.57,-0.74,-0.02,-0.01,-0.49,0.68,0.08,-1.19,-0.43,1.88,2.09,2.54,3.54
16,-0.77,1.69,0.48,-0.73,1.72,-0.07,1.87,-0.09,-0.63,-0.46,-1.98,-1.03,0.22,-1.72,-0.55,1.04,2.11,0.36,3.62,2.29
