,att23_num,att12_num,att42_num,att16_num,att35_num,att43_num,att46_num,att13_num,att14_num,class_cat,att2_num,att9_num,att17_num,att30_num,att25_num,att44_num,att29_num,att27_num,att1_num,att24_num,att33_num,att38_num,att19_num,att36_num
0,14.19932496,110.86830122,148.13805797,37.20367268,2.28040282,326.23945221,47.03257765,99.02527669,0.10059235,1,0.83146581,2.60164564,71.6826982,0.3447455,0.62308322,9.71107016,484.78487098,13.99288335,0.01103274,109.8205315,67.58321804,1.71352943,444.81873449,170.26576363
1,100.03478538,97.69104981,155.13598528,22.83722867,29.15873615,377.83267478,46.33895405,87.94641666,0.13695732,1,1.16674551,0.39056561,40.65687341,0.53126852,0.41420485,8.14063313,371.99440653,53.19139913,0.03827074,85.14561144,82.06344893,2.59020781,419.5430635,211.20029776
2,52.67556251,51.70588614,150.12641867,20.89210472,35.77289669,419.56574714,44.57482214,17.76037702,0.13811174,1,1.22500747,0.93739883,68.66667457,0.48256542,0.32819563,4.53092112,402.48281889,71.36995521,0.04269842,11.77417171,14.86945484,1.47628474,518.2299606,207.14709334
3,27.5706344,49.97873054,173.84075854,25.12827213,31.81299984,441.3503763,51.73992968,55.03717364,0.19032914,1,1.63824727,1.97326817,51.9370885,0.58362525,0.69283865,3.70602306,324.84975362,61.25743942,0.03241821,80.05454653,65.14869114,1.34961311,386.32421772,239.67299792
4,47.31222963,67.84986242,167.02118501,24.90142809,40.00379441,332.47999722,50.40776975,71.512437,0.07684345,1,0.6115615,1.11729174,61.7503697,0.45241861,0.3847033,1.80627253,399.97521753,75.96331954,0.0158665,66.37701475,50.19202941,0.66797059,417.65885792,222.22763817
5,12.56867299,27.27373803,222.9572445,93.32424451,96.3493774,451.43260662,67.43199692,58.45536526,0.65234575,1,5.0420768,0.75416663,226.66384619,0.25224178,1.9617692,2.59280932,129.51385102,197.37892263,0.22978044,41.94201891,90.17250784,0.80841788,194.70458287,309.83545599
6,42.14280889,15.19358757,172.71373683,64.39432032,7.81936123,273.18674166,55.28310728,82.26174817,0.11318542,1,0.92908455,2.23291815,60.33579139,0.65171205,1.20889172,7.14426188,448.40079643,17.18843674,0.06838329,29.30505087,5.60316768,0.78781176,322.55625207,194.89121282
7,30.84654691,17.75729003,175.49897862,2.70257088,29.77667876,301.07802292,53.55112291,21.51216171,0.07061687,1,0.60821322,1.3186038,27.18589244,0.27377401,0.10685209,6.83916698,532.06784583,49.84642617,0.02940813,24.55058123,12.38674627,1.77526083,508.82690539,227.07164817
8,48.16941515,50.31474189,176.33327485,66.930982,12.67258068,234.95656311,58.37469209,9.3889652,0.34853036,1,2.79979954,0.53938082,79.49705569,0.33590741,1.67248793,2.8519158,494.55891732,23.72474184,0.04945866,24.31490667,16.98669275,1.6458017,333.39964378,179.93163411
9,28.78850609,43.19084366,169.02291664,52.95859946,8.47113752,328.08788983,50.80404735,46.99197086,0.16402411,1,1.4146897,1.25953606,50.38387782,0.05485916,1.01515379,2.11994353,361.44159341,9.99851133,0.02901479,12.8913011,28.16973443,0.81167646,322.26563756,226.8188623
