,bknwy_cat,stlmt_cat,bkon8_cat,rkxwp_cat,skach_cat,skrxp_cat,rimmx_cat,wkpos_cat,reskd_cat,simpl_cat,thrsk_cat,qxmsq_cat,spcop_cat,wkovl_cat,wkcti_cat,skewr_cat,bkona_cat,hdchk_cat
0,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
1,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
2,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
3,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
4,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
5,f,f,f,f,f,f,f,t,f,t,t,f,f,t,f,t,f,f
6,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
7,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
8,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
9,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
10,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
11,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
12,f,f,f,t,f,f,f,t,f,f,f,f,f,t,t,t,f,f
13,f,f,f,t,f,f,f,t,f,f,f,f,f,t,t,t,f,f
14,f,f,f,t,f,f,f,t,f,f,f,f,f,t,t,t,f,f
15,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
16,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
17,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
18,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
19,f,f,f,t,f,f,f,t,f,t,f,f,f,t,t,t,f,f
20,f,f,f,t,f,f,f,t,f,t,f,f,f,t,t,t,f,f
21,f,f,f,t,f,f,f,t,f,t,f,f,f,t,t,t,f,f
22,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
23,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
24,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
25,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
26,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f
27,f,f,f,t,f,f,f,t,f,f,f,f,f,t,f,t,f,f
28,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
29,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
30,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
31,f,f,f,t,f,f,f,t,f,t,f,f,f,t,f,t,f,f
32,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
33,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f
34,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
35,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
36,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f
37,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,t,f,f
38,f,f,f,f,f,f,f,f,f,t,f,f,f,t,t,t,f,f
39,f,f,f,t,f,f,f,f,f,t,f,f,f,t,f,t,f,f
40,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f
41,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
42,f,f,f,f,f,f,f,t,f,t,f,f,f,t,t,t,f,f
43,f,f,f,f,f,f,f,t,f,t,t,f,f,t,f,t,f,f
44,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,f,f
45,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f
