,att51_num,att55_num,att46_num,att2_num,att47_num,att53_num,att21_num,att26_num,att44_num,att40_num,att36_num,att39_num,att63_num,att35_num,att27_num,att58_num,att50_num,att3_num,att31_num,att24_num,att10_num,att57_num,att19_num,att33_num,att61_num,att17_num,att56_num,att54_num,att49_num,att34_num,att41_num,att52_num
0,0.62042207,1.0780828,-0.87715614,-11.66678905,0.37765139,0.08879852,-1.82724667,-0.60383409,1.08559155,-1.44009924,1.36522615,-0.91487825,-1.35135269,0.45735151,2.47522449,-0.64366663,0.44264925,11.56066895,-0.82216394,-0.39405203,3.50308204,0.49638724,-2.28338909,1.62056935,0.34862512,-2.62792277,0.92192733,0.18696856,-0.01794434,0.26289278,-2.19252634,-1.13598573
1,-0.66946489,0.94235277,-0.42782736,-12.88533306,-2.5605588,-1.56827331,-0.00893003,-0.8575508,0.21415664,-0.2802121,0.86637902,0.6837585,0.64245057,-0.95061064,2.59981155,-2.33634424,0.08751369,0.16115522,-1.01107252,0.38636827,1.34607291,1.42988288,3.45810533,-1.01081109,0.58235699,1.07079887,2.93879056,-1.13307738,-1.47544909,-0.52800637,-0.65806437,-1.37867332
2,0.77229238,-0.41317409,1.17260945,-6.65589762,-1.03432989,0.55519545,-3.87646961,-0.88531619,0.45353943,-0.50314313,0.21301402,-0.24138141,0.82718205,-2.67226529,2.59749889,1.2598381,1.57861912,0.38868687,-2.88796043,-0.81416202,4.15340328,-0.02526498,1.13350272,0.8859874,1.99584341,-0.76231313,-0.02302837,0.37211597,-1.51997733,1.16418111,-2.01774025,-1.64467287
3,-1.07208598,-0.96123606,0.54033875,-7.04385138,0.85815847,0.2761116,-1.6013062,0.28038907,-0.29263312,-0.98987669,-2.51524448,0.45423162,-0.77173537,0.07259911,0.00023922,-1.98115003,-0.13320547,4.10435009,-2.01117992,-0.98409808,1.15330791,-0.20450807,-1.76198769,-0.30311966,-1.44932783,1.18055677,-1.04381537,-0.55331683,1.44151688,0.1497131,0.38891983,-1.57570672
4,-0.65470469,0.15295726,1.22839928,-10.97413254,-2.08400083,-0.33539081,1.84516191,-1.27237809,2.18046236,-1.29544103,-1.22360432,0.26476979,-0.94321269,-1.21073055,1.98250115,-3.48129487,0.84851408,0.19439051,0.40201354,-0.14986587,-0.94962198,-1.25490713,0.81261969,-3.79640913,0.5103994,0.6836319,1.44816041,-0.72284675,-0.87788588,-1.31794524,-1.48274112,-0.40614486
5,0.68123037,-0.56110281,-0.63722652,-3.91450167,1.03862607,0.28975725,0.14805859,3.76235247,3.0511539,-3.18023324,-3.72988772,2.11913109,1.4206413,1.2007829,0.01849514,-2.05292678,0.85377204,-1.12680268,-1.8236984,3.96678066,-2.78392625,0.52090955,1.98904133,2.37541938,-1.10531461,-1.58556354,0.89597452,-0.32469475,-0.52425808,2.56613088,1.26827073,2.52312851
6,0.13026564,-1.10842419,0.22022945,-9.61089706,0.36864197,1.16243696,-0.58108103,-1.1818186,-0.06360907,-1.21438849,-1.51660395,-0.11655295,1.52253163,0.4725697,2.02234697,-1.25755322,0.34232044,9.99692726,-1.41625702,0.34989619,-1.8001368,-1.01506853,-4.38622856,-1.84133351,1.07628357,-2.0174861,-1.60139573,0.86516386,0.13944754,-0.91141778,-2.16012669,-0.1949048
7,-1.36749101,-0.0952602,1.46150625,-11.3275919,-0.54500943,1.88805687,-2.00385952,-0.88408154,0.59062505,0.5465194,-0.11879042,-0.30778015,0.98496926,-0.22851241,2.93054295,1.07190406,0.10427713,4.45351934,-1.25880754,-3.3058393,1.78865194,-0.21611786,-0.94782603,-0.66411942,0.31506139,-0.62887645,-0.65040207,-0.08112621,-0.54109621,0.86878777,-0.76326126,0.28856921
8,-0.02503638,0.55565989,0.16643959,-13.00230408,0.8944025,-0.5165627,0.45099717,-1.28689206,-0.29452175,-1.16553187,-1.43986726,-1.5916754,-0.56620491,0.70718563,2.95406055,-0.09180011,1.11944807,12.33443832,-2.92117119,0.82006288,0.55361831,0.70878196,-2.3284359,-0.72798419,0.29471844,-4.82740211,-0.09457046,0.29529214,-0.05367829,-0.88445801,-2.40987825,0.48196787
9,0.73238838,0.278781,-0.69344521,-5.19397831,0.33471394,-0.1119175,-3.11364579,0.51206923,0.24101754,-2.37844658,0.37622365,0.37348115,0.81351554,1.07112074,3.29236126,1.62202549,1.51424611,8.16801643,-1.44254601,3.15575933,0.95018053,-1.15246129,0.77509356,-1.54168737,-0.32227629,0.9967525,-0.83014452,-0.99477172,1.41490602,1.88801026,-1.60623407,-1.28599107
