,att6_num,att2_num,att1_num,class_cat
0,1620.22177892,0.0,1.0,1
1,1609.33482208,0.0,1.0,1
2,1568.97843469,0.0,1.0,1
3,1695.05528143,0.0,1.0,1
4,1647.72023493,0.0,1.0,1
5,2027.21136662,0.0,1.0,1
6,1918.75047185,0.0,1.0,1
7,1547.26372726,0.0,1.0,1
8,1871.05593439,0.0,1.0,1
9,1884.68045797,0.0,1.0,1
10,1624.01155591,0.0,1.0,1
11,1635.04409893,0.0,1.0,1
12,2180.62914883,0.0,1.0,1
13,1627.67135921,0.0,1.0,1
14,1677.24740162,0.0,1.0,1
15,1517.03921772,0.0,1.0,1
16,1739.28312447,0.0,1.0,1
17,1640.18658283,0.0,1.0,1
18,1549.72096683,0.0,1.0,1
19,1785.05823338,0.0,1.0,1
20,1560.58174693,0.0,1.0,1
21,1519.8470536,0.0,1.0,1
22,1655.20500139,0.0,1.0,1
23,1590.04207577,0.0,1.0,1
24,1819.02008544,0.0,1.0,1
25,1662.38695428,0.0,1.0,1
26,1655.18687555,0.0,1.0,1
27,1745.60012462,0.0,1.0,1
28,1855.10493034,0.0,1.0,1
29,1623.20696993,0.0,1.0,1
30,1679.91193027,0.0,1.0,1
31,1668.80498477,0.0,1.0,1
32,1791.83553416,0.0,1.0,1
33,1647.61918626,0.0,1.0,1
34,1700.90002589,0.0,1.0,1
35,1718.36727738,0.0,1.0,1
36,1630.91695037,0.0,1.0,1
37,1747.26385688,0.0,1.0,1
38,1668.60099491,0.0,1.0,1
39,1664.23940964,0.0,1.0,1
40,1685.05622222,0.0,1.0,1
41,1618.52700454,0.0,1.0,1
42,1595.63213875,0.0,1.0,1
43,1628.67982628,0.0,1.0,1
44,1648.69601482,0.0,1.0,1
45,1877.63642139,0.0,1.0,1
46,1897.19666116,0.0,1.0,1
47,1949.58130647,0.0,1.0,1
48,1622.16847509,0.0,1.0,1
49,1596.78807182,0.0,1.0,1
50,1788.18041959,0.0,1.0,1
51,1619.93300457,0.0,1.0,1
52,1560.03417439,0.0,1.0,1
53,1508.24928604,0.0,1.0,1
54,1604.78016155,0.0,1.0,1
55,1697.67743159,0.0,1.0,1
56,1632.6415452,0.0,1.0,1
57,1777.04654451,0.0,1.0,1
58,1829.5297413,0.0,1.0,1
