,vacation_cat,wage-increase-third-year_num,cost-of-living-adjustment_cat,class_cat,shift-differential_num,wage-increase-second-year_num,duration_num,education-allowance_cat
0,average,,,good,2.0,,1.0,
1,below_average,,,good,,5.8,2.0,yes
2,generous,,,good,5.0,,,
3,,5.0,tc,good,,4.0,3.0,yes
4,average,5.0,,good,,4.5,3.0,
5,average,,,good,6.0,2.5,2.0,yes
6,generous,5.0,tc,good,,5.0,3.0,
7,below_average,2.3,,good,3.0,4.8,3.0,
8,below_average,,,good,25.0,7.0,2.0,yes
9,generous,,none,good,4.0,,1.0,
10,generous,4.6,none,good,3.0,4.0,3.0,
11,,,,good,4.0,6.4,2.0,
12,below_average,,none,bad,2.0,4.0,2.0,no
13,generous,5.1,tcf,good,4.0,4.0,3.0,
14,generous,,none,good,10.0,,1.0,no
15,average,,none,good,,4.0,2.0,
16,below_average,,,good,2.0,,1.0,
17,below_average,,tc,bad,3.0,,1.0,no
18,average,,none,bad,,,1.0,yes
19,generous,,tcf,good,5.0,5.0,2.0,
20,generous,,,good,4.0,4.4,2.0,
21,below_average,,,bad,,3.0,2.0,
22,,4.6,tcf,good,,4.0,3.0,
23,generous,,,good,4.0,4.0,2.0,
24,generous,,,good,3.0,,1.0,
25,below_average,2.0,none,bad,,2.0,3.0,
26,below_average,,tcf,good,,4.5,2.0,yes
27,generous,,none,good,,3.0,2.0,yes
28,below_average,,none,good,5.0,4.0,2.0,no
29,average,,,bad,,2.5,3.0,
30,average,5.0,none,good,,4.5,3.0,no
31,below_average,2.5,tc,bad,5.0,2.0,3.0,no
32,average,,,bad,,2.5,2.0,
33,below_average,,none,bad,3.0,5.0,2.0,no
34,below_average,2.1,tc,bad,1.0,2.5,3.0,no
35,average,,none,bad,,2.0,2.0,no
36,generous,,tc,bad,0.0,,1.0,no
37,below_average,,none,bad,3.0,,1.0,no
38,average,2.0,,bad,,2.5,3.0,
39,average,,none,good,4.0,4.0,2.0,
40,average,,none,bad,,,1.0,yes
41,generous,,none,bad,,3.0,2.0,yes
42,average,,tc,bad,,2.5,2.0,
43,below_average,,tcf,bad,,3.0,2.0,
44,below_average,,none,bad,3.0,4.0,2.0,
45,below_average,,,bad,2.0,4.0,2.0,no
46,average,,none,good,5.0,4.0,2.0,
47,,,tcf,good,,4.6,2.0,
48,below_average,,none,good,5.0,4.5,2.0,
49,average,,none,good,,4.5,2.0,
50,,,,good,,5.3,2.0,
51,,,tcf,good,,3.0,3.0,yes
52,generous,4.5,tcf,good,,4.0,3.0,
53,average,,none,good,6.0,3.5,3.0,
54,generous,,none,good,6.0,4.4,3.0,
55,average,5.0,,good,,5.0,3.0,
56,generous,4.0,,good,14.0,6.0,3.0,
