,company1_num,company2_num,company3_num,company4_num,company5_num,company6_num,company7_num,company8_num,company9_num,company10_num
0,17.219,50.5,18.75,43.0,60.875,26.375,67.75,19.0,48.75,34.875
1,17.891,51.375,19.625,44.0,62.0,26.125,68.125,19.125,48.75,35.625
2,18.438,50.875,19.875,43.875,61.875,27.25,68.5,18.25,49.0,36.375
3,18.672,51.5,20.0,44.0,62.625,27.875,69.375,18.375,49.625,36.25
4,17.438,49.0,20.0,41.375,59.75,25.875,63.25,16.5,47.5,35.5
5,18.109,49.0,19.5,41.875,59.625,26.625,66.25,17.125,47.75,34.375
6,18.563,49.375,19.125,42.5,60.75,27.25,65.75,16.875,47.875,34.0
7,18.672,50.125,19.25,43.0,61.75,28.0,66.0,16.875,47.25,34.625
8,18.563,49.75,19.0,43.25,61.75,29.0,65.75,17.125,47.0,34.875
9,19.063,50.5,19.125,43.875,61.875,29.625,66.875,17.75,47.375,36.0
10,19.0,50.25,19.625,44.0,62.125,30.0,66.5,17.375,47.75,35.625
11,19.063,49.75,20.0,44.375,61.25,29.875,66.5,16.875,48.0,35.375
12,18.719,49.25,19.0,43.5,60.375,29.0,65.875,16.5,48.0,34.5
13,18.438,49.25,18.375,43.375,60.375,29.0,65.0,16.5,47.5,34.875
14,19.063,50.25,18.375,43.5,60.375,29.125,65.75,16.375,47.875,36.625
15,20.0,50.25,18.125,44.0,60.75,30.0,67.0,16.75,49.0,37.0
16,19.891,50.125,18.25,44.625,60.875,30.0,66.25,17.0,48.125,37.375
17,19.563,50.125,18.625,46.0,61.25,29.75,66.5,16.875,48.75,37.75
18,19.891,51.0,18.75,46.5,61.875,31.375,67.375,17.625,49.0,37.875
19,20.328,52.25,18.875,47.0,63.5,32.125,67.625,17.875,49.25,38.375
20,20.563,52.625,18.875,46.5,63.375,32.125,67.0,18.0,49.0,38.625
21,20.438,53.25,19.25,46.125,63.625,32.125,66.375,18.25,48.875,38.5
22,20.5,53.75,19.25,46.0,63.25,30.75,66.5,18.0,47.75,37.5
23,20.563,53.75,19.125,45.75,63.25,30.0,67.375,18.25,47.5,37.125
24,20.328,53.5,19.0,45.5,62.375,30.0,67.375,18.375,46.0,37.375
25,19.891,52.875,18.875,45.0,61.375,29.25,67.375,17.625,44.5,36.375
26,20.391,52.5,19.0,45.125,61.625,29.25,67.5,18.0,46.0,36.375
27,20.891,52.75,19.25,45.25,62.0,29.5,68.375,18.0,46.75,37.0
28,20.891,52.125,19.0,46.0,62.0,29.875,68.5,17.625,47.0,37.0
29,21.063,52.5,19.125,47.25,62.25,29.875,68.875,18.125,47.25,37.375
30,21.281,52.75,19.125,46.875,62.0,29.375,69.25,18.25,47.125,37.625
31,21.219,53.375,18.875,46.125,61.625,28.875,69.0,18.25,47.75,38.25
32,20.891,52.375,18.625,46.375,61.375,28.875,68.375,17.75,47.75,38.0
33,21.281,52.75,19.0,46.125,62.25,28.75,69.75,18.375,47.375,38.75
34,21.328,53.0,19.125,46.375,63.0,29.125,70.5,18.875,48.25,40.25
35,21.219,53.125,20.0,46.875,63.25,28.75,70.0,18.625,48.0,39.625
36,21.281,52.625,19.875,46.75,63.5,28.375,69.875,18.125,48.5,40.625
37,21.328,52.25,19.25,46.375,63.25,27.625,69.5,18.125,49.125,40.375
38,21.109,52.25,19.375,45.75,63.375,27.5,69.625,18.375,49.5,40.25
39,21.109,52.5,19.25,46.875,63.5,28.125,70.625,18.625,49.875,40.75
40,20.891,52.75,19.625,46.75,63.25,29.25,70.625,18.375,49.0,40.375
41,20.438,52.875,19.5,46.875,62.875,29.5,70.25,18.125,47.75,40.25
42,20.672,53.375,19.5,47.0,63.0,30.375,70.125,18.0,48.375,39.5
43,20.828,53.875,19.375,47.0,63.25,30.125,69.75,18.25,48.625,39.0
44,21.063,54.5,19.25,46.75,63.25,30.25,68.75,18.875,48.625,39.25
45,21.063,54.0,19.5,46.375,63.75,30.5,68.75,18.875,49.5,40.0
46,21.109,53.125,19.875,46.25,63.125,30.0,68.0,18.75,50.125,39.625
47,21.172,53.0,19.25,45.0,62.5,29.875,67.0,18.875,50.25,38.875
48,21.109,53.0,19.25,45.875,62.0,30.25,67.125,19.0,50.0,39.875
49,21.281,53.75,19.875,45.625,62.125,30.0,67.5,19.375,50.625,40.75
50,21.672,54.0,20.625,45.625,62.375,29.75,67.375,19.75,50.75,40.75
51,21.563,55.0,21.125,46.625,62.75,29.875,68.125,20.0,51.5,42.0
52,21.719,55.75,23.125,47.25,63.625,30.125,69.75,20.125,52.125,42.125
53,22.0,57.125,25.0,48.125,63.75,31.0,69.625,20.0,53.0,42.25
54,21.672,58.125,25.125,47.75,63.125,30.625,69.125,20.125,52.25,41.75
55,21.563,58.5,23.875,47.875,63.625,31.625,69.125,21.5,51.0,41.875
56,21.063,57.75,23.625,47.75,63.625,31.375,69.375,20.875,51.0,42.25
57,20.609,56.125,22.875,47.25,63.75,30.25,68.75,20.125,50.5,40.625
58,20.891,54.875,22.625,46.25,62.375,29.75,67.625,19.625,50.375,40.0
59,20.781,55.0,24.0,45.375,61.625,29.875,66.375,20.125,49.5,40.0
60,20.938,54.25,24.375,44.75,61.875,30.0,66.5,20.0,50.25,40.125
61,20.672,53.375,23.375,44.0,61.5,30.0,66.25,19.875,50.0,39.5
62,20.672,53.0,23.25,44.5,61.75,29.875,66.5,19.75,49.25,39.0
63,19.938,52.375,23.125,44.125,61.875,29.375,65.25,19.25,48.75,38.375
64,20.438,52.5,23.125,45.0,62.625,29.625,65.875,19.875,48.5,38.5
65,21.0,54.125,24.0,45.875,64.25,31.5,65.625,19.75,48.75,39.375
66,20.781,54.625,23.75,45.5,64.625,30.875,65.875,19.875,48.5,40.5
67,21.063,55.5,23.625,45.75,64.875,30.75,66.125,20.25,48.625,41.125
68,21.063,54.625,23.875,45.5,65.625,30.75,67.375,20.0,48.5,40.875
69,21.063,54.5,23.875,45.25,65.375,31.125,67.875,19.875,48.125,40.875
70,21.063,54.875,23.5,45.25,65.75,30.0,68.625,20.0,48.125,41.5
71,20.438,54.125,22.0,43.75,63.875,28.5,66.5,18.125,45.25,39.875
72,20.5,53.625,22.0,42.875,64.25,28.375,66.625,18.375,45.125,39.125
73,20.172,53.5,21.875,42.625,64.25,28.0,66.25,18.125,44.75,39.125
74,20.0,53.5,21.75,42.75,64.0,27.75,66.375,18.125,44.25,38.75
75,20.0,53.625,21.5,42.625,63.75,27.375,65.375,18.5,44.25,38.125
76,20.172,53.0,21.25,42.625,63.875,27.75,65.75,18.125,44.25,38.375
77,20.281,54.25,21.75,43.125,64.0,28.625,66.125,19.125,44.375,38.875
78,20.891,54.5,21.625,43.5,64.25,28.625,66.5,19.0,44.0,39.25
79,20.828,54.75,21.625,43.125,64.625,28.875,66.375,18.875,43.125,39.625
80,20.938,54.75,21.875,42.875,64.75,28.375,66.25,18.875,43.5,40.125
81,21.438,54.75,21.5,42.625,64.125,28.25,66.375,18.75,43.0,39.375
82,21.328,54.875,21.0,42.5,63.875,28.75,66.75,18.25,43.25,38.875
83,21.438,55.25,21.125,43.25,64.125,29.0,67.0,18.25,44.0,39.375
84,22.0,56.625,21.375,43.75,64.25,29.25,67.75,18.375,44.375,39.75
85,21.828,55.25,21.125,44.0,64.25,29.375,66.875,18.375,44.25,39.25
86,21.672,55.375,20.625,43.125,63.875,29.625,67.0,18.125,43.5,38.25
87,21.781,55.0,20.75,43.25,62.75,28.875,66.75,18.625,43.0,38.25
88,21.609,55.125,20.625,43.625,62.875,28.625,66.625,18.75,42.25,38.375
89,21.719,55.375,20.5,43.75,64.125,28.875,66.75,18.625,43.125,38.5
90,21.5,54.625,20.375,43.375,63.75,28.25,65.5,18.5,43.0,37.25
91,21.5,53.625,20.125,42.625,63.625,28.25,65.625,18.125,43.0,37.5
92,22.109,54.375,20.375,42.5,63.0,28.625,66.125,18.25,44.25,38.375
93,22.281,55.0,20.625,43.0,63.125,29.25,66.0,18.625,44.5,37.625
94,22.438,54.25,20.375,42.5,62.5,28.375,65.25,18.5,44.625,36.75
95,22.0,53.125,19.75,42.375,62.0,28.25,63.875,18.25,44.5,36.0
96,21.781,53.5,19.625,41.75,61.75,28.875,63.25,18.5,44.5,36.375
97,22.438,54.5,19.875,41.875,61.5,29.125,62.875,18.5,44.75,37.25
98,23.0,53.875,19.625,41.625,60.25,29.0,62.75,18.0,44.75,37.375
99,23.938,53.625,19.875,42.375,60.625,28.875,63.25,18.5,44.875,38.125
100,23.828,53.625,19.875,41.875,60.5,28.625,62.5,18.75,45.0,36.625
101,23.781,53.0,20.25,40.75,60.125,29.0,61.75,18.75,45.25,36.625
102,23.938,53.0,19.875,40.0,59.5,28.75,61.5,18.625,45.0,36.0
103,24.438,54.125,19.875,41.0,59.5,29.5,62.5,19.25,46.0,37.5
104,24.5,53.25,20.0,43.0,59.75,29.375,62.0,19.375,47.0,38.0
105,24.438,52.875,20.0,42.375,59.625,29.0,63.125,19.375,46.625,38.0
106,24.5,52.75,19.75,41.875,60.375,28.875,63.75,19.5,46.75,38.75
107,24.672,53.375,20.625,41.625,60.875,29.375,64.125,19.75,46.5,38.0
108,24.109,52.75,20.75,41.25,61.0,29.0,63.625,19.25,45.875,38.25
109,24.391,54.0,20.75,42.875,61.5,29.75,64.75,19.5,47.75,38.75
110,24.609,54.5,20.5,42.875,61.25,29.625,64.75,19.75,47.875,39.875
111,24.828,54.5,20.625,43.625,61.875,29.375,64.75,20.0,47.25,38.875
112,24.781,54.25,21.125,43.875,62.25,29.5,64.875,20.25,46.25,38.75
113,25.063,55.0,21.125,44.75,63.25,29.875,65.75,20.875,47.25,39.875
114,25.219,55.25,21.25,45.0,63.5,30.25,66.5,21.125,47.375,39.75
115,24.109,55.0,20.75,45.0,62.75,29.625,65.625,20.125,47.875,38.875
116,24.391,55.25,21.125,45.125,62.75,29.375,65.875,21.0,48.5,39.125
117,24.281,54.0,21.5,44.25,62.375,29.125,65.5,20.375,47.625,38.375
118,24.938,54.5,22.375,44.25,62.875,29.25,64.625,21.25,48.25,39.25
119,25.719,54.75,23.0,45.125,64.0,29.5,65.25,21.5,48.75,39.75
120,25.672,53.625,23.125,44.5,64.0,29.125,65.5,21.375,48.875,39.375
121,25.672,53.125,22.75,44.25,64.125,28.875,65.875,21.25,49.0,38.75
122,25.672,53.625,22.375,43.25,63.5,28.75,65.125,20.75,48.0,38.375
123,25.672,53.625,22.5,43.75,63.875,29.125,65.625,20.75,48.125,38.5
124,25.828,52.75,21.625,44.0,64.0,29.0,65.625,20.375,47.5,38.25
125,26.109,53.0,21.75,44.75,64.125,29.875,66.0,21.125,49.0,38.5
126,26.219,53.0,22.625,43.75,64.25,29.375,66.0,21.25,48.0,38.625
127,26.281,52.75,23.0,43.5,64.875,30.25,66.5,21.75,47.875,38.375
128,26.172,52.75,22.25,43.125,64.375,30.125,65.625,21.25,46.375,38.5
129,26.219,52.75,22.5,43.875,64.625,29.875,65.375,20.875,46.0,38.125
130,26.109,53.0,22.5,43.875,64.375,30.0,65.125,20.875,46.375,37.625
131,26.219,53.25,22.75,44.125,64.25,30.375,65.125,21.0,47.5,37.25
132,26.063,52.625,22.375,43.25,64.0,31.0,64.75,20.625,47.875,36.875
133,26.438,53.0,22.5,43.875,64.5,31.5,65.375,21.125,48.625,37.125
134,26.281,53.375,22.625,43.625,65.0,32.25,66.0,21.125,48.75,38.125
135,26.281,53.75,22.5,43.5,65.375,31.625,66.125,21.5,49.0,37.5
136,25.781,53.25,22.25,43.125,65.0,31.5,66.375,21.25,47.25,38.125
137,25.672,53.25,22.125,42.625,64.75,31.0,65.625,21.125,46.375,37.375
138,25.828,53.875,22.125,43.25,65.125,30.625,66.625,21.5,46.75,37.5
139,25.609,53.75,21.75,42.75,64.625,30.625,65.75,21.0,46.125,37.0
140,25.563,53.375,21.25,41.25,63.75,30.125,65.25,20.25,45.0,36.5
141,25.891,53.0,21.5,41.375,64.25,30.5,65.25,20.5,45.5,36.75
142,26.219,53.0,21.0,41.5,64.125,30.375,65.625,20.375,45.25,37.0
143,25.828,52.125,21.0,40.75,64.25,30.375,65.75,19.875,45.25,36.75
144,26.5,52.25,21.125,41.25,64.875,30.875,66.25,20.875,45.5,37.0
145,26.891,52.875,22.125,41.25,66.125,31.25,66.5,21.875,47.125,37.5
146,27.719,53.0,21.75,41.0,65.75,31.125,67.5,21.625,47.5,37.375
147,27.781,53.125,21.75,41.125,65.375,31.0,67.5,21.5,46.75,38.125
148,27.781,52.875,21.25,41.0,65.625,31.125,67.75,20.875,46.25,38.0
149,27.781,52.5,21.375,41.375,65.125,31.0,67.5,20.875,45.625,37.625
150,27.672,52.5,21.5,41.75,65.0,30.875,66.75,20.875,45.375,38.25
151,26.891,51.75,21.5,40.875,64.875,30.5,68.0,20.75,44.625,37.625
152,27.109,51.125,21.25,39.375,63.875,30.0,67.125,20.125,44.0,36.875
153,26.5,50.875,20.5,39.0,63.125,29.875,65.375,19.75,43.125,36.5
154,26.5,51.0,20.75,39.25,63.125,30.25,65.0,19.75,43.125,36.125
155,26.438,50.5,20.75,40.375,63.0,30.0,65.625,19.875,42.75,36.375
156,26.063,49.875,20.75,40.0,62.625,29.625,64.75,19.625,41.0,36.375
157,26.0,49.5,21.5,39.0,63.0,29.625,64.25,19.75,41.75,36.25
158,26.281,50.25,21.75,39.0,62.75,29.625,65.125,19.875,41.75,36.25
159,26.063,49.875,21.875,38.875,64.0,29.625,64.75,20.0,41.5,36.0
160,25.938,49.75,21.75,39.125,64.5,30.0,64.125,19.5,41.125,35.75
161,25.563,49.375,21.25,39.0,63.875,29.875,63.5,19.625,40.75,35.125
162,25.172,49.125,21.125,38.75,63.0,29.5,63.75,19.75,41.0,35.0
163,26.109,49.625,21.5,39.125,62.25,29.75,64.75,19.875,41.75,35.375
164,26.063,49.625,21.25,39.25,63.0,29.5,64.5,19.875,42.125,35.25
165,26.219,49.75,21.125,39.375,62.625,29.25,64.875,19.875,42.125,35.375
166,26.5,49.75,21.375,39.625,62.5,29.625,65.5,20.125,42.75,36.375
167,26.438,49.25,22.5,39.5,62.875,29.5,65.75,20.125,42.0,36.625
168,26.219,49.5,22.25,39.0,62.0,29.875,66.0,20.375,42.25,36.75
169,25.938,49.75,21.875,39.125,61.0,29.5,64.5,19.875,42.25,36.25
170,26.438,51.75,22.125,40.0,62.875,30.0,65.25,20.875,42.125,36.75
171,26.438,51.375,22.125,40.125,64.0,30.0,65.875,21.0,41.875,36.625
172,26.563,51.5,22.125,40.625,64.0,29.875,66.375,20.875,41.625,36.5
173,26.672,51.5,22.125,40.625,64.375,29.875,66.875,21.0,42.125,35.75
174,26.828,51.5,22.0,40.25,63.75,30.375,67.375,20.75,42.75,36.5
