,Winner_cat,Judge_cat,Official_cat,Round_cat
0,de_la_Hoya,G._Hamada,Yes,1
1,Trinidad,G._Hamada,Yes,2
2,de_la_Hoya,G._Hamada,Yes,3
3,Trinidad,G._Hamada,Yes,4
4,de_la_Hoya,G._Hamada,Yes,5
5,de_la_Hoya,G._Hamada,Yes,6
6,de_la_Hoya,G._Hamada,Yes,7
7,Trinidad,G._Hamada,Yes,8
8,de_la_Hoya,G._Hamada,Yes,9
9,Trinidad,G._Hamada,Yes,10
10,Trinidad,G._Hamada,Yes,11
11,Trinidad,G._Hamada,Yes,12
12,Trinidad,B._Logist,Yes,1
13,Trinidad,B._Logist,Yes,2
14,de_la_Hoya,B._Logist,Yes,3
15,Trinidad,B._Logist,Yes,4
16,de_la_Hoya,B._Logist,Yes,5
17,de_la_Hoya,B._Logist,Yes,6
18,Trinidad,B._Logist,Yes,7
19,de_la_Hoya,B._Logist,Yes,8
20,Trinidad,B._Logist,Yes,9
21,Trinidad,B._Logist,Yes,10
22,Trinidad,B._Logist,Yes,11
23,de_la_Hoya,B._Logist,Yes,12
24,Trinidad,J._Roth,Yes,1
25,Trinidad,J._Roth,Yes,2
26,de_la_Hoya,J._Roth,Yes,3
27,Trinidad,J._Roth,Yes,4
28,de_la_Hoya,J._Roth,Yes,5
29,de_la_Hoya,J._Roth,Yes,6
30,de_la_Hoya,J._Roth,Yes,7
31,de_la_Hoya,J._Roth,Yes,8
32,Trinidad,J._Roth,Yes,9
33,Trinidad,J._Roth,Yes,10
34,Trinidad,J._Roth,Yes,11
35,Trinidad,J._Roth,Yes,12
36,de_la_Hoya,HBO-Lederman,No,1
37,de_la_Hoya,HBO-Lederman,No,2
38,de_la_Hoya,HBO-Lederman,No,3
39,Trinidad,HBO-Lederman,No,4
40,de_la_Hoya,HBO-Lederman,No,5
41,Trinidad,HBO-Lederman,No,6
42,de_la_Hoya,HBO-Lederman,No,7
43,de_la_Hoya,HBO-Lederman,No,8
44,Trinidad,HBO-Lederman,No,9
45,Trinidad,HBO-Lederman,No,10
46,Trinidad,HBO-Lederman,No,11
47,Trinidad,HBO-Lederman,No,12
48,Trinidad,Sportsticker,No,1
49,de_la_Hoya,Sportsticker,No,2
50,de_la_Hoya,Sportsticker,No,3
51,Trinidad,Sportsticker,No,4
52,de_la_Hoya,Sportsticker,No,5
53,de_la_Hoya,Sportsticker,No,6
54,de_la_Hoya,Sportsticker,No,7
55,de_la_Hoya,Sportsticker,No,8
56,de_la_Hoya,Sportsticker,No,9
57,Trinidad,Sportsticker,No,10
58,de_la_Hoya,Sportsticker,No,11
59,Trinidad,Sportsticker,No,12
60,de_la_Hoya,Los_Angeles_Times-Kawakami,No,1
61,Trinidad,Los_Angeles_Times-Kawakami,No,2
62,de_la_Hoya,Los_Angeles_Times-Kawakami,No,3
63,Trinidad,Los_Angeles_Times-Kawakami,No,4
64,de_la_Hoya,Los_Angeles_Times-Kawakami,No,5
65,de_la_Hoya,Los_Angeles_Times-Kawakami,No,6
66,de_la_Hoya,Los_Angeles_Times-Kawakami,No,7
67,de_la_Hoya,Los_Angeles_Times-Kawakami,No,8
68,de_la_Hoya,Los_Angeles_Times-Kawakami,No,9
69,Trinidad,Los_Angeles_Times-Kawakami,No,10
70,Trinidad,Los_Angeles_Times-Kawakami,No,11
71,Trinidad,Los_Angeles_Times-Kawakami,No,12
72,de_la_Hoya,USA_Today,No,1
73,de_la_Hoya,USA_Today,No,2
74,de_la_Hoya,USA_Today,No,3
75,Trinidad,USA_Today,No,4
76,de_la_Hoya,USA_Today,No,5
77,de_la_Hoya,USA_Today,No,6
78,Trinidad,USA_Today,No,7
79,de_la_Hoya,USA_Today,No,8
80,de_la_Hoya,USA_Today,No,9
81,Trinidad,USA_Today,No,10
82,Trinidad,USA_Today,No,11
83,Trinidad,USA_Today,No,12
84,de_la_Hoya,Associated_Press,No,1
