,Show_run_cat,Type_cat,Revival_cat,NYT_rating_num,DN_rating_num,Tony_awards_cat,Tony_nominations_cat,Week_1_attendance_num
0,Less_than_6_months,Play,Yes,5.0,2.66667,4,4,87.13
1,Less_than_6_months,Play,Yes,1.66667,2.0,0,0,100.0
2,6-12_months,Play,Yes,4.66667,2.33333,2,4,88.44
3,Less_than_6_months,Play,Yes,3.66667,4.66667,0,2,68.14
4,Less_than_6_months,Play,No,3.66667,4.66667,1,2,90.72
5,Less_than_6_months,Play,No,2.33333,2.33333,1,1,77.09
6,6-12_months,Musical,Yes,1.66667,3.0,0,1,84.8
7,1-2_years,Musical,Yes,2.0,4.33333,2,3,89.2
8,1-2_years,Play,No,4.66667,4.66667,1,3,90.35
9,Less_than_6_months,Musical,No,1.66667,3.33333,0,0,48.38
10,6-12_months,Play,No,4.33333,3.66667,1,1,53.69
11,More_than_3_years,Musical,Yes,3.66667,5.0,4,6,92.19
12,Less_than_6_months,Musical,Yes,3.0,1.33333,0,3,82.61
13,More_than_3_years,Musical,Yes,5.0,5.0,4,5,97.02
14,Less_than_6_months,Play,No,1.66667,2.66667,0,1,88.91
15,6-12_months,Play,Yes,5.0,5.0,4,6,86.67
16,Less_than_6_months,Musical_revue,No,1.66667,2.0,0,0,72.53
17,Less_than_6_months,Play,Yes,4.66667,4.33333,0,3,92.97
18,Less_than_6_months,Musical,Yes,,,0,0,40.66
19,1-2_years,Musical,No,1.33333,1.33333,0,1,70.07
20,1-2_years,Musical_revue,No,2.66667,4.0,0,0,76.97
21,2-3_years,Musical_revue,No,3.0,4.0,1,5,97.24
22,Less_than_6_months,Play,No,1.66667,1.66667,0,0,30.83
23,Less_than_6_months,Play,No,4.66667,2.33333,0,0,50.1
24,Less_than_6_months,Play,No,2.0,1.66667,0,2,40.04
25,Less_than_6_months,Musical,No,1.66667,2.0,0,2,64.87
26,Less_than_6_months,Play,No,3.33333,3.33333,0,2,46.75
27,Less_than_6_months,Play,Yes,4.0,2.0,0,0,101.58
28,Less_than_6_months,Play,No,,,0,0,
29,6-12_months,Musical_revue,No,4.33333,4.33333,0,3,49.4
30,Less_than_6_months,Play,Yes,4.0,1.66667,0,1,92.1
31,Less_than_6_months,Play,No,2.33333,1.66667,0,0,34.74
32,More_than_3_years,Musical,No,1.66667,4.0,0,1,67.76
33,Less_than_6_months,Musical,No,3.66667,4.0,0,2,50.76
34,Less_than_6_months,Musical,No,2.0,2.33333,0,0,68.75
35,Less_than_6_months,Musical,Yes,3.0,2.66667,1,2,90.61
36,Less_than_6_months,Play,Yes,4.66667,5.0,0,3,95.54
37,Less_than_6_months,Musical,No,1.66667,2.0,0,1,56.26
38,Less_than_6_months,Play,No,1.33333,2.0,0,0,
39,Less_than_6_months,Play,Yes,4.33333,1.66667,0,0,73.27
40,Less_than_6_months,Play,No,4.33333,4.0,0,4,81.77
41,Less_than_6_months,Musical,Yes,1.66667,1.66667,0,1,77.31
42,Less_than_6_months,Musical,Yes,2.0,3.33333,0,1,91.71
43,Less_than_6_months,Musical,No,2.0,4.66667,0,4,62.87
44,6-12_months,Musical,Yes,3.33333,3.33333,0,1,93.2
45,Less_than_6_months,Musical,No,2.33333,2.66667,0,2,79.9
46,Less_than_6_months,Play,Yes,3.0,2.0,0,1,83.33
47,Less_than_6_months,Play,No,2.0,3.0,0,0,56.94
48,1-2_years,Musical,No,3.0,5.0,1,6,90.97
49,Less_than_6_months,Play,Yes,1.33333,1.33333,0,1,46.92
50,Less_than_6_months,Musical_revue,No,3.66667,3.66667,0,0,
51,Less_than_6_months,Play,No,2.66667,1.0,0,0,87.56
52,1-2_years,Play,No,4.66667,5.0,2,2,92.41
53,Less_than_6_months,Musical,No,4.33333,2.33333,0,2,61.93
54,Less_than_6_months,Play,No,4.66667,4.66667,0,4,96.89
55,Less_than_6_months,Play,No,3.66667,2.33333,0,3,96.65
56,Less_than_6_months,Musical,No,1.66667,2.0,0,6,82.31
57,Less_than_6_months,Musical_revue,No,1.66667,2.33333,0,0,54.75
58,Less_than_6_months,Play,Yes,1.0,,0,0,96.69
59,Less_than_6_months,Musical,Yes,3.66667,2.33333,1,2,86.04
60,Less_than_6_months,Play,No,2.0,4.0,0,0,80.88
61,6-12_months,Play,No,5.0,5.0,4,6,87.23
62,Less_than_6_months,Play,No,3.0,5.0,0,0,97.29
63,Less_than_6_months,Musical,No,1.66667,2.33333,0,0,70.36
64,Less_than_6_months,Play,Yes,5.0,4.66667,0,4,65.22
65,Less_than_6_months,Play,Yes,5.0,5.0,0,0,60.0
66,Less_than_6_months,Musical,No,1.33333,2.66667,0,1,57.3
67,Less_than_6_months,Play,Yes,2.0,2.0,0,0,88.2
68,6-12_months,Play,Yes,1.66667,3.33333,0,2,71.75
