,binaryClass_cat,FMED_num,TMIQ_num,Age2IQ_num,Age4IQ_num,Age8IQ_num
0,P,10.0,100.0,120.0,115.0,109.0
1,P,10.0,71.0,131.0,109.0,113.0
2,P,14.0,89.0,126.0,115.0,113.0
3,N,7.0,73.0,120.0,102.0,111.0
4,P,14.0,64.0,126.0,125.0,114.0
5,P,8.0,64.0,125.0,109.0,96.0
6,P,13.0,104.0,105.0,107.0,106.0
7,N,16.0,76.0,130.0,112.0,124.0
8,N,10.0,81.0,107.0,120.0,109.0
9,N,8.0,78.0,104.0,108.0,125.0
10,N,14.0,79.0,120.0,117.0,114.0
11,N,12.0,128.0,120.0,128.0,148.0
12,N,9.0,65.0,114.0,102.0,112.0
13,N,12.0,71.0,122.0,100.0,128.0
14,P,17.0,75.0,119.0,101.0,102.0
15,N,13.0,109.0,102.0,107.0,113.0
16,P,14.0,88.0,133.0,121.0,115.0
17,P,14.0,90.0,95.0,89.0,115.0
18,P,15.0,96.0,82.0,106.0,105.0
19,P,9.0,95.0,136.0,115.0,118.0
20,P,15.0,80.0,104.0,107.0,107.0
21,P,13.0,102.0,119.0,103.0,101.0
22,N,6.0,92.0,116.0,121.0,119.0
23,P,12.0,88.0,90.0,94.0,95.0
24,P,12.0,100.0,104.0,114.0,104.0
25,N,14.0,91.0,99.0,102.0,128.0
26,N,14.0,70.0,135.0,112.0,118.0
27,P,15.0,84.0,125.0,108.0,116.0
28,P,13.0,78.0,102.0,90.0,99.0
29,P,13.0,78.0,108.0,90.0,86.0
30,N,16.0,87.0,113.0,97.0,101.0
31,P,15.0,63.0,127.0,121.0,119.0
32,P,10.0,67.0,116.0,113.0,113.0
33,P,15.0,83.0,101.0,93.0,99.0
34,N,16.0,109.0,99.0,126.0,139.0
35,P,13.0,54.0,117.0,114.0,119.0
36,P,9.0,66.0,105.0,109.0,90.0
37,N,13.0,109.0,112.0,113.0,125.0
38,N,12.0,88.0,114.0,138.0,124.0
39,N,8.0,95.0,140.0,130.0,126.0
40,N,13.0,92.0,120.0,113.0,114.0
41,P,15.0,65.0,110.0,111.0,114.0
42,P,8.0,63.0,110.0,113.0,107.0
43,N,19.0,113.0,128.0,112.0,114.0
44,P,4.0,110.0,116.0,92.0,105.0
45,N,10.0,105.0,125.0,111.0,129.0
46,N,16.0,96.0,128.0,139.0,118.0
47,N,12.0,78.0,138.0,125.0,139.0
48,P,14.0,67.0,109.0,92.0,87.0
49,N,16.0,80.0,109.0,112.0,127.0
50,P,12.0,53.0,81.0,87.0,80.0
51,N,13.0,74.0,121.0,132.0,132.0
52,N,12.0,91.0,120.0,105.0,131.0
53,N,12.0,98.0,142.0,135.0,147.0
54,N,13.0,109.0,128.0,145.0,125.0
55,N,14.0,92.0,115.0,113.0,113.0
56,N,11.0,91.0,105.0,130.0,115.0
57,P,11.0,88.0,112.0,107.0,110.0
58,P,13.0,99.0,117.0,112.0,109.0
59,N,10.0,90.0,122.0,127.0,129.0
60,N,15.0,104.0,108.0,124.0,116.0
61,P,8.0,88.0,122.0,112.0,119.0
