,alm2_num,gvh_num,mcg_num,alm1_num
0,0.35,0.29,0.49,0.24
1,0.44,0.4,0.07,0.35
2,0.46,0.4,0.56,0.37
3,0.36,0.49,0.59,0.45
4,0.35,0.32,0.23,0.25
5,0.46,0.39,0.67,0.38
6,0.34,0.28,0.29,0.23
7,0.39,0.34,0.21,0.28
8,0.57,0.44,0.2,0.51
9,0.3,0.4,0.42,0.18
10,0.37,0.24,0.42,0.27
11,0.29,0.48,0.25,0.17
12,0.35,0.32,0.39,0.24
13,0.35,0.5,0.51,0.32
14,0.28,0.43,0.22,0.16
15,0.52,0.4,0.25,0.44
16,0.35,0.45,0.34,0.24
17,0.58,0.27,0.44,0.52
18,0.38,0.4,0.23,0.28
19,0.32,0.57,0.41,0.21
20,0.0,0.45,0.4,0.22
21,0.14,0.23,0.31,0.05
22,0.43,0.54,0.51,0.34
23,0.23,0.16,0.3,0.11
24,0.23,0.39,0.36,0.22
25,0.52,0.37,0.29,0.44
26,0.42,0.4,0.25,0.33
27,0.41,0.51,0.21,0.32
28,0.44,0.37,0.43,0.35
29,0.41,0.39,0.43,0.31
30,0.36,0.38,0.53,0.26
31,0.44,0.33,0.34,0.35
32,0.46,0.51,0.56,0.37
33,0.44,0.29,0.4,0.35
34,0.31,0.35,0.24,0.19
35,0.46,0.54,0.36,0.38
36,0.39,0.52,0.29,0.29
37,0.4,0.47,0.65,0.3
38,0.38,0.42,0.32,0.28
39,0.29,0.46,0.38,0.22
40,0.41,0.45,0.33,0.32
41,0.49,0.37,0.3,0.41
42,0.47,0.5,0.4,0.39
43,0.42,0.38,0.28,0.33
44,0.41,0.45,0.61,0.35
45,0.5,0.38,0.17,0.42
46,0.61,0.35,0.44,0.55
47,0.39,0.4,0.43,0.28
48,0.27,0.35,0.42,0.15
49,0.43,0.33,0.23,0.33
50,0.36,0.52,0.37,0.42
51,0.17,0.3,0.29,0.03
52,0.47,0.36,0.22,0.39
53,0.59,0.58,0.23,0.53
54,0.26,0.47,0.47,0.16
55,0.42,0.47,0.54,0.33
56,0.45,0.37,0.51,0.36
57,0.42,0.35,0.4,0.33
58,0.43,0.34,0.44,0.33
59,0.43,0.38,0.42,0.34
60,0.54,0.56,0.44,0.46
61,0.38,0.36,0.52,0.28
62,0.54,0.41,0.36,0.47
63,0.35,0.3,0.18,0.24
64,0.43,0.29,0.47,0.33
65,0.59,0.43,0.24,0.52
66,0.42,0.37,0.25,0.33
67,0.54,0.57,0.52,0.47
68,0.36,0.37,0.25,0.26
69,0.48,0.48,0.35,0.4
70,0.35,0.26,0.26,0.25
71,0.36,0.51,0.44,0.26
72,0.45,0.5,0.37,0.36
73,0.2,0.42,0.44,0.25
74,0.38,0.43,0.24,0.28
75,0.36,0.3,0.42,0.26
76,0.35,0.42,0.48,0.25
77,0.51,0.48,0.41,0.44
78,0.37,0.28,0.44,0.27
79,0.46,0.41,0.29,0.38
80,0.44,0.28,0.34,0.35
81,0.41,0.43,0.41,0.31
82,0.34,0.47,0.29,0.23
83,0.41,0.55,0.34,0.31
84,0.53,0.56,0.36,0.45
85,0.56,0.46,0.4,0.49
86,0.53,0.49,0.5,0.46
87,0.42,0.44,0.52,0.36
88,0.34,0.51,0.5,0.23
89,0.39,0.42,0.53,0.29
90,0.44,0.46,0.34,0.35
91,0.27,0.42,0.4,0.27
92,0.25,0.43,0.41,0.24
93,0.32,0.45,0.3,0.21
94,0.39,0.47,0.31,0.28
95,0.38,0.76,0.64,0.35
96,0.43,0.37,0.35,0.34
97,0.33,0.54,0.57,0.28
98,0.28,0.55,0.65,0.37
99,0.41,0.46,0.51,0.31
100,0.35,0.4,0.38,0.25
101,0.43,0.57,0.24,0.34
102,0.28,0.26,0.38,0.16
103,0.29,0.47,0.33,0.18
104,0.4,0.34,0.24,0.3
105,0.41,0.5,0.26,0.32
106,0.4,0.49,0.44,0.38
107,0.52,0.32,0.43,0.45
108,0.4,0.43,0.49,0.3
109,0.25,0.28,0.47,0.2
110,0.2,0.33,0.32,0.06
111,0.56,0.35,0.34,0.49
112,0.27,0.34,0.35,0.3
113,0.39,0.3,0.38,0.29
114,0.31,0.44,0.38,0.2
115,0.31,0.51,0.41,0.2
116,0.43,0.42,0.34,0.34
117,0.26,0.49,0.51,0.14
118,0.5,0.51,0.25,0.42
119,0.5,0.28,0.29,0.42
120,0.42,0.26,0.25,0.32
121,0.34,0.41,0.24,0.23
122,0.39,0.39,0.17,0.3
123,0.39,0.31,0.04,0.29
124,0.44,0.36,0.61,0.35
125,0.46,0.51,0.34,0.37
126,0.33,0.33,0.28,0.22
127,0.44,0.46,0.4,0.35
128,0.37,0.34,0.23,0.26
129,0.47,0.44,0.37,0.39
130,0.55,0.38,0.0,0.48
131,0.43,0.31,0.39,0.34
132,0.33,0.44,0.3,0.22
133,0.39,0.3,0.27,0.28
134,0.46,0.52,0.17,0.37
135,0.41,0.42,0.36,0.32
136,0.3,0.37,0.3,0.18
137,0.37,0.4,0.26,0.26
138,0.33,0.41,0.4,0.22
139,0.39,0.34,0.22,0.29
140,0.59,0.35,0.44,0.52
141,0.43,0.42,0.27,0.38
142,0.37,0.43,0.16,0.27
143,0.37,0.61,0.06,0.92
144,0.54,0.52,0.44,0.47
145,0.84,0.47,0.63,0.82
146,0.89,0.48,0.23,0.88
147,0.8,0.49,0.34,0.85
148,0.78,0.4,0.43,0.75
149,0.87,0.61,0.46,0.86
150,0.79,0.35,0.27,0.77
151,0.73,0.39,0.52,0.71
152,0.69,0.47,0.29,0.65
153,0.8,0.47,0.55,0.78
154,0.63,0.67,0.12,0.58
155,0.84,0.5,0.4,0.82
156,0.92,0.36,0.73,0.91
157,0.74,0.44,0.84,0.71
158,0.8,0.45,0.48,0.78
159,0.88,0.49,0.54,0.87
160,0.88,0.41,0.48,0.9
161,0.92,0.66,0.5,0.92
162,0.7,0.46,0.72,0.66
163,0.75,0.55,0.47,0.71
164,0.8,0.56,0.33,0.78
165,0.73,0.58,0.64,0.78
166,0.83,0.57,0.54,0.81
167,0.79,0.59,0.47,0.76
168,0.86,0.5,0.63,0.85
169,0.81,0.42,0.49,0.79
170,0.85,0.5,0.31,0.84
171,0.89,0.44,0.74,0.88
172,0.89,0.45,0.33,0.88
173,0.77,0.4,0.45,0.74
174,0.74,0.4,0.71,0.7
175,0.69,0.37,0.5,0.64
176,0.66,0.53,0.66,0.66
177,0.71,0.61,0.6,0.67
178,0.74,0.37,0.83,0.71
179,0.9,0.51,0.34,0.9
180,0.81,0.54,0.63,0.79
181,0.83,0.4,0.7,0.86
182,0.8,0.5,0.6,0.77
183,0.48,0.51,0.16,0.39
184,0.69,0.7,0.74,0.65
185,0.81,0.46,0.2,0.78
186,0.76,0.55,0.89,0.72
187,0.73,0.46,0.7,0.78
188,0.74,0.43,0.12,0.7
189,0.52,0.52,0.61,0.67
190,0.69,0.37,0.33,0.65
191,0.71,0.65,0.63,0.67
192,0.78,0.51,0.41,0.75
193,0.79,0.67,0.34,0.76
194,0.81,0.34,0.58,0.87
195,0.82,0.56,0.59,0.8
196,0.67,0.4,0.51,0.62
197,0.66,0.57,0.5,0.61
198,0.83,0.46,0.6,0.81
199,0.79,0.47,0.37,0.76
200,0.74,0.55,0.58,0.7
201,0.72,0.47,0.36,0.69
202,0.75,0.41,0.39,0.72
203,0.74,0.51,0.35,0.71
204,0.82,0.44,0.31,0.79
205,0.88,0.66,0.61,0.87
206,0.71,0.49,0.48,0.77
207,0.68,0.5,0.11,0.72
208,0.94,0.36,0.31,0.94
209,0.78,0.51,0.68,0.75
210,0.79,0.39,0.69,0.76
211,0.79,0.54,0.52,0.76
212,0.23,0.59,0.46,0.76
213,0.17,0.45,0.36,0.79
214,0.44,0.51,0.0,0.67
215,0.21,0.49,0.1,0.67
216,0.34,0.51,0.3,0.61
217,0.32,0.47,0.61,0.8
218,0.66,0.75,0.63,0.73
219,0.99,0.52,0.71,1.0
220,0.35,0.53,0.85,0.52
221,0.79,0.49,0.63,0.76
222,0.3,0.55,0.75,0.47
223,0.84,0.39,0.7,0.82
224,0.79,0.42,0.72,0.77
225,0.83,0.41,0.79,0.81
226,0.79,0.48,0.83,0.76
227,0.77,0.43,0.69,0.74
228,0.7,0.36,0.79,0.82
229,0.79,0.33,0.78,0.77
230,0.74,0.37,0.75,0.7
231,0.77,0.29,0.59,0.75
232,0.68,0.37,0.67,0.64
233,0.74,0.48,0.66,0.7
234,0.76,0.46,0.64,0.73
235,0.75,0.71,0.76,0.71
236,0.74,0.49,0.84,0.78
237,0.74,0.55,0.77,0.78
238,0.68,0.44,0.81,0.67
239,0.76,0.6,0.58,0.73
240,0.8,0.42,0.63,0.77
241,0.81,0.42,0.62,0.79
242,0.9,0.39,0.86,0.89
243,0.88,0.53,0.81,0.87
244,0.79,0.49,0.87,0.76
245,0.77,0.46,0.47,0.74
246,0.62,0.41,0.76,0.59
247,0.87,0.53,0.7,0.86
248,0.66,0.45,0.64,0.61
249,0.8,0.52,0.81,0.78
250,0.78,0.26,0.73,0.75
251,0.74,0.61,0.49,0.71
252,0.75,0.42,0.88,0.73
253,0.7,0.54,0.84,0.92
254,0.76,0.51,0.63,0.72
255,0.83,0.55,0.86,0.81
256,0.68,0.54,0.79,0.66
257,0.33,0.38,0.57,0.49
258,0.68,0.44,0.78,0.73
259,0.29,0.68,0.78,0.4
260,0.28,0.69,0.63,0.41
261,0.25,0.88,0.67,0.5
262,0.33,0.75,0.61,0.33
263,0.37,0.84,0.67,0.54
264,0.29,0.9,0.74,0.53
265,0.29,0.84,0.73,0.58
266,0.3,0.76,0.75,0.57
267,0.2,0.57,0.77,0.53
268,0.15,0.78,0.74,0.54
269,0.27,0.76,0.68,0.45
270,0.45,0.68,0.56,0.36
271,0.33,0.51,0.65,0.54
272,0.38,0.81,0.52,0.38
273,0.26,0.57,0.64,0.33
274,0.52,0.76,0.6,0.59
275,0.21,0.59,0.69,0.39
276,0.28,0.49,0.63,0.45
277,0.36,0.71,0.71,0.43
278,0.3,0.63,0.68,0.4
279,0.01,0.57,0.77,0.54
280,0.36,0.49,0.66,0.56
281,0.3,0.46,0.71,0.59
282,0.16,0.55,0.67,0.58
283,0.28,0.49,0.68,0.55
284,0.36,0.49,0.74,0.54
285,0.43,0.61,0.7,0.52
286,0.36,0.86,0.66,0.41
287,0.31,0.78,0.73,0.51
288,0.51,0.57,0.65,0.47
289,0.21,0.86,0.72,0.55
290,0.33,0.7,0.67,0.45
291,0.23,0.81,0.67,0.49
292,0.38,0.61,0.67,0.37
293,0.49,1.0,0.63,0.51
294,0.33,0.59,0.57,0.47
295,0.39,0.71,0.71,0.54
296,0.43,0.74,0.66,0.38
297,0.25,0.81,0.67,0.42
298,0.19,0.72,0.64,0.42
299,0.56,0.82,0.68,0.65
300,0.38,0.39,0.32,0.28
301,0.47,0.64,0.7,0.51
302,0.2,0.57,0.63,0.7
303,0.41,0.82,0.74,0.49
304,0.34,0.86,0.63,0.47
305,0.19,0.83,0.63,0.39
306,0.39,0.71,0.63,0.4
307,0.32,0.86,0.71,0.54
308,0.42,0.78,0.68,0.44
309,0.4,0.84,0.64,0.45
310,0.42,0.47,0.74,0.57
311,0.33,0.84,0.75,0.52
312,0.35,0.65,0.63,0.44
313,0.24,0.67,0.69,0.39
314,0.85,0.71,0.7,0.84
315,0.26,0.8,0.69,0.57
316,0.2,0.66,0.64,0.39
317,0.29,0.8,0.63,0.31
318,0.35,0.71,0.66,0.5
319,0.52,0.59,0.69,0.44
320,0.34,0.67,0.68,0.4
321,0.38,0.78,0.64,0.36
322,0.54,0.78,0.62,0.49
323,0.39,0.73,0.76,0.39
324,0.44,0.81,0.64,0.39
325,0.48,0.39,0.29,0.4
326,0.4,0.83,0.62,0.36
327,0.3,0.54,0.56,0.37
328,0.25,0.66,0.69,0.5
329,0.41,0.65,0.69,0.48
330,0.56,0.59,0.43,0.49
331,0.3,0.56,0.74,0.68
332,0.32,0.57,0.71,0.35
333,0.38,0.6,0.61,0.39
334,0.37,0.61,0.59,0.42
335,0.52,0.74,0.74,0.53
