,abdomen_cat,nasogastric_reflux_cat,packed_cell_volume_num,rectal_temperature_num,surgical_lesion_cat,pain_cat,abdominocentesis_appearance_cat,abdomcentesis_total_protein_num,pulse_num,Age_cat,outcome_cat,temperature_of_extremities_cat,total_protein_num,nasogastric_tube_cat
0,5,,45.0,38.5,2,5,,,66.0,1,2,3,8.4,
1,2,,50.0,39.2,2,3,2,2.0,88.0,1,3,,85.0,
2,1,,33.0,38.3,2,3,,,40.0,1,1,1,6.7,
3,,2,48.0,39.1,1,2,3,5.3,164.0,9,2,4,7.2,1
4,,,74.0,37.3,2,,,,104.0,1,2,,7.4,
5,3,1,,,2,2,,,,1,1,2,,2
6,5,1,37.0,37.9,1,3,,,48.0,1,1,1,7.0,1
7,4,1,44.0,,1,,,,60.0,1,2,3,8.3,2
8,5,1,38.0,,1,4,,,80.0,1,3,3,6.2,2
9,,1,40.0,38.3,2,5,1,2.2,90.0,9,1,1,6.2,2
10,5,1,44.0,38.1,1,3,2,3.6,66.0,1,1,3,6.0,2
11,4,1,50.0,39.1,1,2,,,72.0,1,1,2,7.8,1
12,5,1,,37.2,2,3,,,42.0,1,1,2,7.0,3
13,1,,37.0,38.0,2,1,1,,92.0,9,2,1,6.1,3
14,4,2,46.0,38.2,1,3,1,2.0,76.0,1,1,3,81.0,2
15,,3,45.0,37.6,1,5,,,96.0,1,2,3,6.8,2
16,5,,53.0,,2,4,3,4.7,128.0,9,2,3,7.8,3
17,,,,37.5,2,,,,48.0,1,1,,,
18,5,1,40.0,37.6,1,2,1,,64.0,1,1,1,7.0,1
19,,,55.0,39.4,2,,,,110.0,1,1,4,8.7,
20,4,1,46.0,39.9,1,5,2,,72.0,1,1,1,6.1,3
21,3,3,49.0,38.4,2,1,,,48.0,1,1,1,6.8,2
22,,,48.0,38.6,1,2,,,42.0,1,1,2,7.2,
23,,,50.0,38.3,1,2,,,130.0,9,1,,70.0,
24,,2,51.0,38.1,1,,,,60.0,1,1,3,65.0,3
25,,,,37.8,2,,,,60.0,1,1,,,
26,5,1,43.0,38.3,1,3,2,3.9,72.0,1,1,4,7.0,2
27,3,1,37.0,37.8,2,,2,1.3,48.0,1,1,3,5.5,1
28,,,,,2,,,,,1,2,,,
29,,1,45.0,37.7,2,1,,,48.0,1,1,2,76.0,1
30,5,2,66.0,37.7,1,5,,,96.0,1,2,3,7.5,3
31,3,3,52.0,37.2,1,2,3,7.4,108.0,1,3,3,8.2,
32,5,1,43.0,37.2,1,3,,,60.0,1,1,2,6.6,2
33,4,,49.0,38.2,1,3,2,6.6,64.0,1,1,1,8.6,
34,4,3,52.0,,1,5,,,100.0,1,1,3,6.6,3
35,2,3,73.0,,1,4,,,104.0,1,3,4,8.4,
36,5,2,51.0,38.3,2,,2,1.0,112.0,1,3,,6.0,1
37,1,1,56.0,37.8,1,5,1,2.0,72.0,1,1,,80.0,
38,3,1,32.0,38.6,2,3,1,5.0,52.0,1,1,1,6.6,1
39,,,,39.2,1,,,,146.0,9,2,,,
