,attribute_36_num,Class_cat,attribute_47_num,attribute_56_num,attribute_23_num,attribute_46_num,attribute_35_num,attribute_28_num,attribute_50_num,attribute_32_num,attribute_1_num,attribute_30_num,attribute_44_num,attribute_27_num,attribute_9_num,attribute_10_num,attribute_13_num,attribute_57_num,attribute_29_num,attribute_51_num,attribute_17_num,attribute_59_num,attribute_42_num,attribute_54_num,attribute_12_num,attribute_14_num,attribute_55_num,attribute_16_num,attribute_2_num,attribute_25_num
0,0.8507,Rock,0.1051,0.0167,0.4328,0.1386,0.8537,0.808,0.0324,0.2604,0.02,0.3857,0.4256,0.7104,0.3109,0.2111,0.2238,0.018,0.6791,0.0232,0.31,0.009,0.2834,0.0159,0.1582,0.0645,0.0072,0.2273,0.0371,0.6711
1,0.4182,Rock,0.053,0.0191,0.3957,0.0203,0.1306,0.2767,0.0061,0.2947,0.0453,0.2028,0.1628,0.3271,0.3337,0.2872,0.6919,0.014,0.4423,0.0125,1.0,0.0052,0.0583,0.0048,0.6552,0.7797,0.0094,0.9444,0.0523,0.325
2,0.3043,Rock,0.1348,0.0244,0.4293,0.0176,0.4232,0.8533,0.0106,0.5045,0.0262,0.8514,0.2222,0.507,0.5598,0.6194,0.5544,0.0316,0.6036,0.0033,0.6759,0.0095,0.2587,0.0095,0.706,0.532,0.018,0.6931,0.0582,0.5331
3,0.3012,Rock,0.2655,0.0073,0.5556,0.3654,0.3953,0.252,0.0294,0.734,0.01,0.3559,0.3202,0.5256,0.0598,0.1264,0.0184,0.005,0.209,0.0241,0.0693,0.004,0.5006,0.015,0.1992,0.2261,0.0085,0.2131,0.0171,0.314
4,0.4181,Rock,0.0357,0.0015,0.573,0.0528,0.1951,1.0,0.0046,0.5459,0.0762,0.4724,0.0841,0.6995,0.3564,0.4459,0.4256,0.0072,0.7262,0.0156,0.7306,0.0107,0.2444,0.0105,0.3952,0.4135,0.011,0.5326,0.0666,0.3161
5,0.2856,Rock,0.0623,0.0089,0.589,0.1089,0.1407,0.375,0.0081,0.4778,0.0286,0.5067,0.1238,0.5389,0.2105,0.3039,0.6343,0.0057,0.3411,0.0104,0.9508,0.0051,0.265,0.0038,0.425,0.8198,0.0013,0.9988,0.0453,0.2043
6,0.5163,Rock,0.1124,0.0138,0.939,0.0597,0.2969,0.5429,0.0159,0.6323,0.0317,0.2149,0.1749,0.5713,0.2083,0.3513,0.0513,0.0092,0.2177,0.0195,0.515,0.0036,0.2377,0.0131,0.0658,0.3752,0.007,0.544,0.0956,0.5268
7,0.105,Rock,0.1125,0.0097,0.6809,0.236,0.3666,0.6091,0.0178,0.0624,0.0519,0.1103,0.1437,0.8872,0.1465,0.2838,0.2657,0.0085,0.2967,0.0052,0.2617,0.0048,0.2196,0.0045,0.3086,0.3801,0.0121,0.4376,0.0548,0.7613
8,0.2186,Rock,0.1459,0.0049,0.6712,0.1271,0.3408,0.7353,0.0439,0.4096,0.0223,0.1594,0.1099,0.9611,0.0684,0.1487,0.3833,0.0065,0.4856,0.0061,0.0349,0.0059,0.174,0.0145,0.1654,0.3598,0.0058,0.1136,0.0375,0.3374
9,0.1108,Rock,0.0867,0.0068,0.9203,0.0688,0.0244,0.8907,0.0198,0.4935,0.0164,0.6896,0.1384,0.8289,0.0962,0.0251,0.1266,0.0032,0.7309,0.0118,0.2826,0.0056,0.1421,0.0179,0.1056,0.089,0.0084,0.1133,0.0173,0.9207
