,middle-left-square_cat,top-left-square_cat,middle-middle-square_cat,Class_cat,bottom-left-square_cat
0,x,x,o,positive,x
1,x,x,o,positive,o
2,x,x,o,positive,o
3,x,x,o,positive,o
4,x,x,o,positive,b
5,x,x,o,positive,b
6,x,x,o,positive,o
7,x,x,o,positive,o
8,x,x,o,positive,b
9,x,x,b,positive,o
10,x,x,b,positive,o
11,x,x,b,positive,b
12,o,x,x,positive,x
13,o,x,x,positive,o
14,o,x,x,positive,o
15,o,x,x,positive,o
16,o,x,x,positive,b
17,o,x,x,positive,b
18,o,x,x,positive,o
19,o,x,x,positive,o
20,o,x,x,positive,b
21,o,x,o,positive,x
22,o,x,o,positive,o
23,o,x,o,positive,o
24,o,x,o,positive,o
25,o,x,o,positive,b
26,o,x,o,positive,b
27,o,x,o,positive,x
28,o,x,o,positive,x
29,o,x,o,positive,o
30,o,x,o,positive,o
31,o,x,o,positive,b
32,o,x,o,positive,b
33,o,x,o,positive,b
34,o,x,b,positive,o
35,o,x,b,positive,o
36,o,x,b,positive,b
37,o,x,b,positive,x
38,o,x,b,positive,x
39,o,x,b,positive,o
40,o,x,b,positive,o
41,o,x,b,positive,b
42,o,x,b,positive,b
43,o,x,b,positive,b
44,o,x,b,positive,x
45,o,x,b,positive,o
46,o,x,b,positive,o
47,o,x,b,positive,o
48,o,x,b,positive,b
49,o,x,b,positive,b
50,b,x,x,positive,o
51,b,x,x,positive,o
52,b,x,x,positive,b
53,b,x,o,positive,o
54,b,x,o,positive,o
55,b,x,o,positive,b
56,b,x,o,positive,x
57,b,x,o,positive,x
58,b,x,o,positive,o
59,b,x,o,positive,o
60,b,x,o,positive,b
61,b,x,o,positive,b
62,b,x,o,positive,b
63,b,x,o,positive,x
64,b,x,o,positive,o
65,b,x,o,positive,o
66,b,x,o,positive,o
67,b,x,o,positive,b
68,b,x,o,positive,b
69,b,x,b,positive,x
70,b,x,b,positive,o
71,b,x,b,positive,o
72,b,x,b,positive,o
