,region-pixel-count_num,exgreen-mean_num,vedge-mean_num,intensity-mean_num,region-centroid-row_num,exred-mean_num,short-line-density-5_num,value-mean_num,vegde-sd_num,region-centroid-col_num
0,9.0,-25.2222,0.833333,59.6296,178.0,-21.5556,0.111111,75.2222,0.547722,218.0
1,9.0,-2.33333,0.277778,0.888889,130.0,-2.66667,0.0,2.55556,0.250924,113.0
2,9.0,-16.7778,0.944448,123.037,41.0,-33.4444,0.0,139.778,0.772202,202.0
3,9.0,-15.7778,1.72222,43.5926,173.0,-12.1111,0.0,52.8889,1.78159,32.0
4,9.0,-19.7778,1.44444,49.5926,197.0,-16.1111,0.0,61.5556,1.51535,61.0
5,9.0,-18.6667,1.55556,49.3333,185.0,-12.0,0.0,59.5556,1.06805,149.0
6,9.0,10.4444,1.38889,17.7407,229.0,-10.8889,0.0,21.2222,1.57407,197.0
7,9.0,-7.22222,0.388889,5.40741,111.0,4.44444,0.0,6.88889,0.240741,29.0
8,9.0,-5.66667,12.1667,21.3333,81.0,-22.0,0.0,30.5556,267.456,1.0
9,9.0,-17.0,3.11111,21.4444,85.0,-3.0,0.111111,28.1111,8.20741,69.0
10,9.0,-10.5556,4.44444,26.5185,83.0,-9.55556,0.0,33.2222,1.32777,152.0
11,9.0,-1.11111,0.277778,0.37037,153.0,-1.11111,0.0,1.11111,0.062963,248.0
12,9.0,-0.111111,0.0555556,0.037037,141.0,-0.111111,0.0,0.111111,0.136083,137.0
13,9.0,-22.6667,1.61111,63.2222,197.0,-21.0,0.111111,77.7778,1.45169,86.0
14,9.0,5.66667,2.27778,6.44444,220.0,-2.33333,0.111111,8.33333,1.12963,220.0
15,9.0,-2.66667,1.05556,1.22222,115.0,-2.33333,0.0,2.88889,0.32963,207.0
16,9.0,-15.7778,1.66667,19.5926,51.0,-2.44444,0.0,25.6667,2.0,6.0
17,9.0,-23.1111,3.72222,54.9259,182.0,-16.4444,0.0,68.1111,2.57696,203.0
18,9.0,-16.2222,4.44444,47.8519,120.0,-9.22222,0.0,56.3333,4.35975,243.0
19,9.0,-13.2222,10.1111,47.963,97.0,-5.88889,0.0,54.3333,4.5979,146.0
20,9.0,-1.33333,0.722222,0.555556,145.0,-0.666667,0.0,1.22222,0.611616,184.0
21,9.0,-7.44444,0.444444,5.92593,128.0,5.88889,0.0,7.88889,0.340741,178.0
22,9.0,-3.88889,2.66667,6.18518,134.0,-11.8889,0.0,11.4444,3.15556,132.0
23,9.0,-13.8889,0.388889,112.963,28.0,-40.5556,0.0,131.111,0.136081,83.0
