,att33_num,att23_num,att38_num,att36_num,att2_num,att3_num,att31_num,att26_num,att44_num,att27_num,att28_num,att47_num,att21_num,att34_num,att19_num,att40_num,att35_num,att24_num,att22_num,att13_num,att39_num,att17_num,att46_num,att4_num
0,67.58321804,14.19932496,1.71352943,170.26576363,0.83146581,15.35180368,6.83661628,11.90259677,9.71107016,13.99288335,6.97255874,539.20845747,2.80821177,1.87559911,444.81873449,9.85891522,2.28040282,109.8205315,7.50553854,99.02527669,33.81034044,71.6826982,47.03257765,75.80655877
1,82.06344893,100.03478538,2.59020781,211.20029776,1.16674551,10.52691347,14.37651619,8.00674523,8.14063313,53.19139913,91.36731276,518.4965669,3.57632343,1.34874103,419.5430635,70.68189876,29.15873615,85.14561144,38.54688921,87.94641666,35.40053066,40.65687341,46.33895405,42.36927635
2,14.86945484,52.67556251,1.47628474,207.14709334,1.22500747,8.27380379,8.10180575,7.78121593,4.53092112,71.36995521,94.03994194,549.91269136,3.38060376,1.3365173,518.2299606,30.09358959,35.77289669,11.77417171,21.11927205,17.76037702,19.47723043,68.66667457,44.57482214,31.74478635
3,65.14869114,27.5706344,1.34961311,239.67299792,1.63824727,19.20528336,7.45304511,8.22611998,3.70602306,61.25743942,112.68859961,574.88781361,3.96307213,1.32625124,386.32421772,30.56408508,31.81299984,80.05454653,20.03687734,55.03717364,14.17951811,51.9370885,51.73992968,51.19668169
4,50.19202941,47.31222963,0.66797059,222.22763817,0.6115615,8.62783913,4.05596325,9.69548559,1.80627253,75.96331954,86.05021258,492.22751279,3.05574964,1.72148592,417.65885792,30.24247306,40.00379441,66.37701475,12.7753887,71.512437,8.70540306,61.7503697,50.40776975,37.32505249
5,90.17250784,12.56867299,0.80841788,309.83545599,5.0420768,40.44284704,4.59290554,35.8531468,2.59280932,197.37892263,192.0699876,555.30433202,1.84276439,6.38236412,194.70458287,97.58119482,96.3493774,41.94201891,12.40728995,58.45536526,10.57078165,226.66384619,67.43199692,142.71837759
6,5.60316768,42.14280889,0.78781176,194.89121282,0.92908455,29.99590726,3.48448873,21.7964231,7.14426188,17.18843674,27.75701026,511.1945356,4.46991197,3.56391332,322.55625207,6.63712807,7.81936123,29.30505087,5.92765206,82.26174817,27.68934778,60.33579139,55.28310728,120.28591225
7,12.38674627,30.84654691,1.77526083,227.07164817,0.60821322,3.95445266,8.93869874,1.76254978,6.83916698,49.84642617,70.58100425,512.60358727,1.73635535,0.43166506,508.82690539,11.40940057,29.77667876,24.55058123,19.95500521,21.51216171,26.60441482,27.18589244,53.55112291,15.00777539
8,16.98669275,48.16941515,1.6458017,179.93163411,2.79979954,39.06342408,8.66156409,23.23477777,2.8519158,23.72474184,59.64469529,509.29157468,1.9399364,3.87112744,333.39964378,11.60986053,12.67258068,24.31490667,21.32555141,9.3889652,13.37263464,79.49705569,58.37469209,120.85058318
9,28.16973443,28.78850609,0.81167646,226.8188623,1.4146897,27.85415957,4.23760496,16.94578035,2.11994353,9.99851133,92.75718428,496.22548432,0.31524652,2.66597266,322.26563756,31.41856954,8.47113752,12.8913011,10.21791971,46.99197086,8.17032876,50.38387782,50.80404735,107.55452255
