1 1:1 2:1 3:502 4:0.927825 5:0.252866 6:0.298838 7:0.170521 8:0.735936 9:0.428325 10:0.567947 11:0.47437 12:0.245675 13:0.104226 14:0.869091 15:0.997518 16:0.44862 17:0.307522 18:0.85831 19:0.796997 20:0.869893
2 1:1 2:2 3:249 4:0.457728 5:0.359448 6:0.306957 7:0.843331 8:0.934851 9:0.444572 10:0.828015 11:0.296618 12:0.61687 13:0.975786 14:0.914344 15:0.845247 16:0.864152 17:0.346713 18:0.356573 19:0.438447 20:0.512256
2 1:1 2:3 3:202 4:0.373238 5:0.517399 6:0.504993 7:0.618903 8:0.605571 9:0.746225 10:0.195928 11:0.815667 12:0.679355 13:0.803413 14:0.643995 15:0.718441 16:0.924775 17:0.315371 18:0.250642 19:0.285636 20:0.365858
2 1:1 2:4 3:56 4:0.104055 5:0.197533 6:0.421837 7:0.742056 8:0.490828 9:0.005525 10:0.392123 11:0.010015 12:0.471463 13:0.597879 14:0.761659 15:0.362751 16:0.912819 17:0.977971 18:0.845921 19:0.699431 20:0.475987
2 1:1 2:5 3:278 4:0.513199 5:0.061812 6:0.635837 7:0.844798 8:0.441502 9:0.191926 10:0.487546 11:0.358534 12:0.551543 13:0.743877 14:0.312349 15:0.650223 16:0.522261 17:0.043545 18:0.37666 19:0.280098 20:0.132283
2 1:1 2:6 3:342 4:0.629026 5:0.30338 6:0.813408 7:0.222817 8:0.971206 9:0.609778 10:0.647804 11:0.737914 12:0.440943 13:0.035982 14:0.615868 15:0.017487 16:0.93232 17:0.329318 18:0.954123 19:0.135379 20:0.294805
2 1:1 2:7 3:297 4:0.548838 5:0.153583 6:0.654415 7:0.140346 8:0.796646 9:0.40584 10:0.662636 11:0.049427 12:0.578519 13:0.264855 14:0.959217 15:0.698107 16:0.467359 17:0.637078 18:0.011251 19:0.147325 20:0.213814
2 1:1 2:8 3:486 4:0.898731 5:0.931822 6:0.916648 7:0.399106 8:0.009445 9:0.846257 10:0.683773 11:0.397306 12:0.886768 13:0.522428 14:0.694774 15:0.886522 16:0.411673 17:0.481108 18:0.926546 19:0.026431 20:0.09274
2 1:1 2:9 3:191 4:0.352972 5:0.988121 6:0.28707 7:0.563626 8:0.402708 9:0.380932 10:0.479191 11:0.060165 12:0.236524 13:0.290484 14:0.391833 15:0.254944 16:0.4884 17:0.053684 18:0.862226 19:0.415055 20:0.487126
2 1:1 2:10 3:225 4:0.413931 5:0.805288 6:0.163486 7:0.861902 8:0.947595 9:0.546564 10:0.426141 11:0.41708 12:0.94561 13:0.325388 14:0.666527 15:0.37427 16:0.100291 17:0.21329 18:0.22286 19:0.007286 20:0.420027
