,AIDS_know_num,Married_cat,Age_num,Years_of_education_num,Male_cat,Religious_cat,Sex_partners_num,Income_num,Drug_use_cat,Same_sex_relations_cat
0,0,1,52,14,0,1,1,32500.0,0,0
1,2,0,58,16,0,1,0,21250.0,0,0
2,0,0,22,14,1,1,15,2000.0,0,0
3,0,1,35,14,1,1,5,21250.0,0,0
4,0,0,43,20,1,1,1,67500.0,0,0
5,0,1,49,13,1,1,1,85000.0,0,0
6,0,1,34,12,0,1,1,32500.0,0,0
7,0,1,34,12,1,1,10,23750.0,1,0
8,0,1,31,16,0,1,3,32500.0,0,0
9,0,1,49,4,1,1,1,27500.0,0,0
10,0,0,61,12,0,1,3,32500.0,0,0
11,1,0,28,16,0,1,1,4500.0,0,0
12,1,0,59,16,1,0,20,27500.0,0,1
13,0,0,36,12,0,1,4,500.0,0,1
14,2,1,35,12,0,1,1,3500.0,0,0
15,0,1,24,12,0,1,1,23750.0,0,0
16,2,0,30,16,1,1,3,32500.0,0,0
17,0,0,56,16,0,1,1,37500.0,0,0
18,1,0,34,12,0,1,2,32500.0,0,0
19,0,1,40,13,1,1,1,27500.0,0,0
20,0,1,43,15,1,1,2,4500.0,0,0
21,0,1,27,12,1,1,2,,0,0
22,0,0,53,10,0,1,1,6500.0,0,0
23,0,1,58,14,1,1,1,55000.0,0,0
24,3,0,31,16,0,0,5,9000.0,0,1
25,3,0,48,17,0,1,1,32500.0,0,0
26,0,0,39,18,1,1,1,85000.0,0,0
27,0,0,32,20,0,1,1,32500.0,0,0
28,0,0,49,12,0,1,4,,0,0
29,2,0,33,19,1,1,3,37500.0,0,0
30,4,0,29,18,0,1,5,27500.0,0,0
31,0,0,36,12,0,1,10,,0,0
32,0,1,49,12,1,1,1,16250.0,0,0
33,0,1,36,18,1,1,1,32500.0,0,0
34,1,0,39,16,0,1,1,45000.0,0,0
35,0,1,40,16,0,1,1,6500.0,0,0
36,0,1,40,10,0,1,1,16250.0,0,0
37,0,1,35,17,0,1,1,11250.0,0,0
38,1,1,48,12,1,1,1,55000.0,0,0
39,0,0,29,16,1,1,10,23750.0,0,0
40,0,1,30,14,0,1,3,18750.0,0,0
41,0,1,36,19,0,1,1,18750.0,0,0
42,0,1,27,14,1,1,1,18750.0,0,0
43,1,0,41,16,0,1,0,27500.0,0,0
44,0,1,40,14,1,1,2,85000.0,0,0
45,0,0,36,12,0,1,1,27500.0,0,0
46,0,1,36,16,1,0,1,55000.0,0,0
47,0,1,52,12,1,0,1,45000.0,0,0
48,0,0,39,13,0,1,5,27500.0,0,1
49,0,1,34,14,1,1,1,21250.0,0,0
50,0,0,32,12,1,1,2,16250.0,0,0
51,0,0,40,12,0,1,5,18750.0,0,0
52,0,0,42,16,0,1,4,23750.0,0,1
53,0,1,48,12,1,1,1,32500.0,0,0
54,0,0,26,12,1,1,12,37500.0,0,0
55,0,0,24,13,1,1,20,13750.0,0,0
56,0,1,77,20,1,1,2,32500.0,0,0
57,1,1,27,14,1,1,3,37500.0,0,0
58,0,1,25,12,1,1,1,16250.0,1,0
59,2,1,65,12,1,0,0,55000.0,0,0
60,0,1,35,12,0,1,1,16250.0,0,0
61,0,1,27,16,0,1,1,32500.0,0,0
62,0,1,23,12,1,1,15,23750.0,0,0
63,0,1,68,13,1,1,1,,0,0
64,1,1,36,18,0,1,1,16250.0,0,0
65,1,1,37,16,1,1,1,32500.0,0,0
66,1,0,27,16,0,1,7,5500.0,0,0
67,0,1,39,12,0,1,1,2000.0,0,0
68,0,1,42,16,1,1,1,32500.0,0,0
69,1,1,37,9,0,1,2,5500.0,0,1
70,0,1,38,14,1,1,1,23750.0,0,0
71,0,0,58,20,0,1,2,32500.0,0,0
72,0,1,50,14,1,1,1,37500.0,0,0
73,0,0,56,11,0,1,0,11250.0,0,0
74,0,1,40,18,1,1,1,45000.0,0,0
75,0,0,37,13,0,1,1,6500.0,0,0
76,4,0,32,18,0,1,6,11250.0,0,0
77,1,1,29,12,0,1,2,18750.0,0,0
78,0,1,32,12,1,1,4,45000.0,0,0
79,2,0,42,12,0,1,0,27500.0,0,0
80,0,0,30,12,1,1,5,16250.0,1,0
81,0,0,38,12,0,1,1,13750.0,0,0
82,0,0,32,12,0,1,1,37500.0,0,0
83,0,0,57,15,1,1,2,9000.0,0,0
84,1,1,31,14,0,1,3,16250.0,0,0
85,0,1,28,12,1,1,1,9000.0,0,0
86,0,1,35,14,1,1,1,11250.0,0,0
87,0,1,35,9,1,1,15,9000.0,0,0
88,0,0,38,13,0,1,3,16250.0,0,0
89,0,0,45,13,1,1,14,9000.0,1,0
90,0,0,25,16,1,1,3,27500.0,0,0
91,0,1,40,12,1,1,1,9000.0,0,0
92,0,1,55,10,1,1,1,,0,0
93,0,1,76,8,0,1,0,4500.0,0,0
94,0,1,54,13,0,1,1,18750.0,0,0
95,0,1,46,8,1,1,1,18750.0,0,0
96,1,0,40,12,1,1,10,32500.0,0,0
97,0,1,30,14,0,1,1,11250.0,0,0
98,0,0,33,17,0,1,0,27500.0,0,0
99,0,0,36,14,0,1,1,27500.0,0,0
100,0,0,44,11,1,1,4,500.0,0,0
101,0,1,38,14,1,1,1,37500.0,0,0
102,0,1,62,14,1,1,1,55000.0,0,0
103,0,0,39,16,1,1,2,37500.0,0,0
104,0,0,54,10,1,1,1,16250.0,0,0
105,0,1,51,16,1,1,1,32500.0,0,0
106,0,1,59,14,0,1,1,18750.0,0,0
107,0,0,44,18,0,1,0,45000.0,0,0
108,1,1,40,16,1,1,1,55000.0,0,0
109,1,1,61,17,1,1,1,45000.0,0,0
110,0,1,38,13,0,1,1,9000.0,0,0
111,2,1,64,12,1,0,1,55000.0,0,0
112,1,1,38,12,1,1,1,27500.0,1,0
113,1,1,55,18,1,1,1,67500.0,0,0
114,0,0,35,14,1,1,1,32500.0,0,0
115,0,0,45,12,1,1,4,21250.0,0,0
116,0,1,44,11,0,1,1,9000.0,0,0
117,1,0,34,14,0,1,2,18750.0,0,0
118,0,0,43,18,1,1,3,18750.0,0,0
119,2,1,35,16,0,0,1,,0,0
120,0,1,35,12,0,1,1,11250.0,0,0
121,1,0,37,15,1,0,20,32500.0,0,1
122,0,1,43,15,0,1,1,16250.0,0,0
123,0,1,44,12,1,1,1,45000.0,0,0
124,0,1,62,8,1,1,1,32500.0,0,0
125,0,1,29,12,0,1,1,5500.0,0,0
126,0,1,53,12,1,1,0,32500.0,0,0
127,0,1,39,13,1,1,1,55000.0,0,0
128,0,0,26,14,1,1,1,13750.0,0,0
129,0,0,39,12,1,1,1,23750.0,0,0
130,0,0,33,14,0,1,3,2000.0,0,0
131,0,1,38,16,1,1,1,18750.0,0,0
132,0,1,25,16,1,1,7,13750.0,0,0
133,0,1,32,10,1,1,1,16250.0,0,0
134,0,1,31,17,0,1,1,500.0,0,0
135,0,0,29,12,0,1,2,500.0,0,0
136,0,0,51,8,1,1,1,9000.0,0,0
137,0,0,61,12,0,1,0,23750.0,0,0
138,0,1,24,13,0,1,1,16250.0,0,0
139,0,1,48,12,0,1,1,500.0,0,0
140,0,1,36,14,1,1,1,32500.0,0,0
141,0,0,41,12,0,1,1,37500.0,0,0
142,2,0,34,12,0,1,3,11250.0,0,0
143,0,1,41,12,0,1,2,4500.0,0,0
144,0,1,36,14,1,1,5,13750.0,0,0
145,0,0,43,14,1,1,5,16250.0,0,0
146,0,1,34,12,0,1,1,16250.0,0,0
147,0,0,27,17,0,1,7,27500.0,1,0
148,0,0,32,12,0,1,2,4500.0,0,0
149,0,1,32,12,0,1,1,3500.0,0,0
150,0,1,57,12,0,1,1,9000.0,0,0
151,0,0,27,19,1,1,6,11250.0,0,0
152,0,1,36,12,0,1,1,16250.0,0,0
153,1,1,27,12,1,1,7,11250.0,0,0
154,0,1,41,19,1,0,1,27500.0,0,0
155,0,1,29,14,0,1,1,27500.0,0,0
156,0,0,45,12,1,1,1,16250.0,0,0
157,0,1,35,12,1,1,1,55000.0,0,0
158,1,1,47,12,0,1,1,500.0,0,0
