,binaryClass_cat,Age_cat,Gender_cat,Location_cat,Coherence_num,Maturity_num,Delay_num,Prosecute_cat
0,P,0,0,3,3.81,3.62,45.0,0
1,P,0,1,2,1.63,1.61,27.0,0
2,P,0,0,1,3.54,3.63,102.0,0
3,P,0,1,2,4.21,4.11,39.0,0
4,P,0,0,3,3.3,3.12,41.0,0
5,P,0,1,3,2.32,2.13,70.0,1
6,P,0,1,4,4.51,4.31,72.0,0
7,P,0,1,2,3.18,3.08,41.0,0
8,P,0,0,1,2.66,2.72,13.0,0
9,P,0,1,3,4.7,4.98,39.0,0
10,P,0,0,2,4.31,4.21,39.0,1
11,P,0,1,3,3.46,3.54,47.0,0
12,P,0,1,2,3.42,3.33,31.0,1
13,P,0,0,1,3.08,3.07,82.0,0
14,P,0,1,4,4.04,4.12,29.0,0
15,P,1,0,3,3.12,3.01,51.0,1
16,P,0,1,3,3.23,3.08,71.0,0
17,P,0,0,1,2.63,2.62,81.0,0
18,P,1,0,3,3.02,3.0,71.0,0
19,P,0,1,2,3.62,3.53,43.0,0
20,P,1,0,1,1.54,1.21,55.0,1
21,P,0,0,3,2.79,2.74,45.0,0
22,P,1,0,1,2.76,2.71,27.0,0
23,P,1,1,1,4.63,4.66,74.0,0
24,P,0,0,3,3.35,3.07,88.0,1
25,P,0,1,1,2.63,2.82,29.0,0
26,P,1,1,2,2.77,2.71,56.0,1
27,P,1,0,4,3.26,3.91,55.0,1
28,P,0,0,1,2.99,2.87,75.0,0
29,P,0,0,3,3.59,3.09,61.0,0
30,P,1,1,2,2.43,2.39,76.0,1
31,P,1,0,4,2.41,2.38,45.0,0
32,P,1,0,1,2.37,3.36,90.0,1
33,P,1,0,2,3.92,3.98,92.0,0
34,N,0,0,3,3.63,3.72,44.0,0
35,N,0,1,1,2.3,2.21,45.0,1
36,N,1,1,4,1.56,1.92,12.0,0
37,N,1,1,2,2.92,2.81,23.0,1
38,N,1,1,3,4.11,1.72,63.0,1
39,N,0,1,1,2.49,2.51,97.0,0
40,N,0,1,2,2.41,2.04,55.0,0
41,N,1,1,3,2.56,2.65,66.0,1
42,N,1,0,1,1.95,2.03,8.0,1
43,N,1,0,2,2.52,2.49,75.0,0
44,N,1,1,3,2.15,2.09,71.0,1
45,N,0,0,4,2.78,2.79,9.0,1
46,N,0,1,1,2.95,3.01,39.0,0
47,N,1,0,4,1.89,3.45,68.0,1
48,N,1,1,3,3.62,3.56,36.0,1
49,N,1,1,2,2.16,2.91,4.0,0
50,N,1,0,1,3.65,3.91,52.0,1
51,N,1,0,4,2.32,2.33,19.0,1
52,N,1,0,1,1.34,1.42,77.0,0
53,N,1,1,1,2.02,2.11,25.0,1
54,N,1,0,4,1.76,1.72,86.0,0
55,N,0,1,4,1.78,1.77,45.0,1
56,N,1,1,2,2.52,2.54,2.0,1
57,N,1,0,4,1.83,1.73,29.0,1
58,N,1,0,4,1.51,1.73,45.0,1
59,N,1,1,3,3.08,2.08,14.0,0
60,N,0,1,4,1.03,0.98,25.0,1
61,N,1,1,1,1.76,1.65,21.0,0
62,N,1,0,4,2.0,1.94,17.0,1
63,N,1,0,4,2.9,2.94,19.0,1
64,N,1,0,2,3.24,3.43,22.0,1
65,N,1,0,2,2.9,2.87,14.0,0
66,N,0,1,4,3.11,3.01,26.0,1
67,N,1,1,3,2.86,2.93,57.0,0
68,N,1,1,2,1.94,1.99,46.0,1
69,N,1,0,4,1.89,1.87,15.0,1
