,binaryClass_cat,Gold2000_num,Silver2000_num,Bronze2000_num,Total2000_num,Population_num,Athletes_num,GDP_num,Total1996_num,Log1996_num,Log.population_num,Log.GDP_num
0,N,39.0,25.0,33.0,97.0,274028.0,664.0,7567100.0,101.0,4.615121,12.520986,15.83932
1,N,32.0,28.0,28.0,88.0,147434.0,468.0,356030.0,63.0,4.143135,11.901136,12.78277
2,N,28.0,16.0,15.0,59.0,1255698.0,295.0,906079.0,50.0,3.912023,14.043202,13.716882
3,N,16.0,25.0,17.0,58.0,18520.0,655.0,367802.0,41.0,3.713572,9.826607,12.8153
4,N,14.0,17.0,26.0,57.0,82133.0,497.0,2364632.0,65.0,4.174387,11.316095,14.676133
5,N,13.0,14.0,11.0,38.0,58683.0,359.0,1533619.0,37.0,3.610918,10.979905,14.243141
6,N,14.0,8.0,13.0,35.0,57369.0,413.0,1140484.0,35.0,3.555348,10.957259,13.946963
7,N,11.0,11.0,7.0,29.0,11116.0,245.0,18600.0,25.0,3.218876,9.316141,9.830917
8,N,11.0,10.0,7.0,28.0,58649.0,355.0,1152136.0,15.0,2.70805,10.979326,13.957128
9,N,8.0,9.0,11.0,28.0,23348.0,292.0,483130.0,27.0,3.295837,10.058267,13.088041
10,N,11.0,6.0,9.0,26.0,22474.0,169.0,36191.0,20.0,2.995732,10.020114,10.496566
11,N,12.0,9.0,4.0,25.0,15678.0,254.0,402565.0,19.0,2.944439,9.660014,12.905612
12,N,3.0,10.0,10.0,23.0,50861.0,248.0,60904.0,23.0,3.135494,10.836852,11.017054
13,N,5.0,8.0,5.0,18.0,126281.0,286.0,5149185.0,14.0,2.639057,11.746265,15.454349
14,N,8.0,6.0,3.0,17.0,10116.0,204.0,44274.0,21.0,3.044522,9.221874,10.698153
15,N,3.0,3.0,11.0,17.0,10315.0,156.0,22452.0,15.0,2.70805,9.241354,10.019135
16,N,6.0,5.0,3.0,14.0,38718.0,205.0,124682.0,17.0,2.833213,10.56406,11.733522
17,N,3.0,3.0,8.0,14.0,30563.0,332.0,569899.0,22.0,3.091042,10.327545,13.253214
18,P,5.0,6.0,2.0,13.0,8336.0,98.0,9924.0,15.0,2.70805,9.028339,9.202711
19,N,4.0,6.0,3.0,13.0,10600.0,166.0,120021.0,8.0,2.079442,9.268609,11.695422
20,N,4.0,5.0,3.0,12.0,8875.0,164.0,227315.0,8.0,2.079442,9.090994,12.334092
21,N,0.0,6.0,6.0,12.0,165851.0,206.0,709591.0,15.0,2.70805,12.018845,13.472444
22,N,3.0,3.0,5.0,11.0,39628.0,354.0,563249.0,17.0,2.833213,10.587291,13.241477
23,N,4.0,3.0,3.0,10.0,4419.0,110.0,151198.0,7.0,1.94591,8.393669,11.926346
24,N,1.0,6.0,2.0,9.0,7299.0,115.0,313729.0,7.0,1.94591,8.895493,12.656285
25,P,4.0,1.0,3.0,8.0,59649.0,31.0,6042.0,3.0,1.098612,10.996233,8.70649
26,N,2.0,3.0,3.0,8.0,10282.0,140.0,120800.0,11.0,2.397895,9.23815,11.701892
27,N,3.0,4.0,0.0,7.0,16319.0,135.0,22213.0,11.0,2.397895,9.700085,10.008433
28,P,2.0,3.0,2.0,7.0,29008.0,58.0,8661.0,8.0,2.079442,10.275327,9.066585
29,P,0.0,4.0,3.0,7.0,2538.0,53.0,8800.0,6.0,1.791759,7.839132,9.082507
30,N,2.0,3.0,1.0,6.0,5270.0,110.0,168917.0,6.0,1.791759,8.569786,12.037163
31,P,1.0,3.0,2.0,6.0,206338.0,48.0,213384.0,4.0,1.386294,12.237271,12.270849
32,P,1.0,2.0,3.0,6.0,95831.0,81.0,314718.0,1.0,0.0,11.470342,12.659432
33,P,0.0,0.0,6.0,6.0,5059.0,36.0,4590.0,2.0,0.693147,8.528924,8.431635
34,P,3.0,0.0,2.0,5.0,64479.0,59.0,177530.0,6.0,1.791759,11.074095,12.086895
35,P,2.0,0.0,3.0,5.0,3694.0,68.0,8455.0,1.0,0.0,8.214465,9.042513
36,N,1.0,3.0,1.0,5.0,5377.0,115.0,18206.0,3.0,1.098612,8.589886,9.809506
37,P,1.0,1.0,3.0,5.0,30081.0,49.0,43726.0,3.0,1.098612,10.311649,10.685698
38,P,0.0,2.0,3.0,5.0,10141.0,70.0,268633.0,6.0,1.791759,9.224342,12.501101
39,N,0.0,2.0,3.0,5.0,39357.0,134.0,132455.0,5.0,1.609438,10.580429,11.793998
