,binaryClass_cat,col_1_num,col_2_num
0,N,50.0,5.0
1,N,40.0,5.0
2,N,30.0,5.0
3,N,20.0,5.0
4,N,10.0,5.0
5,N,0.0,5.0
6,N,-10.0,5.0
7,N,-20.0,5.0
8,N,-30.0,5.0
9,N,-40.0,5.0
10,P,-50.0,5.0
11,P,-60.0,5.0
12,N,50.0,10.0
13,N,40.0,10.0
14,N,30.0,10.0
15,N,20.0,10.0
16,N,10.0,10.0
17,N,0.0,10.0
18,N,-10.0,10.0
19,N,-20.0,10.0
20,P,-30.0,10.0
21,P,-40.0,10.0
22,P,-50.0,10.0
23,P,-60.0,10.0
24,N,50.0,15.0
25,N,40.0,15.0
26,N,30.0,15.0
27,N,20.0,15.0
28,N,10.0,15.0
29,N,0.0,15.0
30,N,-10.0,15.0
31,P,-20.0,15.0
32,P,-30.0,15.0
33,P,-40.0,15.0
34,P,-50.0,15.0
35,P,-60.0,15.0
36,N,50.0,20.0
37,N,40.0,20.0
38,N,30.0,20.0
39,N,20.0,20.0
40,N,10.0,20.0
41,N,0.0,20.0
42,P,-10.0,20.0
43,P,-20.0,20.0
44,P,-30.0,20.0
45,P,-40.0,20.0
46,P,-50.0,20.0
47,P,-60.0,20.0
48,N,50.0,25.0
49,N,40.0,25.0
50,N,30.0,25.0
51,N,20.0,25.0
52,N,10.0,25.0
53,N,0.0,25.0
54,P,-10.0,25.0
55,P,-20.0,25.0
56,P,-30.0,25.0
57,P,-40.0,25.0
58,P,-50.0,25.0
59,P,-60.0,25.0
60,N,50.0,30.0
61,N,40.0,30.0
62,N,30.0,30.0
63,N,20.0,30.0
64,N,10.0,30.0
65,N,0.0,30.0
66,P,-10.0,30.0
67,P,-20.0,30.0
68,P,-30.0,30.0
69,P,-40.0,30.0
70,P,-50.0,30.0
71,P,-60.0,30.0
72,N,50.0,35.0
73,N,40.0,35.0
74,N,30.0,35.0
75,N,20.0,35.0
76,N,10.0,35.0
77,P,0.0,35.0
78,P,-10.0,35.0
79,P,-20.0,35.0
80,P,-30.0,35.0
81,P,-40.0,35.0
82,P,-50.0,35.0
83,P,-60.0,35.0
84,N,50.0,40.0
85,N,40.0,40.0
86,N,30.0,40.0
87,N,20.0,40.0
88,N,10.0,40.0
89,P,0.0,40.0
90,P,-10.0,40.0
91,P,-20.0,40.0
92,P,-30.0,40.0
93,P,-40.0,40.0
94,P,-50.0,40.0
95,P,-60.0,40.0
96,N,50.0,45.0
97,N,40.0,45.0
98,N,30.0,45.0
99,N,20.0,45.0
100,N,10.0,45.0
101,P,0.0,45.0
102,P,-10.0,45.0
103,P,-20.0,45.0
104,P,-30.0,45.0
105,P,-40.0,45.0
106,P,-50.0,45.0
107,P,-60.0,45.0
108,N,50.0,50.0
109,N,40.0,50.0
110,N,30.0,50.0
111,N,20.0,50.0
112,N,10.0,50.0
113,P,0.0,50.0
114,P,-10.0,50.0
115,P,-20.0,50.0
116,P,-30.0,50.0
117,P,-40.0,50.0
118,P,-50.0,50.0
119,P,-60.0,50.0
