,binaryClass_cat,Season_cat,Month_cat,Unemployment_rate_num
0,N,Winter,January,8.0
1,N,Winter,February,8.2
2,N,Spring,March,8.0
3,P,Spring,April,8.75
4,N,Spring,May,7.25
5,N,Summer,June,7.25
6,P,Summer,July,7.75
7,P,Summer,August,7.5
8,P,Autumn,September,7.25
9,N,Autumn,October,7.25
10,N,Autumn,November,8.0
11,N,Winter,December,8.5
12,P,Winter,January,10.25
13,P,Winter,February,11.25
14,P,Spring,March,11.0
15,P,Spring,April,12.5
16,P,Spring,May,14.0
17,P,Summer,June,14.0
18,P,Summer,July,14.25
19,P,Summer,August,12.75
20,P,Autumn,September,12.0
21,P,Autumn,October,12.25
22,P,Autumn,November,12.5
23,N,Winter,December,12.25
24,N,Winter,January,14.0
25,P,Winter,February,14.25
26,P,Spring,March,13.25
27,P,Spring,April,12.25
28,P,Spring,May,11.5
29,N,Summer,June,11.0
30,P,Summer,July,12.0
31,P,Summer,August,11.0
32,P,Autumn,September,10.75
33,P,Autumn,October,11.75
34,P,Autumn,November,12.0
35,N,Winter,December,14.5
36,N,Winter,January,16.0
37,N,Winter,February,16.25
38,P,Spring,March,17.0
39,P,Spring,April,15.5
40,P,Spring,May,14.25
41,P,Summer,June,14.25
42,P,Summer,July,14.75
43,P,Summer,August,14.5
44,P,Autumn,September,14.5
45,P,Autumn,October,15.0
46,N,Autumn,November,16.5
47,P,Winter,December,17.25
48,P,Winter,January,17.0
49,P,Winter,February,16.5
50,P,Spring,March,17.0
51,P,Spring,April,15.5
52,P,Spring,May,14.75
53,P,Summer,June,14.5
54,P,Summer,July,13.25
55,P,Summer,August,13.5
56,P,Autumn,September,12.5
57,N,Autumn,October,12.75
58,P,Autumn,November,11.75
59,N,Winter,December,12.0
60,P,Winter,January,13.0
61,P,Winter,February,12.75
62,P,Spring,March,12.5
63,P,Spring,April,11.25
64,P,Spring,May,11.25
65,N,Summer,June,11.25
66,P,Summer,July,11.25
67,N,Summer,August,10.5
68,P,Autumn,September,10.0
69,N,Autumn,October,10.25
70,N,Autumn,November,11.0
71,N,Winter,December,10.75
72,N,Winter,January,12.5
73,N,Winter,February,10.5
74,P,Spring,March,10.75
75,P,Spring,April,10.5
76,N,Spring,May,10.0
77,P,Summer,June,10.5
78,N,Summer,July,11.0
79,P,Summer,August,10.0
80,P,Autumn,September,10.0
81,N,Autumn,October,9.75
82,N,Autumn,November,9.0
83,N,Winter,December,7.75
84,N,Winter,January,9.5
85,N,Winter,February,9.5
86,N,Spring,March,10.0
87,N,Spring,April,9.25
88,N,Spring,May,9.5
89,P,Summer,June,9.5
90,P,Summer,July,9.25
91,N,Summer,August,8.0
92,N,Autumn,September,8.5
93,N,Autumn,October,8.25
94,N,Autumn,November,8.25
95,N,Winter,December,7.75
96,N,Winter,January,8.0
97,P,Winter,February,9.0
98,N,Spring,March,8.5
99,P,Spring,April,8.75
100,N,Spring,May,8.25
101,N,Summer,June,9.0
102,P,Summer,July,8.75
103,N,Summer,August,8.5
104,N,Autumn,September,7.5
105,N,Autumn,October,7.0
106,N,Autumn,November,7.5
107,N,Winter,December,8.5
