,binaryClass_cat,col_1_num,col_2_num
0,N,1.0,4.4
1,N,1.0,3.9
2,P,1.0,4.0
3,N,1.0,4.0
4,N,1.0,3.5
5,N,1.0,4.1
6,P,1.0,2.3
7,N,1.0,4.7
8,P,1.0,1.7
9,N,1.0,4.9
10,P,1.0,1.7
11,N,1.0,4.6
12,N,1.0,3.4
13,N,2.0,4.3
14,P,2.0,1.7
15,N,2.0,3.9
16,P,2.0,3.7
17,P,2.0,3.1
18,N,2.0,4.0
19,P,2.0,1.8
20,N,2.0,4.1
21,P,2.0,1.8
22,N,2.0,3.2
23,P,2.0,1.9
24,N,2.0,4.6
25,P,2.0,2.0
26,N,3.0,4.5
27,N,3.0,3.9
28,N,3.0,4.3
29,P,3.0,2.3
30,N,3.0,3.8
31,P,3.0,1.9
32,N,3.0,4.6
33,P,3.0,1.8
34,N,3.0,4.7
35,P,3.0,1.8
36,N,3.0,4.6
37,P,3.0,1.9
38,N,3.0,3.5
39,N,4.0,4.0
40,N,4.0,3.7
41,P,4.0,3.7
42,P,4.0,4.3
43,N,4.0,3.6
44,N,4.0,3.8
45,N,4.0,3.8
46,N,4.0,3.8
47,P,4.0,2.5
48,N,4.0,4.5
49,P,4.0,4.1
50,N,4.0,3.7
51,P,4.0,3.8
52,N,4.0,3.4
53,P,5.0,4.0
54,P,5.0,2.3
55,N,5.0,4.4
56,N,5.0,4.1
57,N,5.0,4.3
58,N,5.0,3.3
59,P,5.0,2.0
60,N,5.0,4.3
61,P,5.0,2.9
62,N,5.0,4.6
63,P,5.0,1.9
64,P,5.0,3.6
65,N,5.0,3.7
66,N,5.0,3.7
67,P,6.0,1.8
68,N,6.0,4.6
69,N,6.0,3.5
70,P,6.0,4.0
71,N,6.0,3.7
72,P,6.0,1.7
73,N,6.0,4.6
74,P,6.0,1.7
75,N,6.0,4.0
76,P,6.0,1.8
77,N,6.0,4.4
78,P,6.0,1.9
79,N,6.0,4.6
80,N,6.0,2.9
81,N,7.0,3.5
82,P,7.0,2.0
83,N,7.0,4.3
84,P,7.0,1.8
85,N,7.0,4.1
86,P,7.0,1.8
87,N,7.0,4.7
88,N,7.0,4.2
89,N,7.0,3.9
90,N,7.0,4.3
91,P,7.0,1.8
92,N,7.0,4.5
93,P,7.0,2.0
94,N,8.0,4.2
95,N,8.0,4.4
96,P,8.0,4.1
97,N,8.0,4.1
98,N,8.0,4.0
99,N,8.0,4.1
100,P,8.0,2.7
101,N,8.0,4.6
102,P,8.0,1.9
103,N,8.0,4.5
104,P,8.0,2.0
105,N,8.0,4.8
106,N,8.0,4.1
107,N,16.0,4.1
108,N,16.0,4.2
109,N,16.0,4.5
110,P,16.0,1.9
111,N,16.0,4.7
112,P,16.0,2.0
113,N,16.0,4.7
114,P,16.0,2.5
115,N,16.0,4.3
116,N,16.0,4.4
117,N,16.0,4.4
118,P,16.0,4.3
119,N,16.0,4.6
120,P,16.0,2.1
121,N,17.0,4.8
122,P,17.0,4.1
123,P,17.0,4.0
124,N,17.0,4.0
125,N,17.0,4.4
126,N,17.0,4.1
127,N,17.0,4.3
128,P,17.0,4.0
129,N,17.0,3.9
130,P,17.0,3.2
131,N,17.0,4.5
132,P,17.0,2.2
133,N,17.0,4.7
134,N,17.0,4.6
135,P,18.0,2.2
136,N,18.0,4.8
137,N,18.0,4.3
138,N,18.0,3.8
139,N,18.0,4.0
140,N,18.0,4.1
141,P,18.0,1.8
142,N,18.0,4.4
143,N,18.0,4.0
144,P,18.0,2.2
145,N,18.0,5.1
146,P,18.0,1.9
147,N,18.0,5.0
148,N,18.0,4.4
149,N,19.0,4.5
150,N,19.0,3.8
151,N,19.0,4.3
152,N,19.0,4.4
153,P,19.0,2.2
154,N,19.0,4.8
155,P,19.0,1.9
156,N,19.0,4.7
157,P,19.0,1.8
158,N,19.0,4.8
159,P,19.0,2.0
160,N,19.0,4.4
161,P,19.0,2.5
162,N,19.0,4.3
163,N,20.0,4.4
164,P,20.0,1.9
165,N,20.0,4.7
166,N,20.0,4.3
167,P,20.0,2.2
168,N,20.0,4.7
169,P,20.0,2.3
170,N,20.0,4.6
171,P,20.0,3.3
172,N,20.0,4.2
173,P,20.0,2.9
174,N,20.0,4.6
175,P,20.0,3.3
176,N,20.0,4.2
177,P,20.0,2.6
178,P,20.0,4.6
179,N,21.0,3.7
180,P,21.0,1.8
181,N,21.0,4.7
182,N,21.0,4.5
183,P,21.0,4.5
184,N,21.0,4.8
185,P,21.0,2.0
186,N,21.0,4.8
187,P,21.0,1.9
188,N,21.0,4.7
189,P,21.0,2.0
190,N,21.0,5.1
191,N,21.0,4.3
192,N,21.0,4.8
193,N,22.0,3.0
194,P,22.0,2.1
195,N,22.0,4.6
196,N,22.0,4.0
197,P,22.0,2.2
198,N,22.0,5.1
199,P,22.0,2.9
200,N,22.0,4.3
201,P,22.0,2.1
202,N,22.0,4.7
203,P,22.0,4.5
204,P,22.0,1.7
205,N,22.0,4.2
206,N,22.0,4.3
207,P,23.0,1.7
208,N,23.0,4.4
209,N,23.0,4.2
210,P,23.0,2.2
211,N,23.0,4.7
212,P,23.0,4.0
213,P,23.0,1.8
214,N,23.0,4.7
215,P,23.0,1.8
216,N,23.0,4.5
217,P,23.0,2.1
218,N,23.0,4.2
219,P,23.0,2.1
220,N,23.0,5.2
221,P,23.0,2.0
