,year_zone_cat,year_cat,strip_num,pdk_num,damage_rankRJT_cat,damage_rankALL_cat,dry_or_irr_cat,zone_cat,GG_new_cat
0,6f,86,3.0,1.0,1,0,D,F,low
1,6f,86,3.0,2.0,0,0,D,F,high
2,6f,86,3.0,3.0,1,1,D,F,high
3,6f,86,3.0,4.0,1,0,D,F,high
4,6f,86,3.0,5.0,0,0,D,F,low
5,6f,86,4.0,1.0,0,1,D,F,low
6,6f,86,4.0,2.0,2,2,D,F,high
7,6f,86,4.0,3.0,1,0,D,F,low
8,6m,86,6.0,1.0,2,0,D,M,average
9,6m,86,6.0,2.0,3,3,D,M,average
10,6m,86,6.0,3.0,1,1,D,M,low
11,6c,86,10.0,1.0,1,1,D,C,high
12,6c,86,10.0,2.0,3,4,O,C,high
13,6c,86,10.0,3.0,3,3,D,C,high
14,6c,86,10.0,4.0,3,2,D,C,veryhigh
15,6c,86,10.0,5.0,3,3,D,C,high
16,7f,87,1.0,2.0,2,1,D,F,veryhigh
17,7f,87,1.0,3.0,3,3,D,F,veryhigh
18,7f,87,2.0,1.0,2,1,D,F,high
19,7f,87,3.0,1.0,0,1,D,F,low
20,7f,87,3.0,2.0,1,0,D,F,low
21,7f,87,3.0,3.0,0,0,D,F,low
22,7f,87,3.0,4.0,2,1,D,F,low
23,7f,87,3.0,5.0,0,1,D,F,low
24,7m,87,5.0,1.0,2,3,B,M,low
25,7m,87,5.0,2.0,1,2,D,M,average
26,7m,87,5.0,3.0,0,0,D,M,low
27,7m,87,5.0,4.0,1,1,D,M,low
28,7m,87,6.0,2.0,2,1,D,M,low
29,7m,87,6.0,4.0,3,1,D,M,high
30,7c,87,10.0,1.0,3,2,D,C,veryhigh
31,7c,87,10.0,2.0,3,2,D,C,high
32,7c,87,10.0,3.0,2,2,D,C,high
33,7c,87,10.0,4.0,1,1,O,C,high
34,7c,87,10.0,5.0,2,3,D,C,high
35,8f,88,1.0,0.0,5,3,D,F,veryhigh
36,8f,88,1.0,1.0,0,0,D,F,low
37,8f,88,1.0,2.0,3,1,D,F,veryhigh
38,8f,88,1.0,4.0,2,1,D,F,veryhigh
39,8f,88,3.0,1.0,1,1,D,F,low
40,8f,88,3.0,2.0,2,2,D,F,high
41,8f,88,3.0,3.0,1,0,D,F,low
42,8m,88,6.0,3.0,1,1,D,M,low
43,8m,88,6.0,4.0,0,0,D,M,low
44,8m,88,7.0,1.0,0,1,B,M,low
45,8m,88,7.0,2.0,0,0,B,M,high
46,8m,88,7.0,3.0,1,2,B,M,low
47,8c,88,9.0,1.0,2,2,D,C,average
48,8c,88,9.0,2.0,1,1,D,C,average
