,binaryClass_cat,Age_num,Civil_num,Can/US_num
0,P,23.532389,29.42811,4.36037
1,N,59.626422,23.836741,5.859656
2,P,45.682512,8.227006,9.292625
3,N,37.698205,14.36713,8.06957
4,P,33.994757,17.807684,14.42789
5,N,26.882009,13.043289,18.688364
6,N,53.842859,9.138462,4.747932
7,P,42.442568,19.264733,12.29712
8,P,31.906834,11.764081,16.135605
9,N,81.215532,12.416312,5.839766
10,N,53.77399,20.887984,6.168898
11,N,35.940005,1.732548,6.727001
12,N,42.707532,12.874006,8.846593
13,N,9.079582,20.946008,10.552738
14,P,50.955519,28.922443,7.621261
15,N,45.267637,18.176793,6.731224
16,N,48.605993,30.570037,4.385733
17,P,52.233819,25.814605,3.246501
18,P,62.206974,12.674118,12.13834
19,N,49.982072,11.363703,6.869758
20,N,75.590107,26.513122,6.500797
21,N,52.493193,19.091138,13.184026
22,N,28.374695,26.790837,15.545151
23,P,55.516388,20.922633,8.613632
24,N,65.154747,22.582827,10.578372
25,N,26.304376,14.686453,9.107645
26,N,70.715498,18.334349,3.948309
27,N,42.24049,18.140507,12.498873
28,N,53.560822,21.242344,8.697504
29,N,43.248115,16.268829,8.117798
30,P,56.432621,20.599094,18.529186
31,N,41.141973,27.840025,11.816953
32,N,38.927568,28.103649,0.498865
33,N,43.060564,15.859981,13.330741
34,P,40.779694,25.559825,8.430193
35,P,63.172696,18.308998,10.690004
36,N,54.720039,24.107274,7.333687
37,N,58.172396,21.49765,5.377434
38,N,27.38778,16.61804,6.336821
39,N,51.778954,17.730399,10.531135
40,P,31.93691,14.526499,9.110852
41,P,32.694012,29.266048,10.100635
42,P,37.785012,16.313605,14.054034
43,N,42.512147,16.776678,4.495178
44,N,44.175977,18.845724,8.451563
45,N,43.08511,19.112413,4.070279
46,N,38.052534,26.016072,10.042079
47,N,18.76836,30.890604,7.838419
48,P,42.69398,24.254582,12.203349
49,P,63.39901,15.951617,4.959822
50,P,47.73758,21.84078,6.276407
51,P,63.3375,16.68712,15.181407
52,N,64.62566,8.653961,12.348222
53,N,61.12597,10.937095,9.867441
54,P,28.93022,19.352744,5.639552
55,N,35.02604,8.81834,1.973732
56,P,33.26865,-0.617459,6.457413
57,P,27.89846,16.328401,11.110817
58,N,35.13197,21.067151,9.051805
59,N,37.88261,19.20572,9.221414
60,N,20.58881,26.395693,9.164312
61,P,33.59109,4.624334,8.078751
62,N,64.67773,29.22852,4.910587
63,P,31.57348,19.716716,10.629851
64,P,31.64919,22.161503,11.010811
65,P,58.56576,18.950223,10.5104
66,P,30.88615,10.997022,13.125554
67,P,23.61735,17.629785,5.032891
68,N,69.56984,23.347131,8.557324
69,N,37.14245,21.813314,7.858374
70,N,26.91929,9.045653,10.847806
71,P,60.064,16.530839,12.174473
72,P,52.95456,14.412254,2.110831
73,N,50.55268,24.316393,8.698874
74,P,34.29229,21.790887,5.57018
75,P,46.32972,6.521044,15.773852
76,N,49.42401,14.540583,15.942546
77,N,40.99183,16.255379,5.264684
78,N,21.46442,30.52722,6.778565
79,P,41.86589,23.320483,19.046629
80,N,54.04422,12.732965,11.522474
81,N,40.24288,17.482205,8.179686
82,N,29.35824,14.960191,9.601594
83,N,31.23262,13.471607,14.177519
84,N,43.81709,34.40176,17.66385
85,N,16.87616,10.859426,9.411403
86,N,45.45257,14.39691,11.654254
87,N,48.30879,22.953578,16.753305
88,N,51.13177,25.439056,4.76722
89,N,55.8244,-1.141984,13.903507
90,P,35.56688,16.790185,9.610113
91,N,51.51527,12.588804,9.945439
92,N,46.98138,28.537849,7.012328
93,N,40.00931,17.742257,12.69119
94,N,61.78803,11.985086,4.550837
95,N,31.44156,24.968817,6.708154
96,N,57.06691,23.428117,7.569742
97,N,27.53936,16.429567,5.155034
98,N,30.68619,6.95877,5.8928
99,N,34.34053,29.151823,8.313547
100,P,36.04658,11.519307,17.107253
101,N,49.23566,24.612394,10.843007
102,N,34.55327,29.135165,12.946714
103,N,43.13551,12.718241,4.463657
104,N,38.69533,21.094509,4.558278
105,N,34.51182,23.029645,11.723037
106,N,47.8474,18.684854,9.146771
107,N,53.2133,25.065426,4.827062
108,P,32.41175,25.688791,16.835325
109,P,42.3425,26.373699,0.325633
110,P,50.84267,28.967274,8.210139
111,N,41.48177,27.452789,21.802222
112,N,35.01518,24.874934,13.012844
113,N,62.06408,31.802794,14.297915
114,N,64.42893,20.471853,13.221583
115,N,31.40722,19.686756,12.272225
116,P,38.68294,21.962463,1.365808
117,P,29.54265,27.161494,12.711666
118,P,41.94063,10.823145,8.574421
119,N,39.16807,18.013965,13.4472
120,N,43.41535,15.918564,15.366874
121,N,48.43342,11.503495,8.447168
122,N,28.98547,7.223125,10.821375
123,N,52.82749,26.336608,21.173159
124,P,33.38632,22.445815,4.761355
125,N,64.00543,18.701067,13.060758
126,P,40.78202,15.493253,6.20704
127,N,32.18787,14.137501,10.673733
128,P,47.91388,19.007404,13.231618
129,N,32.73593,10.350172,9.274058
130,P,48.46117,32.439071,15.584425
131,P,43.92322,18.282073,10.984225
132,N,44.69215,22.096866,13.240122
133,P,45.70274,16.622924,3.972251
134,N,57.58898,5.407808,16.03557
135,P,68.50798,16.822559,16.532507
136,P,31.10504,22.962631,11.654086
137,N,63.00667,21.997565,12.091514
138,P,55.47159,14.511913,13.349943
139,N,57.76958,18.390095,15.106271
140,N,38.99409,8.693074,9.679333
141,P,40.911939,35.447742,6.734288
142,N,34.29467,22.006575,3.351018
143,N,37.156378,17.677708,7.620967
144,N,35.163763,20.348014,8.361747
145,N,38.65862,21.274448,3.878784
146,N,51.059922,20.856839,6.417753
147,N,43.963919,23.860097,3.413389
148,N,32.629388,19.194947,2.997044
149,N,38.567724,7.945856,13.435713
150,N,40.228616,24.441571,11.325811
151,P,62.368871,17.285218,13.404031
152,N,31.401246,20.177787,8.005927
153,P,29.574507,19.406086,7.444266
154,P,35.955069,18.104917,6.209061
155,N,26.783852,16.398572,8.552474
156,N,32.388095,18.777107,4.771126
157,P,41.967789,15.993304,18.118434
158,N,34.529375,27.449545,3.72243
159,P,32.909274,19.184503,11.442367
160,P,44.999605,13.984202,13.903784
161,N,36.708872,12.693636,6.631475
162,N,38.225624,25.264782,8.601658
163,N,3.958579,6.386352,7.524628
164,N,42.455563,5.904942,11.577219
165,N,63.929618,16.807057,6.688885
166,P,56.799339,17.893995,15.662966
