,oz6_num,oz1_num,oz2_num,oz3_num,oz4_num,oz5_num
0,0.25929556,-0.23801376,-0.16417172,0.29102551,-1.5222917,1.046498
1,0.96824062,-0.80397934,-0.66051127,-0.32717115,0.93944837,0.01702576
2,0.84736699,0.056137737,-0.63378943,1.4011759,-1.0734886,-0.16084544
3,0.72293533,-1.5415137,-0.82970016,-1.697392,0.81511407,-1.7694132
4,-0.51375804,0.34003824,0.82968615,-1.1379194,1.2899175,1.5096647
5,-1.1720875,0.66295123,1.7436744,-1.3399427,-1.1461576,0.10333707
6,-1.1190381,1.1158751,0.61396641,1.505853,0.49825417,-1.7647792
7,-0.82466985,0.30351211,0.53254445,-0.63462635,-1.0069988,1.5938767
8,-0.52549697,0.7240133,1.5415288,-1.463936,1.6033804,-1.3427657
9,1.521882,-0.49497409,0.50732361,-1.6853311,1.1142159,0.29399814
10,-0.0038123211,0.35000515,0.16317157,0.6514559,0.56755937,-1.3161701
11,0.69930566,-0.096742733,0.020810755,-0.51803119,-0.093922758,1.2561975
12,-1.4180594,0.43758548,1.2733822,-0.94270607,0.51241793,0.77650678
13,-1.2049419,0.9515025,1.2991512,-0.6194401,-0.60169499,0.54652082
14,0.30994564,-0.95992628,-0.94474413,-0.40180932,1.0591517,-1.6777253
15,-1.2160807,1.0128736,1.3216841,-0.080386253,-0.41114524,0.57400459
16,-0.53088017,0.25691611,0.74189945,-0.50080744,1.1936269,0.90703772
17,-1.0893849,0.79634682,0.66415091,0.87322073,1.6333598,-1.4459156
18,-1.587492,0.93557994,1.0593416,0.39996227,-0.18958804,0.1308602
19,0.082028016,1.9434263,1.704649,0.38507576,-1.2862835,-0.85087089
20,-0.97816764,0.53239783,0.18983059,0.41798354,-1.4094326,0.033956951
21,-0.63777478,-1.3985329,-1.5736374,-0.14052122,-0.70355962,1.1781686
22,-0.15073721,-0.62229418,-1.3388017,1.3423151,-0.4538208,-1.8500346
23,-0.65327475,1.2272465,0.84772217,1.3835995,0.68502562,0.69674358
24,-0.27926551,-1.4635221,-1.5801956,0.2662607,0.78461661,-0.011752299
25,0.61184474,-0.73571489,-0.18030885,-1.3019474,-1.0957161,-0.48278412
26,0.64159265,-0.58269274,-1.3204831,1.1333624,0.96139952,0.49870668
27,-0.82944524,1.0180934,0.054173729,1.5593808,-1.3159459,-1.2143437
28,0.0053205487,-1.7338087,-1.0604905,-1.0184899,0.6343103,-0.70159826
29,1.1756589,0.38809132,-0.21015184,1.2347848,-0.38776044,1.5898529
30,-0.14263937,1.37902,1.0823482,1.0782101,0.80536072,1.5830116
31,-0.037611805,-1.4789521,-1.5482493,0.12803893,0.76516283,0.64802866
32,1.5003918,-0.34626858,-0.54498177,0.82467576,0.87309038,0.95765087
33,2.2229146,0.22033327,-0.58463691,1.6040751,1.1064663,0.49061507
34,0.043389223,-0.91979576,-0.41495305,-0.79987989,-1.5234526,-0.83291842
35,1.403908,-0.035083159,-0.43222814,1.2238176,0.66695943,-0.77215353
36,0.5384289,1.8442573,1.0825696,1.5177089,0.17811066,-0.62825486
37,-0.29652763,-0.88223529,-0.6678744,-0.36647667,-1.3009307,-1.033583
38,-1.8791186,0.45189793,0.90991318,-1.1475601,-1.5391474,0.324435
