,Area.adj.island(km^2)_num,Observed.species_num,Native.species_num,Area(km^2)_num,Elevation(m)_num,Distance.nearest.island(km)_num,Distance.Santa.Cruz(km)_num
0,1.84,58,23.0,25.09,,0.6,0.6
1,572.33,31,21.0,1.24,109.0,0.6,26.3
2,0.78,3,3.0,0.21,114.0,2.8,58.7
3,0.18,25,9.0,0.1,46.0,1.9,47.4
4,903.82,2,1.0,0.05,,1.9,1.9
5,1.84,18,11.0,0.34,119.0,8.0,8.0
6,0.34,24,,0.08,93.0,6.0,12.0
7,2.85,10,7.0,2.33,168.0,34.1,290.2
8,17.95,8,4.0,0.03,,0.4,0.4
9,0.1,2,2.0,0.18,112.0,2.6,50.2
10,0.57,97,26.0,58.27,198.0,1.1,88.3
11,4669.32,93,35.0,634.49,1494.0,4.3,95.3
12,58.27,58,17.0,0.57,49.0,1.1,93.1
13,0.21,5,4.0,0.78,227.0,4.6,62.2
14,129.49,40,19.0,17.35,76.0,47.4,92.2
15,634.49,347,89.0,4669.32,1707.0,0.7,28.1
16,59.56,51,23.0,129.49,343.0,29.1,85.9
17,0.1,2,2.0,0.01,25.0,3.3,45.9
18,129.49,104,37.0,59.56,777.0,29.1,119.6
19,0.03,108,33.0,17.95,458.0,10.7,10.7
20,25.09,12,9.0,0.23,,0.5,0.6
21,572.33,70,30.0,4.89,367.0,4.4,24.4
22,0.57,280,65.0,551.62,716.0,45.2,66.6
23,4.89,237,81.0,572.33,906.0,0.2,19.8
24,0.52,444,95.0,903.82,864.0,0.6,0.0
25,0.52,62,28.0,24.08,259.0,16.5,16.5
26,0.1,285,73.0,170.92,640.0,2.6,49.2
27,25.09,44,16.0,1.84,,0.6,9.6
28,17.95,16,8.0,1.24,186.0,6.8,50.9
29,2.33,21,12.0,2.85,253.0,34.1,254.7
