,col_3_num,col_2_num
0,15600,1
1,14650,1
2,15001,1
3,15628,1
4,14222,1
5,14222,1
6,15065,1
7,14916,1
8,14477,1
9,14308,1
10,14239,1
11,14202,1
12,12978,1
13,14511,1
14,13726,1
15,13555,1
16,13544,1
17,13723,1
18,13293,1
19,14333,1
20,13050,1
21,13207,1
22,13501,1
23,12548,1
24,13224,1
25,16423,2
26,15156,2
27,15973,2
28,14576,2
29,15361,2
30,14288,2
31,14711,2
32,14259,2
33,14290,2
34,13833,2
35,14033,2
36,12963,2
37,14255,2
38,12614,2
39,13175,2
40,12595,2
41,12219,2
42,22331,3
43,17063,3
44,15851,3
45,16113,3
46,15448,3
47,15421,3
48,15434,3
49,13597,3
50,15278,3
51,14724,3
52,15275,3
53,14450,3
54,14803,3
55,14033,3
56,14587,3
57,14201,3
58,13977,3
59,14570,3
60,14231,3
61,12890,3
62,14516,3
63,14039,3
64,14136,3
65,13505,3
66,12714,3
67,14371,3
68,13762,3
69,13669,3
70,13602,3
71,13721,3
72,13297,3
73,12948,3
74,22934,4
75,17819,4
76,18266,4
77,17188,4
78,16960,4
79,16040,4
80,16719,4
81,16457,4
82,15617,4
83,15705,4
84,15680,4
85,15756,4
86,15593,4
87,14099,4
88,13628,4
89,15556,4
90,14973,4
91,14874,4
92,13659,4
93,13554,4
94,13994,4
95,13685,4
96,13626,4
97,13240,4
98,12784,4
99,24161,5
100,22067,5
101,18125,5
102,20043,5
103,18311,5
104,18666,5
105,18913,5
106,19673,5
107,17666,5
108,17994,5
109,17682,5
110,16841,5
111,16159,5
112,15282,5
113,15795,5
114,14040,5
115,14973,5
116,14650,5
117,13148,5
118,12433,5
119,21995,6
120,21487,6
121,20966,6
122,18911,6
123,21349,6
124,18129,6
125,17847,6
126,18681,6
127,18146,6
128,17929,6
129,17643,6
130,18878,6
131,17367,6
132,17644,6
133,17666,6
134,17591,6
135,18275,6
136,17182,6
137,17311,6
138,16693,6
139,15663,6
140,16842,6
141,16396,6
142,17049,6
143,16502,6
144,15435,6
145,15200,6
146,16040,6
147,16783,6
148,15488,6
149,15591,6
150,14704,6
151,14742,6
152,14870,6
153,14348,6
154,15336,6
155,14455,6
156,13723,7
157,13726,7
158,12767,7
159,12952,7
160,11618,7
161,11700,7
162,12502,7
163,13320,7
164,10473,7
165,11885,7
166,11688,7
167,11419,7
168,11337,7
169,13183,7
170,10499,7
171,10859,7
172,10982,7
173,10176,7
174,12317,7
175,11412,7
176,11077,7
177,10856,7
178,10383,7
179,10232,7
180,9569,7
181,9939,7
182,10252,7
183,9781,7
184,9426,7
