,average_temperature_num,month_cat,average_electricity_usage_num
0,73,8,24.828
1,67,9,24.688
2,57,10,19.31
3,43,11,59.706
4,26,12,99.667
5,41,1,49.333
6,38,2,59.375
7,46,3,55.172
8,54,4,55.517
9,60,5,25.938
10,71,6,20.69
11,75,7,24.333
12,74,8,22.759
13,66,9,24.688
14,61,10,22.759
15,49,11,50.588
16,41,12,79.0
17,35,1,87.188
18,41,2,47.333
19,42,3,38.621
20,56,4,27.931
21,69,5,25.0
22,73,6,17.241
23,77,7,17.0
24,74,8,22.188
25,66,9,18.276
26,56,10,27.241
27,47,11,39.706
28,38,12,81.667
29,34,1,79.688
30,37,2,67.667
31,39,3,65.862
32,51,4,54.839
33,60,5,34.667
34,70,6,23.448
35,73,7,29.586
36,71,8,32.448
37,66,9,30.033
38,54,10,43.586
39,45,11,48.029
40,36,12,52.424
41,34,1,62.333
42,32,2,71.156
43,39,3,44.621
44,55,4,19.357
45,64,5,23.733
46,72,6,10.414
47,79,7,17.875
48,75,8,24.207
49,65,9,24.333
50,54,10,40.935
51,48,11,42.938
52,35,12,65.25
53,24,1,101.3
54,32,2,101.66
