,binaryClass_cat,country_code_num,year_num,strike_volume_num,unemployment_num,inflation_num,parliamentary_representation_num
0,P,1.0,1951.0,296.0,1.3,19.8,43.0
1,P,1.0,1952.0,397.0,2.2,17.2,43.0
2,P,1.0,1953.0,360.0,2.5,4.3,43.0
3,P,1.0,1954.0,300.0,1.7,0.7,47.0
4,P,1.0,1955.0,326.0,1.4,2.0,38.5
5,P,1.0,1956.0,352.0,1.8,6.3,38.5
6,P,1.0,1957.0,195.0,2.3,2.5,38.5
7,P,1.0,1958.0,133.0,2.7,1.3,36.9
8,P,1.0,1959.0,109.0,2.6,1.8,36.9
9,P,1.0,1960.0,208.0,2.5,3.8,36.9
10,P,1.0,1961.0,173.0,2.5,2.5,49.2
11,P,1.0,1962.0,142.0,2.6,-0.3,49.2
12,P,1.0,1963.0,158.0,2.1,0.5,41.0
13,P,1.0,1964.0,243.0,1.6,2.4,41.0
14,P,1.0,1965.0,211.0,1.5,4.0,41.0
15,P,1.0,1966.0,183.0,1.7,3.0,33.1
16,P,1.0,1967.0,168.0,1.9,3.2,33.1
17,P,1.0,1968.0,249.0,1.8,2.7,33.1
18,P,1.0,1969.0,439.0,1.8,2.9,47.2
19,P,1.0,1970.0,515.0,1.6,3.9,47.2
20,P,1.0,1971.0,645.0,1.9,6.1,47.2
21,P,1.0,1972.0,416.0,2.6,5.9,53.6
22,P,1.0,1973.0,527.0,2.3,9.5,53.6
23,P,1.0,1974.0,1252.0,2.6,15.1,52.0
24,P,1.0,1975.0,702.0,4.8,15.1,28.3
25,P,1.0,1976.0,760.0,4.7,13.5,28.3
26,P,1.0,1977.0,328.0,5.6,12.3,30.7
27,P,1.0,1978.0,421.0,6.4,7.9,30.7
28,P,1.0,1979.0,778.0,6.1,9.1,30.7
29,P,1.0,1980.0,633.0,6.0,10.1,40.8
30,P,1.0,1981.0,779.0,5.7,9.7,40.8
31,P,1.0,1982.0,370.0,7.0,11.2,40.8
32,P,1.0,1983.0,313.0,9.8,10.1,60.0
33,P,1.0,1984.0,241.0,8.9,4.0,55.4
34,P,1.0,1985.0,226.0,8.2,6.7,55.4
35,N,2.0,1951.0,43.0,3.5,27.5,43.6
36,N,2.0,1952.0,39.0,4.7,13.6,43.6
37,N,2.0,1953.0,20.0,5.8,-1.6,46.7
38,N,2.0,1954.0,26.0,4.9,4.0,46.7
39,N,2.0,1955.0,28.0,3.6,0.0,46.7
40,N,2.0,1956.0,72.0,3.5,3.9,46.7
41,N,2.0,1957.0,21.0,3.3,2.8,46.7
42,N,2.0,1958.0,22.0,3.6,2.0,46.7
43,N,2.0,1959.0,23.0,3.3,1.1,47.3
44,N,2.0,1960.0,30.0,2.5,2.0,47.3
45,N,2.0,1961.0,49.0,2.0,3.5,47.3
46,N,2.0,1962.0,277.0,1.9,4.4,46.1
47,N,2.0,1963.0,15.0,2.1,2.7,46.1
48,N,2.0,1964.0,15.0,1.9,3.9,46.1
49,N,2.0,1965.0,64.0,1.9,4.9,46.1
50,N,2.0,1966.0,30.0,1.8,2.2,47.9
51,N,2.0,1967.0,7.0,1.8,4.0,47.9
52,N,2.0,1968.0,3.0,2.0,2.8,47.9
53,N,2.0,1969.0,8.0,1.8,3.1,47.9
54,N,2.0,1970.0,11.0,1.5,4.4,49.1
55,N,2.0,1971.0,2.0,1.2,4.7,49.1
