,history_num,session_num,user_cat
0,0,whoami pwd ls dir vi source <1> source <1> exit,USER0
1,1,whereis <1> mkdir <1> vi <1> vi <1> ls source <1>,USER0
2,2,elm log,USER0
3,3,elm man <1> fg finger <1> | more finger <1> fg,USER0
4,4,elm logout,USER0
5,5,elm cd <1> ls vi <1> fg exit,USER0
6,6,elm logout,USER0
7,7,elm exit,USER0
8,8,elm log,USER0
9,9,cd <1> cd <1> ls vi <1> vi <1> exit,USER0
10,10,elm exit,USER0
11,11,lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> exit,USER0
12,12,elm,USER0
13,13,elm exit,USER0
14,14,elm cd <1> ls vi <1> fg vi <1> fg cd elm finger <1> finger <1> | more fg finger <1> finger <1> | more finger <1> | more fg finger <1> | more fg,USER0
15,15,ls more <1> exit,USER0
16,16,elm finger <1> fg finger <1> fg finger <1> fg finger <1> finger <1> finger <1> | more fg finger <1> | more date fg elm ls fg ls emacs <1> ls ls emacs <1> ls cat <1> rm <1> vi <1> vi <1> source <1> fg logout,USER0
17,17,cd <1> ls vi <1> exit,USER0
18,18,ls cd <1> ls mkdir <1> cd <1> ls vi <1> vi <1> exit,USER0
19,19,exit,USER0
20,20,ls uptime exit,USER0
21,21,ruptime exit,USER0
22,22,elm vi <1> more <1> fg finger <1> fg ls cd <1> ls cd <1> ls cd <1> vi <1> ls more <1> ls ls -a cd <1> ls <1> ls -R | grep <1> finger <1> talk <1> fg exit,USER0
23,23,whoami ls uptime netscape,USER0
24,24,who exit,USER0
25,25,elm uptime elm r <1>,USER0
26,26,setenv <2> ls more <1> rm <1> ls cd <1> ls cd <1> ls maker ruptime,USER0
27,27,elm finger <1> ruptime ruptime | more home fg elm,USER0
28,28,elm finger <1> finger <1> fg finger <1> finger <1> finger <1>,USER0
29,29,elm logout,USER0
30,30,ls cd <1> ls more <1> elm exit,USER0
31,31,elm exit,USER0
32,32,elm ls cd <1> ls vi <1> ls wc <1> ls wc <1> mv <2> ls rm <1> exit cd fg exit,USER0
33,33,ls ls <1> cd <1> ls vi <1> ls mv <2> mv <2> ll <1> cd whereis <1> <GENSYM:0>/vi <1> whereis <1> vi <1> exit,USER0
34,34,cd <1> cd <1> ls more <1> ls vi <1> <GENSYM:0>/vi <1> ls rm <1> exit,USER0
35,35,elm ls ll <1> fg elm exit,USER0
36,36,cd <1> ls vi <1> cls man <1> cls ls vi <1> ls,USER0
37,37,write <1> exit,USER0
38,38,setenv <2> cd <1> ls maker ls cd <1> ls cd ls cd <1> ls ghostview ls cd <1> ls cd <1> ls man <1> ls lp -dmsl21 -n15 <1> lpq lpq -dmsl21 lpq -Pmsl21 lpq -dmsl21 <1> cancel cancel -dmsl21 -uclin man <1> man <1> cancel -u <2> ghostview cancel -u <2> lpq -P <1> <GENSYM:0>/vi <1> <GENSYM:0>/vi <1> ls cd <1> cd <1> ls <GENSYM:0>/vi <1> ls ls wc <1> cd <1> cd <1> ls wc <1> back back cd <1> ls ghostview exit,USER0
39,39,elm log,USER0
40,40,cancel -u <2> cancel -u <2> ls cd <1> lp -dmsl21 <1> cancel -u <2> lp -d <2> cancel -u <2> lwifo <1> lwinfo <1> ls lwinfo <1> lwinfo <1> back back cd <1> ls vi <1> ls <GENSYM:0>/vi <1> ls mv <2> ls mv <2> vi <1> <GENSYM:0>/vi <1> source <1> vi <1> more <1> alias <1> source <1> more <1> unalias <1> ls vi <1> ls fbear ls finger <1> finger <1> | more finger <1> | more vi <1> source <1> finger <1> finger <1> ls cp <2> vi <1> cancel -u <2> exit,USER0
41,41,setenv <2> cd <1> ls vi <1> ls vi <1> ls vi <1> ls lwinfo <1> lwinfo <1> lwinfo <1> lwinfo <1> ls cancel -u <2> lp -dmsl22 <1> lp -dmsl22 <1> lpq -Pmsl22 lpq -Pmsl23 cancel -u <2> lpq -Pmsl22 lwinfo <1> lwpages cancel -u <2> vi <1> lp -dmsl23 <1> cancel -u <2> lpq -Pmsl23 lpq -Pmsl22 lpq -Pmsl21 lwpages lp -dmsl21 <1> cancel -u <4> > <1> <GENSYM:1> <1> cancel -u <2> lpinfo <1> lwinfo <1> ls more <1> ls ll date rm <1> lwpages ls vi <1> lp -dmsl21 <1> vi <1> ls vi <1> ls cd <1> ls cd <1> ls vi <1> vi <1> ls back lwinfo <1> ls cd <1> cd <1> cd <1> ls vi <1> lp -dmsl21 <1> lpq -Pmsl21 ghostview <1>,USER0
