,binaryClass_cat,RUN_num,SPEED1_num,TOTAL_num,SPEED2_num,NUMBER2_num,SENS_num,TIME_num
0,P,25.0,2.0,10.0,1.5,0.0,6.0,5.7
1,N,24.0,2.0,10.0,1.5,0.0,10.0,17.56
2,P,30.0,2.0,10.0,1.5,2.0,6.0,11.28
3,P,2.0,2.0,10.0,1.5,2.0,10.0,8.39
4,P,40.0,2.0,10.0,2.5,0.0,6.0,16.67
5,P,37.0,2.0,10.0,2.5,0.0,10.0,12.04
6,P,16.0,2.0,10.0,2.5,2.0,6.0,9.22
7,P,22.0,2.0,10.0,2.5,2.0,10.0,3.94
8,P,33.0,2.0,30.0,1.5,0.0,6.0,27.02
9,P,17.0,2.0,30.0,1.5,0.0,10.0,19.46
10,P,28.0,2.0,30.0,1.5,2.0,6.0,18.54
11,P,27.0,2.0,30.0,1.5,2.0,10.0,25.7
12,P,14.0,2.0,30.0,2.5,0.0,6.0,19.02
13,P,13.0,2.0,30.0,2.5,0.0,10.0,22.39
14,P,4.0,2.0,30.0,2.5,2.0,6.0,23.85
15,P,21.0,2.0,30.0,2.5,2.0,10.0,30.12
16,P,23.0,6.0,10.0,1.5,0.0,6.0,13.42
17,N,35.0,6.0,10.0,1.5,0.0,10.0,34.26
18,N,19.0,6.0,10.0,1.5,2.0,6.0,39.74
19,P,34.0,6.0,10.0,1.5,2.0,10.0,10.6
20,N,31.0,6.0,10.0,2.5,0.0,6.0,28.89
21,N,9.0,6.0,10.0,2.5,0.0,10.0,35.61
22,N,38.0,6.0,10.0,2.5,2.0,6.0,17.2
23,P,15.0,6.0,10.0,2.5,2.0,10.0,6.0
24,N,39.0,6.0,30.0,1.5,0.0,6.0,129.45
25,N,8.0,6.0,30.0,1.5,0.0,0.0,107.38
26,N,26.0,6.0,30.0,1.5,2.0,6.0,111.66
27,N,11.0,6.0,30.0,1.5,2.0,0.0,109.1
28,N,6.0,6.0,30.0,2.5,0.0,6.0,100.43
29,N,20.0,6.0,30.0,2.5,0.0,0.0,109.28
30,N,10.0,6.0,30.0,2.5,2.0,6.0,106.46
31,N,32.0,6.0,30.0,2.5,2.0,0.0,134.01
32,P,1.0,4.0,20.0,2.0,1.0,8.0,10.78
33,P,3.0,4.0,20.0,2.0,1.0,8.0,9.39
34,P,5.0,4.0,20.0,2.0,1.0,8.0,9.84
35,P,7.0,4.0,20.0,2.0,1.0,8.0,13.94
36,P,12.0,4.0,20.0,2.0,1.0,8.0,12.33
37,P,18.0,4.0,20.0,2.0,1.0,8.0,7.32
38,P,29.0,4.0,20.0,2.0,1.0,8.0,7.91
39,P,36.0,4.0,20.0,2.0,1.0,8.0,15.58
