,year_cat,gq_cat,gqtypeg_cat,farm_cat,ownershg_cat,value_cat,rent_cat,ftotinc_cat,nfams_cat,ncouples_cat,nmothers_cat,nfathers_cat,momloc_cat,stepmom_cat,momrule_cat,poploc_cat,steppop_cat,poprule_cat,sploc_cat,sprule_cat,famsize_cat,nchild_cat,nchlt5_cat,famunit_cat,eldch_cat,yngch_cat,nsibs_cat,relateg_cat,age_cat,sex_cat,raceg_cat,marst_cat,chborn_cat,bplg_cat,school_cat,educrec_cat,schltype_cat,empstatg_cat,labforce_cat,occ1950_cat,occscore_cat,sei_cat,ind1950_cat,classwkg_cat,wkswork2_cat,hrswork2_cat,yrlastwk_cat,workedyr_cat,inctot_cat,incwage_cat,incbus_cat,incfarm_cat,incss_cat,incwelfr_cat,incother_cat,poverty_cat,migrat5g_cat,migplac5_cat,movedin_cat,vetstat_cat,tranwork_cat
0,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,115,2550,1,1,1,1,2,0,1,1,0,1,0,0,3,0,0,1,99,99,0,Child,17,Male,White,Never_married_single,,California,Yes_in_school,Grade_11,Public_school,Employed,Yes_in_labor_force,Sports_instructors_and_officials,32,64,Educational_services,Works_for_wages_salary,14-26_weeks,15-29_hours,,Yes,150,150,0,0,0,0,0,86,Same_house,,6,No_Service,Driver
1,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),11250,0,1250,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,66,Female,White,Divorced,No_children,California,No_not_in_school,Grade_12,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,Therapists_and_healers_(nec),26,58,Medical_and_other_health_services_except_hospitals,Self-employed,1-13_weeks,,Worked_previous_yr,Yes,1250,650,0,0,550,0,0,71,Same_house,,7,,
2,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,90,4650,1,1,1,1,0,0,0,0,0,0,1,1,7,5,4,1,5,0,0,Spouse,30,Female,White,Married_spouse_present,10_children,Mexico,No_not_in_school,Grade_5-8,Not_enrolled,Employed,Yes_in_labor_force,Operative_and_kindred_workers_(nec),22,18,Apparel_and_accessories,Works_for_wages_salary,27-39_weeks,40_hours,,Yes,2550,2550,0,0,0,0,0,85,Same_state_countydifferent_house,,2,,Driver
3,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,90,2350,1,1,1,1,0,0,0,0,0,0,2,1,4,2,2,1,4,2,0,Head_Householder,24,Male,White,Married_spouse_present,,California,No_not_in_school,Grade_10,Not_enrolled,Employed,Yes_in_labor_force,Welders_and_flame_cutters,30,24,Fabricated_steel_products,Works_for_wages_salary,40-47_weeks,41-48_hours,,Yes,2350,2350,0,0,0,0,0,63,Same_state_countydifferent_house,,4,No_Service,Driver
4,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,60,8450,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,35,Male,White,Never_married_single,,Illinois,Yes_in_school,4+_years_of_college,Other_private_1970,Not_in_labor_force,No_not_in_labor_force,Clerical_and_kindred_workers_(n_e_c_),25,44,Postal_service,Works_for_wages_salary,50-52_weeks,,Worked_current_yr,Yes,8450,8450,0,0,0,0,0,443,Abroad,Brazil,1,Yes,
5,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,62,3950,1,0,1,0,1,0,1,0,0,0,0,0,7,0,0,1,99,99,5,Child,6,Female,Black_Negro,Never_married_single,,California,Yes_in_school,None_or_preschool,Public_school,,,,0,0,,,,,,,999999,999999,999999,999999,99999,99999,99999,75,Same_state_countydifferent_house,,1,,
6,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Rented,999999,48,7050,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,99,99,0,Head_Householder,36,Male,Black_Negro,Never_married_single,,Arkansas,No_not_in_school,Grade_12,Not_enrolled,Employed,Yes_in_labor_force,Janitors_and_sextons,21,9,Misc_business_services,Works_for_wages_salary,50-52_weeks,15-29_hours,,Yes,7050,7050,0,0,0,0,0,369,Same_state_countydifferent_house,,1,Yes,Driver
7,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),30000,0,8750,1,0,2,0,1,0,1,0,0,0,0,0,4,0,0,1,99,99,1,Child,12,Male,White,Never_married_single,,California,Yes_in_school,Grade_5-8,Public_school,,,,0,0,,,,,,,999999,999999,999999,999999,99999,99999,99999,235,Same_state_countydifferent_house,,4,,
8,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),30000,0,9250,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,Head_Householder,68,Male,White,Married_spouse_present,,USSR_Russia,No_not_in_school,None_or_preschool,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,Glaziers,27,26,Lumber_and_building_material_retailing,Self-employed,,,Worked_7-10_yrs_ago,No,9250,0,0,0,1150,0,8050,417,Same_state_countydifferent_house,,6,No_Service,
9,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),50000,0,50000,1,1,1,1,2,0,1,1,0,1,0,0,4,0,0,1,99,99,1,Child,7,Male,White,Never_married_single,,California,Yes_in_school,None_or_preschool,Public_school,,,,0,0,,,,,,,999999,999999,999999,999999,99999,99999,99999,501,Same_house,,5,,
10,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),999999,0,5050,1,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,99,99,0,Spouse,70,Female,White,Married_spouse_present,2__children,Italy,No_not_in_school,Grade_1-4,Not_enrolled,Not_in_labor_force,No_not_in_labor_force,,0,0,,,,,Worked_more_than_10_yrs_ago,No,1850,0,0,0,1150,0,650,228,Same_state_different_county,,1,,
11,97,HH_in_1970_definition_but_sampled_as_larger_unit,NA_(household),Non-Farm,Owned_or_being_bought_(loan),50000,0,7650,1,1,0,0,0,0,0,0,0,0,2,1,2,0,0,1,99,99,0,Head_Householder,72,Male,White,Married_spouse_present,,Utah,No_not_in_school,4+_years_of_college,Not_enrolled,Employed,Yes_in_labor_force,Real_estate_agents_and_brokers,35,62,Real_estate,Self-employed,50-52_weeks,1-14_hours,,Yes,6850,0,5050,0,1750,0,0,345,Same_house,,5,Yes,Worked_at_home
