,deflator_num,GNP_num,unemployed_num,armed_forces_num,population_num,year_num,employed_num
0,83.0,234289.0,2356,1590,107608,1947,60323
1,88.5,259426.0,2325,1456,108632,1948,61122
2,88.2,258054.0,3682,1616,109773,1949,60171
3,89.5,284599.0,3351,1650,110929,1950,61187
4,96.2,328975.0,2099,3099,112075,1951,63221
5,98.1,346999.0,1932,3594,113270,1952,63639
6,99.0,365385.0,1870,3547,115094,1953,64989
7,100.0,363112.0,3578,3350,116219,1954,63761
8,101.2,397469.0,2904,3048,117388,1955,66019
9,104.6,419180.0,2822,2857,118734,1956,67857
10,108.4,442769.0,2936,2798,120445,1957,68169
11,110.8,444546.0,4681,2637,121950,1958,66513
12,112.6,482704.0,3813,2552,123366,1959,68655
13,114.2,502601.0,3931,2514,125368,1960,69564
14,115.7,518173.0,4806,2572,127852,1961,69331
15,116.9,554894.0,4007,2827,130081,1962,70551
