,binaryClass_cat,Male_cat,Married_cat,Runs.per.week_num,Age_num,Income_num,College_cat,Distance_cat,Treadmill_cat,Miles.per.week_num,Type.of.running_cat
0,N,1,0,6.0,29.5,57.5,1,1,0,42.5,1Marathon
1,N,1,1,5.0,43.5,57.5,1,0,0,37.5,5Other
2,P,1,0,5.0,29.5,42.5,1,0,0,22.5,5Other
3,N,0,1,6.0,36.5,57.5,1,1,0,37.5,2Half_marathon
4,N,1,1,6.0,36.5,,1,1,0,47.5,1Marathon
5,N,1,1,5.0,43.5,112.5,0,0,0,32.5,5Other
6,P,1,1,3.0,29.5,42.5,1,0,0,5.0,4Just_for_fun
7,P,0,0,6.0,22.5,30.0,1,0,0,5.0,5Other
8,N,1,0,6.0,29.5,112.5,1,1,0,47.5,1Marathon
9,N,0,0,4.0,29.5,30.0,1,0,0,12.5,5Other
10,P,0,0,6.0,22.5,,0,1,0,32.5,1Marathon
11,N,1,0,7.0,16.5,112.5,0,0,0,32.5,5Other
12,P,1,1,3.0,43.5,87.5,0,0,0,12.5,4Just_for_fun
13,N,1,0,6.0,16.5,112.5,0,0,0,42.5,5Other
14,N,0,0,6.0,22.5,42.5,1,1,0,32.5,1Marathon
15,N,1,1,6.0,36.5,42.5,1,0,0,27.5,5Other
16,N,1,1,5.0,36.5,57.5,1,0,0,27.5,5Other
17,P,1,0,5.0,16.5,,0,0,0,27.5,4Just_for_fun
18,P,1,1,4.0,43.5,42.5,0,0,0,37.5,5Other
19,P,1,0,3.0,22.5,20.0,0,0,0,12.5,5Other
20,P,1,0,4.0,16.5,,0,0,0,12.5,5Other
21,P,1,0,4.0,22.5,30.0,1,0,0,12.5,4Just_for_fun
22,P,0,1,3.0,36.5,,1,0,0,17.5,5Other
23,P,1,0,5.0,22.5,20.0,1,0,0,47.5,5Other
24,P,1,1,6.0,36.5,87.5,1,0,0,22.5,5Other
25,N,0,1,6.0,29.5,42.5,1,0,0,32.5,5Other
26,P,0,0,4.0,36.5,42.5,1,0,0,12.5,5Other
27,N,1,0,6.0,16.5,57.5,0,0,0,57.5,5Other
28,P,1,0,7.0,29.5,30.0,1,0,0,32.5,5Other
29,P,0,0,5.0,22.5,,0,0,0,27.5,5Other
30,P,1,1,6.0,29.5,,1,0,0,5.0,5Other
31,P,0,0,5.0,36.5,,1,0,0,22.5,5Other
32,N,1,1,6.0,53.5,57.5,1,0,0,27.5,5Other
33,P,1,0,4.0,29.5,42.5,1,0,0,27.5,5Other
34,N,1,0,7.0,16.5,,0,0,0,42.5,5Other
35,N,1,0,6.0,36.5,30.0,1,0,0,47.5,5Other
36,P,1,1,5.0,29.5,57.5,0,0,0,5.0,5Other
37,P,1,0,3.0,22.5,42.5,1,0,0,5.0,4Just_for_fun
38,P,1,1,5.0,29.5,30.0,1,0,0,22.5,5Other
39,P,1,0,5.0,29.5,42.5,1,1,0,32.5,1Marathon
40,N,1,1,7.0,43.5,42.5,0,0,0,32.5,5Other
41,P,1,1,4.0,48.5,57.5,1,0,1,5.0,3Treadmill
42,P,1,0,6.0,29.5,42.5,0,0,0,17.5,5Other
43,P,0,0,3.0,22.5,,1,0,1,5.0,3Treadmill
44,P,1,0,2.0,29.5,112.5,1,0,0,5.0,5Other
45,N,1,0,6.0,16.5,20.0,0,0,0,5.0,5Other
46,P,1,0,5.0,16.5,20.0,0,0,0,27.5,5Other
47,N,1,0,4.0,22.5,57.5,1,1,0,22.5,2Half_marathon
48,N,1,1,5.0,22.5,57.5,1,0,0,12.5,5Other
49,N,1,1,6.0,48.5,,1,0,0,27.5,5Other
50,P,1,1,3.0,29.5,,1,0,1,5.0,3Treadmill
51,P,0,1,2.0,22.5,87.5,1,0,1,5.0,3Treadmill
52,N,0,1,5.0,29.5,57.5,1,0,0,22.5,5Other
53,P,1,1,4.0,36.5,87.5,1,0,0,17.7,5Other
54,N,0,0,7.0,22.5,,0,0,0,47.5,5Other
55,P,0,0,4.0,29.5,,1,0,0,27.5,5Other
56,P,0,0,4.0,29.5,42.5,1,0,0,12.5,5Other
57,P,1,1,5.0,43.5,87.5,1,0,0,12.5,5Other
58,P,1,1,7.0,29.5,57.5,1,0,0,47.5,5Other
59,P,1,1,5.0,48.5,42.5,1,1,0,37.5,1Marathon
