,binaryClass_cat,year_num,month_num,day_num,RPT_num,VAL_num,ROS_num,KIL_num,SHA_num,BIR_num,DUB_num,CLA_num,MUL_num,CLO_num,BEL_num
0,P,61.0,1.0,1.0,15.04,14.96,13.17,9.29,13.96,9.87,13.67,10.25,10.83,12.58,18.5
1,P,61.0,1.0,2.0,14.71,16.88,10.83,6.5,12.62,7.67,11.5,10.04,9.79,9.67,17.54
2,P,61.0,1.0,3.0,18.5,16.88,12.33,10.13,11.17,6.17,11.25,8.04,8.5,7.67,12.75
3,P,61.0,1.0,4.0,10.58,6.63,11.75,4.58,4.54,2.88,8.63,1.79,5.83,5.88,5.46
4,P,61.0,1.0,5.0,13.33,13.25,11.42,6.17,10.71,8.21,11.92,6.54,10.92,10.34,12.92
5,P,61.0,1.0,6.0,13.21,8.12,9.96,6.67,5.37,4.5,10.67,4.42,7.17,7.5,8.12
6,P,61.0,1.0,7.0,13.5,14.29,9.5,4.96,12.29,8.33,9.17,9.29,7.58,7.96,13.96
7,N,61.0,1.0,8.0,10.96,9.75,7.62,5.91,9.62,7.29,14.29,7.62,9.25,10.46,16.62
8,P,61.0,1.0,9.0,12.58,10.83,10.0,4.75,10.37,6.79,8.04,10.13,7.79,9.08,13.04
9,P,61.0,1.0,10.0,13.37,11.12,19.5,8.33,9.71,6.54,11.42,7.79,8.54,9.0,8.58
10,N,61.0,1.0,11.0,10.58,9.87,8.42,2.79,8.71,7.25,7.54,8.33,5.71,8.67,20.71
11,P,61.0,1.0,12.0,19.75,12.08,18.5,10.54,10.29,9.46,15.54,11.5,10.37,14.58,15.59
12,P,61.0,1.0,13.0,9.92,3.54,8.46,2.96,2.29,0.96,4.63,0.58,2.33,3.37,5.25
13,P,61.0,1.0,14.0,9.04,5.66,7.08,0.67,2.71,1.38,3.08,2.58,0.5,2.67,7.17
14,P,61.0,1.0,15.0,12.04,9.67,11.75,2.37,7.38,3.13,2.5,6.83,4.75,5.63,7.54
15,P,61.0,1.0,16.0,16.42,11.25,15.67,4.71,11.34,6.92,9.25,8.79,8.21,7.33,13.04
16,N,61.0,1.0,17.0,17.75,14.37,17.33,10.13,13.96,13.37,13.42,11.04,8.71,11.38,15.92
17,N,61.0,1.0,18.0,19.83,12.04,20.79,18.54,13.83,10.29,17.83,11.38,14.67,16.71,8.79
18,P,61.0,1.0,19.0,4.92,3.42,7.29,1.04,3.67,3.17,3.71,2.79,1.92,2.71,6.87
19,P,61.0,1.0,20.0,9.59,11.83,7.96,1.58,7.92,5.0,3.17,4.92,3.13,3.37,6.5
20,P,61.0,1.0,21.0,14.33,10.25,11.92,6.13,10.04,7.67,8.04,9.17,7.04,7.87,6.75
21,P,61.0,1.0,22.0,9.59,5.88,9.92,2.17,6.87,5.5,9.38,7.04,6.34,7.5,10.88
22,N,61.0,1.0,23.0,16.54,9.96,18.54,10.46,13.5,12.67,13.7,13.75,10.75,13.17,14.79
23,N,61.0,1.0,24.0,25.04,14.83,25.84,15.67,21.46,18.58,20.38,19.38,15.37,15.12,23.09
24,N,61.0,1.0,25.0,13.62,11.17,12.67,6.04,10.0,9.42,9.25,8.71,7.12,12.04,14.04
25,N,61.0,1.0,26.0,24.37,18.79,17.5,14.25,18.91,15.67,14.33,15.16,16.08,19.08,20.5
26,N,61.0,1.0,27.0,22.04,20.79,17.41,16.21,19.04,16.13,16.79,18.29,18.66,19.08,26.08
27,N,61.0,1.0,28.0,17.67,13.54,13.33,8.87,15.04,11.63,12.25,10.58,11.92,11.04,20.3
28,N,61.0,1.0,29.0,27.25,23.91,22.29,17.54,24.08,19.7,22.0,20.25,21.46,19.95,27.71
29,N,61.0,1.0,30.0,12.21,11.42,10.92,7.92,13.08,9.62,14.5,10.21,9.92,11.96,18.88
30,P,61.0,1.0,31.0,24.21,19.55,16.71,11.96,14.42,10.46,14.88,8.21,10.5,9.96,12.42
31,P,61.0,2.0,1.0,14.25,15.12,9.04,5.88,12.08,7.17,10.17,3.63,6.5,5.5,9.17
32,P,61.0,2.0,2.0,20.17,24.21,10.0,6.54,17.37,7.17,10.88,6.08,9.08,7.12,12.08
33,P,61.0,2.0,3.0,14.37,11.71,11.04,5.09,9.87,5.83,8.5,5.13,6.34,7.38,9.71
34,P,61.0,2.0,4.0,10.58,9.46,10.92,8.71,12.46,11.46,12.54,11.04,13.04,11.17,16.5
35,P,61.0,2.0,5.0,22.0,16.75,19.7,11.63,14.25,12.04,13.96,15.54,13.37,13.13,19.33
36,N,61.0,2.0,6.0,24.5,20.75,20.62,15.37,25.33,17.62,19.17,18.79,18.96,14.46,26.38
37,N,61.0,2.0,7.0,18.05,14.37,14.88,9.75,10.96,11.17,14.21,9.71,13.04,12.25,15.21
38,N,61.0,2.0,8.0,24.54,21.42,21.34,11.63,17.04,14.21,16.5,17.33,14.67,17.79,23.79
39,N,61.0,2.0,9.0,17.41,15.92,13.67,10.71,14.0,12.92,14.37,15.71,14.46,14.67,23.04
40,N,61.0,2.0,10.0,20.5,11.54,19.67,10.04,8.12,8.08,11.08,12.54,11.12,12.96,17.83
41,N,61.0,2.0,11.0,16.79,14.0,13.7,9.54,15.83,13.29,17.5,15.5,15.83,14.33,21.17
42,N,61.0,2.0,12.0,16.0,16.92,17.25,8.38,11.75,10.37,11.71,14.37,10.37,14.62,25.41
43,N,61.0,2.0,13.0,22.5,19.7,19.41,15.34,16.13,14.62,16.08,14.12,13.96,16.58,28.62
