,binaryClass_cat,Year_cat,Row_num,Group_num
0,P,1983,1.0,1.0
1,N,1983,2.0,1.0
2,N,1983,3.0,1.0
3,N,1983,4.0,1.0
4,N,1983,5.0,2.0
5,N,1983,6.0,2.0
6,P,1983,7.0,2.0
7,P,1983,8.0,2.0
8,P,1983,9.0,3.0
9,P,1983,10.0,3.0
10,P,1983,11.0,3.0
11,P,1983,12.0,3.0
12,P,1983,13.0,4.0
13,P,1983,14.0,4.0
14,N,1983,15.0,4.0
15,N,1983,16.0,4.0
16,P,1983,17.0,5.0
17,N,1983,18.0,5.0
18,P,1983,19.0,5.0
19,P,1983,20.0,5.0
20,P,1983,21.0,6.0
21,N,1983,22.0,6.0
22,N,1983,23.0,6.0
23,N,1983,24.0,6.0
24,N,1983,25.0,7.0
25,N,1983,26.0,7.0
26,N,1983,27.0,7.0
27,N,1983,28.0,7.0
28,N,1983,29.0,8.0
29,N,1983,30.0,8.0
30,N,1983,31.0,8.0
31,N,1983,32.0,8.0
32,P,1983,33.0,9.0
33,N,1983,34.0,9.0
34,N,1983,35.0,9.0
35,N,1983,36.0,9.0
36,N,1983,37.0,10.0
37,N,1983,38.0,10.0
38,N,1983,39.0,10.0
39,N,1983,40.0,10.0
40,N,1983,41.0,11.0
41,N,1983,42.0,11.0
42,N,1983,43.0,11.0
43,N,1983,44.0,11.0
44,N,1983,45.0,12.0
45,P,1983,46.0,12.0
46,P,1983,47.0,12.0
47,P,1983,48.0,12.0
48,P,1983,49.0,13.0
49,P,1983,50.0,13.0
50,P,1983,51.0,13.0
51,P,1983,52.0,13.0
52,P,1984,1.0,1.0
53,P,1984,2.0,1.0
54,N,1984,3.0,1.0
55,N,1984,4.0,1.0
56,P,1984,5.0,2.0
57,N,1984,6.0,2.0
58,N,1984,7.0,2.0
59,N,1984,8.0,2.0
60,N,1984,9.0,3.0
61,N,1984,10.0,3.0
62,N,1984,11.0,3.0
63,P,1984,12.0,3.0
64,N,1984,13.0,4.0
65,P,1984,14.0,4.0
66,P,1984,15.0,4.0
67,N,1984,16.0,4.0
68,N,1984,17.0,5.0
69,N,1984,18.0,5.0
70,P,1984,19.0,5.0
71,N,1984,20.0,5.0
72,N,1984,21.0,6.0
73,N,1984,22.0,6.0
74,N,1984,23.0,6.0
75,N,1984,24.0,6.0
76,N,1984,25.0,7.0
77,N,1984,26.0,7.0
78,N,1984,27.0,7.0
79,N,1984,28.0,7.0
80,N,1984,29.0,8.0
81,N,1984,30.0,8.0
82,N,1984,31.0,8.0
83,N,1984,32.0,8.0
84,N,1984,33.0,9.0
85,N,1984,34.0,9.0
86,N,1984,35.0,9.0
87,P,1984,36.0,9.0
88,N,1984,37.0,10.0
89,N,1984,38.0,10.0
90,P,1984,39.0,10.0
91,P,1984,40.0,10.0
92,N,1984,41.0,11.0
93,P,1984,42.0,11.0
94,P,1984,43.0,11.0
95,P,1984,44.0,11.0
96,N,1984,45.0,12.0
97,N,1984,46.0,12.0
98,N,1984,47.0,12.0
99,N,1984,48.0,12.0
100,N,1984,49.0,13.0
101,P,1984,50.0,13.0
102,P,1984,51.0,13.0
103,P,1984,52.0,13.0
104,P,1985,1.0,1.0
105,P,1985,2.0,1.0
106,P,1985,3.0,1.0
107,P,1985,4.0,1.0
108,P,1985,5.0,2.0
109,P,1985,6.0,2.0
110,P,1985,7.0,2.0
111,P,1985,8.0,2.0
112,P,1985,9.0,3.0
113,P,1985,10.0,3.0
114,P,1985,11.0,3.0
115,P,1985,12.0,3.0
116,P,1985,13.0,4.0
117,P,1985,14.0,4.0
118,P,1985,15.0,4.0
119,P,1985,16.0,4.0
120,P,1985,17.0,5.0
121,P,1985,18.0,5.0
122,P,1985,19.0,5.0
123,P,1985,20.0,5.0
124,P,1985,21.0,6.0
125,N,1985,22.0,6.0
126,P,1985,23.0,6.0
127,N,1985,24.0,6.0
128,N,1985,25.0,7.0
129,N,1985,26.0,7.0
130,N,1985,27.0,7.0
131,N,1985,28.0,7.0
132,N,1985,29.0,8.0
133,N,1985,30.0,8.0
134,N,1985,31.0,8.0
135,N,1985,32.0,8.0
136,N,1985,33.0,9.0
137,P,1985,34.0,9.0
138,P,1985,35.0,9.0
139,P,1985,36.0,9.0
140,N,1985,37.0,10.0
141,N,1985,38.0,10.0
142,N,1985,39.0,10.0
143,N,1985,40.0,10.0
144,N,1985,41.0,11.0
145,N,1985,42.0,11.0
146,N,1985,43.0,11.0
147,N,1985,44.0,11.0
148,N,1985,45.0,12.0
149,P,1985,46.0,12.0
150,P,1985,47.0,12.0
151,P,1985,48.0,12.0
152,P,1985,49.0,13.0
153,P,1985,50.0,13.0
154,P,1985,51.0,13.0
155,P,1985,52.0,13.0
156,P,1986,1.0,1.0
157,P,1986,2.0,1.0
158,P,1986,3.0,1.0
159,N,1986,4.0,1.0
160,N,1986,5.0,2.0
161,P,1986,6.0,2.0
162,P,1986,7.0,2.0
163,P,1986,8.0,2.0
164,P,1986,9.0,3.0
165,P,1986,10.0,3.0
166,P,1986,11.0,3.0
167,P,1986,12.0,3.0
168,P,1986,13.0,4.0
169,P,1986,14.0,4.0
170,P,1986,15.0,4.0
171,P,1986,16.0,4.0
172,P,1986,17.0,5.0
173,P,1986,18.0,5.0
174,P,1986,19.0,5.0
175,P,1986,20.0,5.0
176,P,1986,21.0,6.0
177,P,1986,22.0,6.0
178,P,1986,23.0,6.0
179,P,1986,24.0,6.0
180,P,1986,25.0,7.0
181,P,1986,26.0,7.0
182,P,1986,27.0,7.0
183,P,1986,28.0,7.0
184,P,1986,29.0,8.0
185,P,1986,30.0,8.0
186,P,1986,31.0,8.0
187,P,1986,32.0,8.0
188,P,1986,33.0,9.0
189,P,1986,34.0,9.0
190,P,1986,35.0,9.0
191,P,1986,36.0,9.0
192,P,1986,37.0,10.0
193,P,1986,38.0,10.0
194,P,1986,39.0,10.0
195,P,1986,40.0,10.0
196,P,1986,41.0,11.0
197,P,1986,42.0,11.0
198,P,1986,43.0,11.0
199,P,1986,44.0,11.0
200,P,1986,45.0,12.0
201,P,1986,46.0,12.0
202,P,1986,47.0,12.0
203,P,1986,48.0,12.0
204,P,1986,49.0,13.0
205,P,1986,50.0,13.0
206,P,1986,51.0,13.0
207,P,1986,52.0,13.0
208,P,1987,1.0,1.0
209,P,1987,2.0,1.0
210,P,1987,3.0,1.0
211,P,1987,4.0,1.0
212,P,1987,5.0,2.0
213,N,1987,6.0,2.0
214,P,1987,7.0,2.0
215,P,1987,8.0,2.0
216,N,1987,9.0,3.0
217,P,1987,10.0,3.0
218,P,1987,11.0,3.0
219,P,1987,12.0,3.0
220,P,1987,13.0,4.0
221,P,1987,14.0,4.0
222,P,1987,15.0,4.0
223,N,1987,16.0,4.0
224,N,1987,17.0,5.0
225,N,1987,18.0,5.0
226,N,1987,19.0,5.0
227,N,1987,20.0,5.0
228,N,1987,21.0,6.0
229,N,1987,22.0,6.0
230,N,1987,23.0,6.0
231,N,1987,24.0,6.0
232,N,1987,25.0,7.0
233,N,1987,26.0,7.0
234,N,1987,27.0,7.0
235,N,1987,28.0,7.0
236,N,1987,29.0,8.0
237,N,1987,30.0,8.0
238,N,1987,31.0,8.0
239,N,1987,32.0,8.0
240,N,1987,33.0,9.0
241,N,1987,34.0,9.0
242,N,1987,35.0,9.0
243,N,1987,36.0,9.0
244,P,1987,37.0,10.0
245,N,1987,38.0,10.0
246,P,1987,39.0,10.0
247,N,1987,40.0,10.0
248,P,1987,41.0,11.0
249,P,1987,42.0,11.0
250,P,1987,43.0,11.0
251,P,1987,44.0,11.0
252,P,1987,45.0,12.0
253,P,1987,46.0,12.0
254,P,1987,47.0,12.0
255,P,1987,48.0,12.0
256,P,1987,49.0,13.0
257,P,1987,50.0,13.0
258,P,1987,51.0,13.0
259,P,1987,52.0,13.0
260,P,1988,1.0,1.0
261,P,1988,2.0,1.0
262,P,1988,3.0,1.0
263,P,1988,4.0,1.0
264,P,1988,5.0,2.0
265,P,1988,6.0,2.0
266,P,1988,7.0,2.0
267,P,1988,8.0,2.0
268,P,1988,9.0,3.0
269,P,1988,10.0,3.0
270,P,1988,11.0,3.0
271,P,1988,12.0,3.0
272,N,1988,13.0,4.0
273,P,1988,14.0,4.0
274,P,1988,15.0,4.0
275,P,1988,16.0,4.0
276,P,1988,17.0,5.0
277,P,1988,18.0,5.0
278,P,1988,19.0,5.0
279,P,1988,20.0,5.0
280,P,1988,21.0,6.0
281,P,1988,22.0,6.0
282,P,1988,23.0,6.0
283,P,1988,24.0,6.0
284,P,1988,25.0,7.0
285,P,1988,26.0,7.0
286,P,1988,27.0,7.0
287,P,1988,28.0,7.0
288,P,1988,29.0,8.0
289,P,1988,30.0,8.0
290,N,1988,31.0,8.0
291,P,1988,32.0,8.0
292,P,1988,33.0,9.0
293,P,1988,34.0,9.0
294,N,1988,35.0,9.0
295,N,1988,36.0,9.0
296,N,1988,37.0,10.0
297,N,1988,38.0,10.0
298,N,1988,39.0,10.0
299,N,1988,40.0,10.0
300,N,1988,41.0,11.0
301,P,1988,42.0,11.0
302,N,1988,43.0,11.0
303,P,1988,44.0,11.0
304,N,1988,45.0,12.0
305,P,1988,46.0,12.0
306,P,1988,47.0,12.0
307,P,1988,48.0,12.0
308,P,1988,49.0,13.0
309,P,1988,50.0,13.0
310,P,1988,51.0,13.0
311,P,1988,52.0,13.0
312,P,1989,1.0,1.0
313,P,1989,2.0,1.0
314,P,1989,3.0,1.0
315,P,1989,4.0,1.0
316,P,1989,5.0,2.0
317,P,1989,6.0,2.0
318,P,1989,7.0,2.0
319,P,1989,8.0,2.0
320,P,1989,9.0,3.0
321,P,1989,10.0,3.0
322,P,1989,11.0,3.0
323,P,1989,12.0,3.0
324,P,1989,13.0,4.0
325,P,1989,14.0,4.0
326,P,1989,15.0,4.0
327,P,1989,16.0,4.0
328,P,1989,17.0,5.0
329,P,1989,18.0,5.0
330,P,1989,19.0,5.0
