,binaryClass_cat,Role_cat,Status_num,Trust_num,Outcome_favorability_num,Procedural_fairness_num
0,N,Recruiter,66.666667,64.285714,38.095238,57.142857
1,N,Recruiter,71.296296,57.142857,47.619048,80.952381
2,N,Candidate,,,71.428571,71.428571
3,N,Candidate,67.592593,45.238095,57.142857,71.428571
4,N,Recruiter,32.407407,52.380952,71.428571,85.714286
5,N,Recruiter,58.796296,52.380952,71.428571,80.952381
6,N,Candidate,55.555556,69.047619,76.190476,85.714286
7,N,Candidate,60.185185,71.428571,66.666667,80.952381
8,P,Candidate,55.555556,59.52381,52.380952,42.857143
9,N,Candidate,57.407407,64.285714,47.619048,76.190476
10,N,Candidate,54.62963,64.285714,61.904762,66.666667
11,P,Recruiter,,50.0,19.047619,42.857143
12,N,Recruiter,71.296296,50.0,85.714286,85.714286
13,P,Recruiter,,,28.571429,52.380952
14,P,Recruiter,56.481481,,42.857143,47.619048
15,P,Candidate,45.37037,30.952381,66.666667,47.619048
16,N,Candidate,75.0,76.190476,80.952381,76.190476
17,N,Candidate,75.0,57.142857,61.904762,85.714286
18,N,Recruiter,66.666667,14.285714,71.428571,85.714286
19,P,Recruiter,50.0,21.428571,14.285714,33.333333
20,N,Candidate,,59.52381,80.952381,66.666667
21,N,Candidate,39.814815,26.190476,57.142857,76.190476
22,P,Candidate,56.481481,42.857143,42.857143,71.428571
23,N,Recruiter,71.296296,71.428571,52.380952,66.666667
24,N,Recruiter,49.074074,30.952381,76.190476,85.714286
25,N,Recruiter,64.814815,57.142857,42.857143,
26,P,Candidate,61.111111,38.095238,52.380952,57.142857
27,P,Candidate,37.962963,33.333333,38.095238,52.380952
28,N,Recruiter,70.37037,59.52381,47.619048,80.952381
29,N,Recruiter,,,61.904762,61.904762
30,N,Candidate,59.259259,21.428571,61.904762,76.190476
31,P,Candidate,57.407407,66.666667,23.809524,28.571429
32,N,Candidate,55.555556,57.142857,57.142857,61.904762
33,N,Candidate,41.666667,52.380952,47.619048,71.428571
34,P,Recruiter,50.925926,33.333333,33.333333,52.380952
35,N,Recruiter,69.444444,54.761905,47.619048,47.619048
36,N,Recruiter,58.333333,42.857143,76.190476,80.952381
37,P,Recruiter,45.37037,28.571429,28.571429,38.095238
38,N,Candidate,,,61.904762,71.428571
39,P,Candidate,62.962963,52.380952,47.619048,52.380952
40,N,Candidate,68.518519,42.857143,57.142857,66.666667
41,N,Recruiter,,57.142857,42.857143,80.952381
42,N,Candidate,57.407407,59.52381,71.428571,85.714286
43,N,Candidate,75.925926,40.47619,80.952381,85.714286
44,N,Recruiter,69.444444,57.142857,66.666667,76.190476
45,N,Recruiter,75.925926,38.095238,42.857143,71.428571
46,N,Candidate,81.481481,61.904762,66.666667,71.428571
47,N,Recruiter,77.777778,66.666667,28.571429,52.380952
48,N,Recruiter,,,,52.380952
49,N,Recruiter,71.296296,42.857143,61.904762,85.714286
50,N,Recruiter,62.037037,47.619048,61.904762,42.857143
51,N,Candidate,77.777778,47.619048,76.190476,85.714286
52,P,Candidate,68.518519,7.142857,42.857143,42.857143
53,P,Candidate,52.777778,54.761905,33.333333,47.619048
54,N,Recruiter,57.87037,38.095238,57.142857,57.142857
55,N,Recruiter,75.925926,80.952381,47.619048,57.142857
56,N,Candidate,62.962963,71.428571,57.142857,71.428571
57,P,Candidate,,,47.619048,14.285714
58,N,Candidate,52.777778,42.857143,57.142857,66.666667
59,P,Recruiter,76.851852,59.52381,38.095238,47.619048
60,P,Candidate,53.703704,35.714286,61.904762,61.904762
61,P,Candidate,60.185185,54.761905,47.619048,42.857143
62,P,Recruiter,66.666667,61.904762,52.380952,52.380952
63,N,Recruiter,66.666667,38.095238,57.142857,66.666667
64,N,Candidate,54.62963,50.0,,80.952381
65,N,Candidate,50.925926,28.571429,38.095238,66.666667
66,P,Recruiter,55.555556,45.238095,28.571429,52.380952
67,N,Recruiter,47.222222,11.904762,76.190476,66.666667
68,N,Recruiter,84.259259,80.952381,57.142857,71.428571
69,N,Recruiter,66.666667,40.47619,61.904762,71.428571
70,N,Candidate,73.148148,73.809524,47.619048,71.428571
71,P,Recruiter,,38.095238,42.857143,42.857143
72,N,Candidate,54.62963,61.904762,47.619048,66.666667
73,P,Candidate,67.592593,47.619048,42.857143,61.904762
74,N,Candidate,70.37037,50.0,61.904762,42.857143
75,N,Candidate,82.407407,40.47619,66.666667,85.714286
76,N,Recruiter,68.518519,64.285714,71.428571,85.714286
77,N,Recruiter,74.074074,66.666667,66.666667,66.666667
78,N,Candidate,75.0,73.809524,71.428571,52.380952
79,N,Candidate,65.740741,21.428571,33.333333,66.666667
80,N,Candidate,72.222222,57.142857,57.142857,71.428571
81,N,Recruiter,82.407407,45.238095,42.857143,85.714286
82,N,Candidate,57.407407,50.0,42.857143,66.666667
83,N,Recruiter,63.888889,47.619048,52.380952,66.666667
84,P,Candidate,68.518519,23.809524,47.619048,47.619048
85,N,Recruiter,75.0,52.380952,42.857143,71.428571
86,P,Candidate,57.407407,47.619048,28.571429,61.904762
87,N,Candidate,,45.238095,42.857143,52.380952
88,N,Recruiter,,,66.666667,71.428571
89,P,Candidate,,45.238095,42.857143,52.380952
90,N,Recruiter,,,66.666667,71.428571
91,N,Candidate,50.0,47.619048,42.857143,47.619048
