,col_12_num,col_1_num,col_2_num,col_3_num,col_5_num,col_6_num,col_7_num,col_8_num,col_9_num,col_10_num,col_11_num
0,3600.0,60,129.7,0.925,6036,1.045,0.836,0.81,0.444,0.331,0.302
1,3721.0,61,131.3,0.914,6113,1.045,0.869,0.846,0.448,0.335,0.307
2,3844.0,62,137.1,0.919,6271,1.041,0.948,0.874,0.457,0.338,0.314
3,3969.0,63,141.6,0.918,6378,1.035,0.96,0.885,0.463,0.343,0.32
4,4096.0,64,148.8,0.914,6727,1.032,1.001,0.901,0.47,0.347,0.325
5,4225.0,65,155.9,0.949,7027,1.009,0.994,0.919,0.471,0.353,0.332
6,4356.0,66,164.9,0.97,7280,0.991,0.97,0.952,0.475,0.366,0.342
7,4489.0,67,171.0,1.0,7513,1.0,1.0,1.0,0.483,0.375,0.353
8,4624.0,68,183.4,1.014,7728,1.028,1.028,1.046,0.501,0.39,0.368
9,4761.0,69,195.8,1.047,7891,1.044,1.031,1.127,0.514,0.409,0.386
10,4900.0,70,207.4,1.056,8134,1.076,1.043,1.285,0.527,0.427,0.407
11,5041.0,71,218.3,1.063,8322,1.12,1.102,1.377,0.547,0.442,0.431
12,5184.0,72,226.8,1.076,8562,1.11,1.105,1.434,0.555,0.458,0.451
13,5329.0,73,237.9,1.181,9042,1.111,1.176,1.448,0.566,0.497,0.474
14,5476.0,74,225.8,1.599,8867,1.175,1.226,1.48,0.604,0.572,0.513
15,5625.0,75,232.4,1.708,8944,1.276,1.464,1.586,0.659,0.615,0.556
16,5776.0,76,241.7,1.779,9175,1.357,1.679,1.742,0.695,0.638,0.598
17,5929.0,77,249.2,1.882,9381,1.429,1.828,1.824,0.727,0.671,0.648
18,6084.0,78,261.3,1.963,9735,1.538,1.865,1.878,0.769,0.719,0.698
19,6241.0,79,248.9,2.656,9829,1.66,2.01,2.003,0.821,0.8,0.756
20,6400.0,80,226.8,3.691,9722,1.793,2.081,2.516,0.892,0.894,0.839
21,6561.0,81,225.6,4.109,9769,1.902,2.569,3.12,0.957,0.969,0.926
22,6724.0,82,228.8,3.894,9725,1.976,2.964,3.46,1.0,1.0,1.0
23,6889.0,83,239.6,3.764,9930,2.026,3.297,3.626,1.041,1.021,1.062
24,7056.0,84,244.7,3.707,10421,2.085,3.757,3.852,1.038,1.05,1.117
25,7225.0,85,245.8,3.738,10563,2.152,3.797,4.028,1.045,1.075,1.173
26,7396.0,86,269.4,2.921,10780,2.24,3.632,4.264,1.053,1.069,1.224
