,class_cat,attr1_cat,attr2_cat,attr3_cat,attr4_cat,attr5_cat,attr6_cat
0,0,1,1,1,1,2,2
1,0,1,1,1,1,4,1
2,0,1,1,1,2,1,1
3,0,1,1,1,2,1,2
4,0,1,1,1,2,2,1
5,0,1,1,1,2,3,1
6,0,1,1,1,2,4,1
7,0,1,1,1,3,2,1
8,0,1,1,1,3,4,1
9,0,1,1,2,1,1,1
10,0,1,1,2,1,1,2
11,0,1,1,2,2,3,1
12,0,1,1,2,2,4,1
13,1,1,1,2,2,4,2
14,0,1,1,2,3,1,2
15,1,1,1,2,3,2,2
16,0,1,2,1,1,1,2
17,0,1,2,1,2,1,2
18,1,1,2,1,2,2,2
19,0,1,2,1,2,3,1
20,1,1,2,1,2,3,2
21,0,1,2,1,2,4,1
22,0,1,2,1,3,1,1
23,0,1,2,1,3,1,2
24,1,1,2,1,3,2,2
25,0,1,2,1,3,3,1
26,1,1,2,1,3,3,2
27,0,1,2,1,3,4,1
28,1,1,2,1,3,4,2
29,0,1,2,2,1,2,1
30,0,1,2,2,1,4,1
31,1,1,2,2,2,3,1
32,1,1,2,2,2,4,1
33,0,1,2,2,3,1,1
34,1,1,2,2,3,1,2
35,1,1,2,2,3,3,1
36,0,1,2,2,3,3,2
37,1,1,2,2,3,4,1
38,0,1,2,2,3,4,2
39,0,1,3,1,1,1,2
40,0,1,3,1,1,2,2
41,0,1,3,1,1,3,1
42,0,1,3,1,1,3,2
43,0,1,3,1,2,2,1
44,1,1,3,1,2,2,2
45,1,1,3,1,2,3,2
46,0,1,3,1,2,4,1
47,1,1,3,1,3,2,2
48,0,1,3,1,3,3,1
49,1,1,3,1,3,4,2
50,0,1,3,2,1,3,1
51,1,1,3,2,1,3,2
52,0,1,3,2,1,4,1
53,1,1,3,2,2,1,2
54,0,1,3,2,2,3,2
55,0,1,3,2,2,4,2
56,1,1,3,2,3,2,1
57,0,2,1,1,1,1,1
58,0,2,1,1,1,2,2
59,0,2,1,1,1,3,1
60,1,2,1,1,2,2,2
61,0,2,1,1,3,1,2
62,1,2,1,1,3,2,2
63,1,2,1,1,3,3,2
64,0,2,1,1,3,4,1
65,0,2,1,2,1,1,1
66,1,2,1,2,1,2,2
67,0,2,1,2,1,4,1
68,1,2,1,2,2,2,1
69,0,2,1,2,2,4,2
70,0,2,1,2,3,1,1
71,1,2,1,2,3,1,2
72,0,2,1,2,3,2,2
73,0,2,1,2,3,3,2
74,0,2,1,2,3,4,2
75,0,2,2,1,1,3,1
76,1,2,2,1,1,4,2
77,0,2,2,1,2,1,1
78,1,2,2,1,2,3,1
79,1,2,2,1,3,3,1
80,0,2,2,1,3,3,2
81,1,2,2,1,3,4,1
82,0,2,2,2,1,1,1
83,0,2,2,2,1,2,2
84,0,2,2,2,1,3,2
85,1,2,2,2,1,4,1
86,0,2,2,2,1,4,2
87,1,2,2,2,2,1,1
88,0,2,2,2,2,2,2
89,0,2,2,2,2,3,1
90,1,2,2,2,3,1,1
91,0,2,2,2,3,2,1
92,0,2,2,2,3,2,2
93,0,2,2,2,3,4,2
94,0,2,3,1,1,1,1
95,0,2,3,1,1,1,2
96,1,2,3,1,1,3,2
97,0,2,3,1,2,1,1
98,1,2,3,1,2,3,1
99,0,2,3,1,2,3,2
100,0,2,3,1,2,4,2
101,1,2,3,1,3,1,2
102,1,2,3,1,3,2,1
103,1,2,3,1,3,4,1
104,1,2,3,2,1,1,2
105,1,2,3,2,1,2,1
106,1,2,3,2,1,3,1
107,0,2,3,2,1,4,2
108,1,2,3,2,2,1,1
109,0,2,3,2,2,2,1
110,0,2,3,2,2,3,2
111,0,2,3,2,3,3,1
112,0,2,3,2,3,3,2
113,0,2,3,2,3,4,2
114,0,3,1,1,1,4,1
115,0,3,1,1,2,1,2
116,1,3,1,1,2,2,2
117,1,3,1,1,2,3,2
118,0,3,1,1,2,4,1
119,1,3,1,1,2,4,2
120,0,3,1,1,3,1,1
121,0,3,1,1,3,1,2
122,1,3,1,1,3,2,2
123,1,3,1,1,3,3,2
124,0,3,1,2,1,1,1
125,1,3,1,2,1,2,2
126,0,3,1,2,1,3,1
127,1,3,1,2,1,3,2
128,0,3,1,2,1,4,1
129,1,3,1,2,1,4,2
130,1,3,1,2,2,2,1
131,1,3,1,2,3,1,2
132,1,3,1,2,3,2,1
133,0,3,1,2,3,2,2
134,0,3,1,2,3,4,2
135,0,3,2,1,1,1,2
136,1,3,2,1,1,2,2
137,0,3,2,1,1,3,1
138,1,3,2,1,1,3,2
139,1,3,2,1,2,1,2
140,1,3,2,1,2,2,1
141,0,3,2,1,3,1,1
142,1,3,2,1,3,2,1
143,1,3,2,1,3,3,1
144,0,3,2,1,3,3,2
145,0,3,2,2,1,1,1
146,0,3,2,2,1,2,2
147,1,3,2,2,1,3,1
148,0,3,2,2,1,3,2
149,1,3,2,2,2,1,1
150,0,3,2,2,2,2,1
151,0,3,2,2,2,2,2
152,0,3,2,2,2,3,2
153,1,3,2,2,3,1,1
154,0,3,2,2,3,3,2
155,0,3,2,2,3,4,2
156,0,3,3,1,1,1,1
157,0,3,3,1,1,2,1
158,0,3,3,1,1,3,1
159,1,3,3,1,1,3,2
160,0,3,3,1,2,3,2
161,0,3,3,2,1,1,1
162,1,3,3,2,2,1,1
163,0,3,3,2,2,2,1
164,0,3,3,2,2,3,1
165,0,3,3,2,2,3,2
166,1,3,3,2,3,1,1
167,0,3,3,2,3,2,1
168,0,3,3,2,3,4,2
169,0,1,1,1,1,1,1
170,0,1,1,1,1,1,2
171,0,1,1,1,1,2,1
172,0,1,1,1,1,2,2
173,0,1,1,1,1,3,1
174,0,1,1,1,1,3,2
175,0,1,1,1,1,4,1
176,0,1,1,1,1,4,2
177,0,1,1,1,2,1,1
178,0,1,1,1,2,1,2
179,0,1,1,1,2,2,1
180,0,1,1,1,2,2,2
181,0,1,1,1,2,3,1
182,0,1,1,1,2,3,2
183,0,1,1,1,2,4,1
184,0,1,1,1,2,4,2
185,0,1,1,1,3,1,1
186,0,1,1,1,3,1,2
187,0,1,1,1,3,2,1
188,0,1,1,1,3,2,2
189,0,1,1,1,3,3,1
190,0,1,1,1,3,3,2
191,0,1,1,1,3,4,1
192,0,1,1,1,3,4,2
193,0,1,1,2,1,1,1
194,0,1,1,2,1,1,2
195,0,1,1,2,1,2,1
196,0,1,1,2,1,2,2
197,0,1,1,2,1,3,1
198,0,1,1,2,1,3,2
199,0,1,1,2,1,4,1
200,0,1,1,2,1,4,2
201,0,1,1,2,2,1,1
202,0,1,1,2,2,1,2
203,0,1,1,2,2,2,1
204,1,1,1,2,2,2,2
205,0,1,1,2,2,3,1
206,1,1,1,2,2,3,2
207,0,1,1,2,2,4,1
208,1,1,1,2,2,4,2
209,0,1,1,2,3,1,1
210,0,1,1,2,3,1,2
211,0,1,1,2,3,2,1
212,1,1,1,2,3,2,2
213,0,1,1,2,3,3,1
214,1,1,1,2,3,3,2
215,0,1,1,2,3,4,1
216,1,1,1,2,3,4,2
217,0,1,2,1,1,1,1
218,0,1,2,1,1,1,2
219,0,1,2,1,1,2,1
220,0,1,2,1,1,2,2
221,0,1,2,1,1,3,1
222,0,1,2,1,1,3,2
223,0,1,2,1,1,4,1
224,0,1,2,1,1,4,2
225,0,1,2,1,2,1,1
226,0,1,2,1,2,1,2
227,0,1,2,1,2,2,1
228,1,1,2,1,2,2,2
229,0,1,2,1,2,3,1
230,1,1,2,1,2,3,2
231,0,1,2,1,2,4,1
232,1,1,2,1,2,4,2
233,0,1,2,1,3,1,1
234,0,1,2,1,3,1,2
235,0,1,2,1,3,2,1
236,1,1,2,1,3,2,2
237,0,1,2,1,3,3,1
238,1,1,2,1,3,3,2
239,0,1,2,1,3,4,1
240,1,1,2,1,3,4,2
241,0,1,2,2,1,1,1
242,0,1,2,2,1,1,2
243,0,1,2,2,1,2,1
244,1,1,2,2,1,2,2
245,0,1,2,2,1,3,1
246,1,1,2,2,1,3,2
247,0,1,2,2,1,4,1
248,1,1,2,2,1,4,2
249,0,1,2,2,2,1,1
250,1,1,2,2,2,1,2
251,1,1,2,2,2,2,1
252,0,1,2,2,2,2,2
253,1,1,2,2,2,3,1
254,0,1,2,2,2,3,2
255,1,1,2,2,2,4,1
256,0,1,2,2,2,4,2
257,0,1,2,2,3,1,1
258,1,1,2,2,3,1,2
259,1,1,2,2,3,2,1
260,0,1,2,2,3,2,2
261,1,1,2,2,3,3,1
262,0,1,2,2,3,3,2
263,1,1,2,2,3,4,1
264,0,1,2,2,3,4,2
265,0,1,3,1,1,1,1
266,0,1,3,1,1,1,2
267,0,1,3,1,1,2,1
268,0,1,3,1,1,2,2
269,0,1,3,1,1,3,1
270,0,1,3,1,1,3,2
271,0,1,3,1,1,4,1
272,0,1,3,1,1,4,2
273,0,1,3,1,2,1,1
274,0,1,3,1,2,1,2
275,0,1,3,1,2,2,1
276,1,1,3,1,2,2,2
277,0,1,3,1,2,3,1
278,1,1,3,1,2,3,2
279,0,1,3,1,2,4,1
280,1,1,3,1,2,4,2
281,0,1,3,1,3,1,1
282,0,1,3,1,3,1,2
283,0,1,3,1,3,2,1
284,1,1,3,1,3,2,2
285,0,1,3,1,3,3,1
286,1,1,3,1,3,3,2
287,0,1,3,1,3,4,1
288,1,1,3,1,3,4,2
289,0,1,3,2,1,1,1
290,0,1,3,2,1,1,2
291,0,1,3,2,1,2,1
292,1,1,3,2,1,2,2
293,0,1,3,2,1,3,1
294,1,1,3,2,1,3,2
295,0,1,3,2,1,4,1
