,Income_num,Age_num,Civil_num,Can/US_num
0,44309.32,23.532389,29.42811,4.36037
1,79751.66,59.626422,23.836741,5.859656
2,68238.74,45.682512,8.227006,9.292625
3,107615.36,37.698205,14.36713,8.06957
4,54170.08,33.994757,17.807684,14.42789
5,101426.67,26.882009,13.043289,18.688364
6,76432.66,53.842859,9.138462,4.747932
7,57448.56,42.442568,19.264733,12.29712
8,60203.13,31.906834,11.764081,16.135605
9,79444.86,81.215532,12.416312,5.839766
10,96619.06,53.77399,20.887984,6.168898
11,89924.48,35.940005,1.732548,6.727001
12,89968.88,42.707532,12.874006,8.846593
13,102273.95,9.079582,20.946008,10.552738
14,30669.63,50.955519,28.922443,7.621261
15,113137.43,45.267637,18.176793,6.731224
16,77412.04,48.605993,30.570037,4.385733
17,35954.83,52.233819,25.814605,3.246501
18,64960.0,62.206974,12.674118,12.13834
19,80997.58,49.982072,11.363703,6.869758
20,115934.28,75.590107,26.513122,6.500797
21,84496.9,52.493193,19.091138,13.184026
22,80006.68,28.374695,26.790837,15.545151
23,38037.01,55.516388,20.922633,8.613632
24,84961.02,65.154747,22.582827,10.578372
25,162907.75,26.304376,14.686453,9.107645
26,88774.1,70.715498,18.334349,3.948309
27,82125.34,42.24049,18.140507,12.498873
28,78073.95,53.560822,21.242344,8.697504
29,75618.29,43.248115,16.268829,8.117798
30,41865.46,56.432621,20.599094,18.529186
31,88605.72,41.141973,27.840025,11.816953
32,115925.78,38.927568,28.103649,0.498865
33,93562.55,43.060564,15.859981,13.330741
34,62110.22,40.779694,25.559825,8.430193
35,48324.49,63.172696,18.308998,10.690004
36,87087.21,54.720039,24.107274,7.333687
37,79059.54,58.172396,21.49765,5.377434
38,73818.17,27.38778,16.61804,6.336821
39,80871.96,51.778954,17.730399,10.531135
40,49580.75,31.93691,14.526499,9.110852
41,57287.67,32.694012,29.266048,10.100635
42,22321.72,37.785012,16.313605,14.054034
43,80694.69,42.512147,16.776678,4.495178
44,101613.46,44.175977,18.845724,8.451563
45,129299.59,43.08511,19.112413,4.070279
46,96197.19,38.052534,26.016072,10.042079
47,84914.29,18.76836,30.890604,7.838419
48,64457.03,42.69398,24.254582,12.203349
