,yc_cat,xs_num,ys_num
0,0,0.05100797,0.16086164
1,0,-0.74807425,0.08904024
2,0,-0.77293371,0.26317168
3,0,0.2183736,0.12706142
4,0,0.37268336,0.496562
5,0,-0.62931544,0.63202159
6,0,-0.43307167,0.14479166
7,0,-0.8415197,-0.19131316
8,0,0.47525648,0.22483671
9,0,0.32082976,0.32721288
10,0,0.32061253,0.33407547
11,0,-0.89077472,0.41168783
12,0,0.17850119,0.44691359
13,0,0.31558002,0.38853383
14,0,0.55777224,0.47272748
15,0,0.03191877,0.01222964
16,0,0.25090585,0.30716705
17,0,0.23571547,0.22493837
18,0,-0.07236203,0.33376524
19,0,0.50440241,0.08054579
20,0,-0.63223351,0.44552458
21,0,-0.76784656,0.23614689
22,0,-0.70017557,0.21038848
23,0,-0.64713491,0.15921366
24,0,-0.76739248,0.09259038
25,0,-0.51788734,0.03288107
26,0,0.17516644,0.34534871
27,0,-0.6803119,0.47612156
28,0,0.01595199,0.32167526
29,0,-0.71481078,0.51421443
30,0,0.07837946,0.32284981
31,0,-0.80872251,0.47036593
32,0,-0.84211234,0.09294232
33,0,-0.98591577,0.48309267
34,0,0.29104081,0.34275967
35,0,0.24321541,0.51488295
36,0,-0.60104419,0.05060116
37,0,-1.24652451,0.45923165
38,0,-0.82769016,0.3618746
39,0,-0.62117301,-0.10912158
40,0,-0.70584105,0.65907662
41,0,0.06718867,0.6057485
42,0,0.30505147,0.47417973
43,0,0.60788138,0.39361588
44,0,-0.78937483,0.17591675
45,0,-0.53123209,0.42652809
46,0,0.25202071,0.17029707
47,0,-0.57880357,0.26553665
48,0,-0.83176749,0.54447377
49,0,-0.69859164,0.38566851
50,0,-0.73642607,0.11857527
51,0,-0.93496195,0.11370707
52,0,0.43959309,0.41430638
53,0,-0.54690854,0.24956276
54,0,-0.0840555,0.36521058
55,0,0.32211458,0.69087105
56,0,0.10764739,0.57946932
57,0,-0.7186403,0.25645757
58,0,-0.87877752,0.45064757
59,0,-0.69846046,0.9505387
60,0,0.39757434,0.11810207
61,0,-0.50451354,0.57196376
62,0,0.25023622,0.39783889
63,0,0.61709156,0.10185808
64,0,0.3183286,0.08790562
65,0,-0.57453363,0.18624195
66,0,0.09761865,0.55176786
67,0,0.48449339,0.35372973
68,0,0.52400684,0.46616851
69,0,-0.78138463,-0.07534713
70,0,-0.49704591,0.59948077
71,0,-0.96984525,0.46624927
72,0,0.43541407,0.12192386
73,0,-0.67942462,0.30753942
74,0,-0.62529036,0.07099046
75,0,-0.02318116,0.40442601
76,0,0.23200141,0.71066846
77,0,0.09384354,0.46674396
78,0,0.14234301,0.17898711
79,0,-0.61686357,0.25507763
80,0,0.23636288,0.51543839
81,0,0.38914177,0.40429568
82,0,-0.95178678,-0.03772239
83,0,0.24087822,0.7194889
84,0,0.12446266,0.45178849
85,0,-0.6056643,0.26906478
86,0,-0.71397188,0.3087178
87,0,0.31008428,0.34675335
88,0,0.18018786,0.46204643
89,0,-0.42663885,0.64723225
90,0,0.0614323,0.3249115
91,0,0.07736952,0.32183287
92,0,0.4281497,0.13445957
93,0,-0.80250753,0.66878999
94,0,0.40142623,0.42516398
95,0,0.37084776,0.26407123
96,0,-0.80774748,0.41485899
97,0,0.50163585,0.23934856
98,0,0.58238323,0.22842741
99,0,-0.591361,0.30230321
100,0,-0.87037236,0.26941446
101,0,-0.72086765,0.19676678
102,0,0.27778443,0.21792253
103,0,0.33240813,0.27349865
104,0,-0.14092068,0.39247351
105,0,-0.59759518,0.14790267
106,0,-0.85581534,0.14513961
107,0,-0.88912232,0.26896001
108,0,0.2134568,0.43611756
109,0,-0.53467949,0.57901229
110,0,0.31686848,0.39705856
111,0,-0.68121733,0.0420984
